Attribute,Index,Clean Value,Dirty Value
zip,4743,53125,1907
zip,4744,59833,1907
zip,4745,4738,1907
zip,4746,71638,1907
zip,4747,8873,1907
haschild,1992,Y,N
haschild,2030,Y,N
haschild,2098,Y,N
haschild,2174,Y,N
haschild,2274,Y,N
haschild,2323,Y,N
haschild,2488,Y,N
haschild,2632,Y,N
haschild,2735,Y,N
haschild,2891,Y,N
haschild,2957,Y,N
haschild,3024,Y,N
haschild,3107,Y,N
haschild,3146,Y,N
haschild,3221,Y,N
haschild,3303,Y,N
haschild,3345,Y,N
haschild,3556,Y,N
haschild,3674,Y,N
haschild,3679,Y,N
haschild,3781,Y,N
haschild,3895,Y,N
haschild,3959,Y,N
haschild,4008,Y,N
haschild,4117,Y,N
haschild,4199,Y,N
haschild,4211,Y,N
haschild,4515,Y,N
haschild,4678,Y,N
haschild,4683,Y,N
haschild,4685,Y,N
haschild,4904,Y,N
haschild,4958,Y,N
haschild,5000,Y,N
haschild,5010,Y,N
haschild,5035,Y,N
haschild,5041,Y,N
haschild,5250,Y,N
haschild,5374,Y,N
haschild,5389,Y,N
haschild,5405,Y,N
haschild,5550,Y,N
haschild,5620,Y,N
haschild,5905,Y,N
haschild,5953,Y,N
haschild,6152,Y,N
haschild,6377,Y,N
haschild,6441,Y,N
haschild,6460,Y,N
haschild,6619,Y,N
haschild,6810,Y,N
haschild,6966,Y,N
haschild,7095,Y,N
haschild,7198,Y,N
haschild,7303,Y,N
haschild,7324,Y,N
haschild,7348,Y,N
haschild,7422,Y,N
haschild,7600,Y,N
haschild,7609,Y,N
haschild,7634,Y,N
haschild,7700,Y,N
haschild,7813,Y,N
haschild,7836,Y,N
haschild,7878,Y,N
haschild,8148,Y,N
haschild,8282,Y,N
haschild,8411,Y,N
haschild,8450,Y,N
haschild,8785,Y,N
haschild,8799,Y,N
haschild,8960,Y,N
haschild,9029,Y,N
haschild,9038,Y,N
haschild,9241,Y,N
haschild,9309,Y,N
haschild,9331,Y,N
haschild,9538,Y,N
haschild,9809,Y,N
haschild,9925,Y,N
