6454.state,AcK,AK
19401.areacode,282,228
1968.lname,Cooperbadn,Cooperband
11179.salary,50000***,50000
10922.singleexemp,,0
13910.fname,Raijt,Rajit
7311.rate,3.r4,3.4
14682.singleexemp,,0
10387.singleexemp,,0
16910.haschild,***,N
1724.childexemp,***,0
16630.state,cNJ,NJ
11825.singleexemp,,0
13429.singleexemp,,0
18635.rate,00.,0.0
1488.gender,***,M
3416.state,CD,DC
5884.zip,3e4946,34946
11063.childexemp,,0
2325.state,DzC,DC
6203.haschild,vN,N
16502.maritalstatus,***,S
14242.areacode,25h4,254
18420.gender,jF,F
9098.zip,66518,65618
9246.city,WASHINGTNO,WASHINGTON
13496.childexemp,k0,0
19094.rate,i7.0,7.0
13585.gender,***,F
17591.state,ySC,SC
15789.city,FORTj SCOTT,FORT SCOTT
8252.rate,65,6.5
1523.marriedexemp,21000,12000
3650.gender,sM,M
9947.haschild,nY,Y
10685.state,MN,NM
7502.singleexemp,s0,0
16170.marriedexemp,1200h0,12000
7475.state,NiJ,NJ
1196.state,C,DC
1922.haschild,***,N
14818.zip,4600i1,46001
16445.salary,85b000,85000
13255.haschild,,N
6730.fname,Adriaxnus,Adrianus
7308.phone,368n-7543,368-7543
17777.areacode,757,775
1140.phone,503-2796,503-2769
12834.rate,.0,7.0
19121.singleexemp,,0
8745.singleexemp,,0
14801.state,aDC,DC
14481.city,BROOMFIELpD,BROOMFIELD
4616.areacode,443***,443
18091.maritalstatus,***,M
19599.state,JN,NJ
13782.singleexemp,59,159
10043.maritalstatus,lM,M
16449.singleexemp,***,0
14237.zip,6857,96857
7738.maritalstatus,,M
13855.childexemp,,0
13920.rate,.8,7.8
17493.gender,,F
11103.city,CEDAR CITnY,CEDAR CITY
19194.state,C,DC
5985.zip,53993,53939
16090.marriedexemp,,0
16737.maritalstatus,,S
11384.gender,***,F
9583.gender,nF,F
19142.gender,,M
8417.gender,,F
16328.fname,Athpena,Athena
17501.singleexemp,p0,0
9748.haschild,vY,Y
17096.state,TC,CT
8097.gender,mF,F
15365.gender,gM,M
444.rate,7f.0,7.0
2649.phone,8h53-4218,853-4218
19726.city,MENOEKN,MENOKEN
13239.rate,5.52902,5.529042
1547.childexemp,3300***,3300
13196.fname,Sterlign,Sterling
10781.rate,b0.0,0.0
19798.gender,,F
14388.gender,pM,M
13090.singleexemp,***,0
17163.city,ASHEVIcLLE,ASHEVILLE
8588.state,CD,DC
7139.rate,.0,6.0
9592.state,TC,CT
13086.city,CHAPMNA,CHAPMAN
14266.marriedexemp,y0,0
16737.state,TC,CT
5176.salary,70d000,70000
9474.rate,4a.5,4.5
14553.areacode,07,207
14961.state,I,RI
8125.salary,7000w0,70000
1106.marriedexemp,z0,0
8133.haschild,tY,Y
7494.gender,***,F
17662.maritalstatus,***,S
1503.childexemp,850,2850
7589.singleexemp,***,0
3214.fname,Atrei,Atreyi
2737.city,CASCAED LOCKS,CASCADE LOCKS
13360.state,CD,DC
13365.city,CHAPE HILL,CHAPEL HILL
1169.state,C,DC
18261.rate,5.8e36415,5.836415
11907.gender,,F
8241.childexemp,***,0
16107.marriedexemp,v0,0
15848.phone,i637-1025,637-1025
16524.childexemp,,0
12908.marriedexemp,12000***,12000
16291.lname,Laapkowski,Lapkowski
4030.singleexemp,***,0
3506.gender,***,F
19248.city,CEDARC REST,CEDAR CREST
12872.childexemp,***,0
17971.city,TUSCON,TUCSON
7814.marriedexemp,,0
13026.state,qCT,CT
3821.state,A,MA
12195.gender,,F
16093.city,PRRISH,PARRISH
8214.childexemp,100,1040
2811.phone,626-6789,626-6798
12330.state,VW,WV
8228.salary,5d000,5000
18840.singleexemp,***,0
13076.zip,2839,28339
6442.salary,6000,60000
16358.city,CSAPER,CASPER
13140.state,DdC,DC
6282.maritalstatus,,S
18823.lname,Juuoso,Juuso
12188.state,J,NJ
8696.childexemp,,0
13445.fname,Olfo,Olof
2928.singleexemp,3010,3100
8714.singleexemp,j0,0
8819.lname,Seress***,Seress
7783.childexemp,p0,0
126.state,C,DC
6170.marriedexemp,b0,0
17045.salary,10000***,10000
9386.state,sDC,DC
17305.city,CEoNTER POINT,CENTER POINT
6420.lname,Kayashiam,Kayashima
11029.childexemp,,0
15602.lname,Vassilyev***,Vassilyev
12208.rate,00.,0.0
2466.singleexemp,e0,0
14585.fname,Kwazngjo,Kwangjo
14587.marriedexemp,,0
17362.fname,Letah,Letha
17411.lname,Barnhiull,Barnhill
8335.singleexemp,***,0
2056.state,CD,DC
7620.singleexemp,***,0
18268.singleexemp,j0,0
19112.zip,4507,5407
10907.lname,rAdizzone,Ardizzone
18127.state,JN,NJ
10607.state,eDC,DC
9669.singleexemp,195,159
6013.gender,tF,F
12101.fname,Joanzthan,Joanthan
9654.marriedexemp,i0,0
10513.areacode,7x32,732
15825.city,FAIRLdEE,FAIRLEE
1809.city,nEUFAULA,EUFAULA
3919.lname,Rxettinger,Rettinger
12434.gender,***,F
9183.state,J,NJ
14495.state,R,PR
15455.zip,286,2896
1683.zip,198z89,19889
5533.fname,Fracoise,Francoise
5981.singleexemp,,0
10118.singleexemp,d0,0
14660.city,WASHNGTON,WASHINGTON
8371.haschild,aN,N
9015.state,IcL,IL
6824.city,CRyAB ORCHARD,CRAB ORCHARD
7397.city,NEWINGeTON,NEWINGTON
7301.haschild,tN,N
7964.gender,***,M
1406.phone,3602093,360-2093
14914.singleexemp,1000***,1000
16873.fname,Kailasm,Kailasam
13360.fname,Sacio,Sachio
13166.state,T,CT
866.state,iDC,DC
19447.state,TC,CT
19263.childexemp,n0,0
8535.fname,Ayseggul,Aysegul
6571.childexemp,3g300,3300
12910.childexemp,3300***,3300
689.phone,27-54925,275-4925
19538.childexemp,***,0
9205.haschild,,N
19805.lname,Thulasiarman,Thulasiraman
10896.haschild,***,N
2086.maritalstatus,oM,M
19979.city,AVOUR,CAVOUR
13678.state,qCT,CT
2602.city,JOSEPjHINE,JOSEPHINE
2069.lname,relup,Orelup
16225.areacode,810,801
3359.maritalstatus,***,M
15293.city,ECNTERVIEW,CENTERVIEW
12034.haschild,***,N
7044.rate,60.,6.0
15447.city,CaENTRAL,CENTRAL
4613.marriedexemp,***,0
17690.lname,Rivrd,Rivard
10787.marriedexemp,j0,0
18578.singleexemp,***,0
11343.rate,307,3.07
13500.state,hWI,WI
6224.city,BITINGER,BITTINGER
8545.zip,30107,30170
18412.phone,g840-7276,840-7276
6855.singleexemp,,0
15398.rate,375,3.75
4055.fname,Camelai,Camelia
2920.rate,.463,4.63
12450.areacode,5i01,501
8368.city,DUNTABLE,DUNSTABLE
7813.marriedexemp,k0,0
15723.areacode,226,262
5865.zip,g2842,2842
12966.singleexemp,f0,0
18780.state,C,DC
6902.childexemp,0,40
15140.state,S,MS
2211.state,CD,DC
15076.maritalstatus,dM,M
2676.rate,.00,0.0
9239.gender,lF,F
4315.childexemp,***,0
7301.city,CORVLLIS,CORVALLIS
142.city,HvILO,HILO
6390.salary,5000,65000
1065.state,RaI,RI
15554.state,LF,FL
15822.childexemp,1004,1040
18783.gender,vM,M
15272.singleexemp,***,0
2114.state,C,DC
3349.state,TC,CT
16978.maritalstatus,oM,M
18751.marriedexemp,,0
3541.haschild,,Y
9170.zip,4672,4627
16894.marriedexemp,0400,4000
2144.salary,0000,10000
4405.lname,tchley,Atchley
356.rate,70,7.0
47.lname,Moshikow,Moshkow
10737.phone,4207-409,420-7409
9082.city,EPERLESS,PEERLESS
10652.city,CHALRESTON,CHARLESTON
12404.state,A,VA
4859.gender,,F
10110.maritalstatus,***,S
19197.childexemp,m0,0
11321.areacode,29,209
290.state,CD,DC
4039.state,O,CO
16335.maritalstatus,xS,S
17794.state,O,CO
4261.childexemp,***,0
8513.singleexemp,3300***,3300
9234.phone,514-9k867,514-9867
8463.gender,,M
13395.childexemp,0,20
2237.salary,1g5000,15000
16573.childexemp,0,20
14134.areacode,925,952
15678.marriedexemp,4z800,4800
7051.salary,8i5000,85000
15874.marriedexemp,***,0
16135.state,NfJ,NJ
18141.fname,Keen,Kewen
18595.gender,iM,M
19670.state,C,DC
17872.zip,3f6024,36024
18613.lname,Kaoda,Kadoda
13703.gender,pF,F
17803.areacode,l603,603
12846.phone,69-61840,696-1840
9908.zip,58532,58523
18667.singleexemp,t0,0
6904.singleexemp,,0
9623.phone,63-7246,632-7246
1232.marriedexemp,c174,174
8934.lname,Martahe,Marathe
7511.childexemp,t0,0
14858.singleexemp,u0,0
13330.state,DhC,DC
18221.state,vDC,DC
2510.gender,***,M
19930.lname,Stseckler,Steckler
753.state,DzC,DC
19472.areacode,450,405
6994.childexemp,***,0
19206.gender,,F
13816.singleexemp,v0,0
9143.state,JN,NJ
11322.childexemp,,0
10782.singleexemp,***,0
19165.singleexemp,l0,0
4957.childexemp,i0,0
5691.marriedexemp,***,0
14688.state,DeC,DC
8142.state,CD,DC
12236.gender,,F
16436.phone,956-96w76,956-9676
19651.gender,,M
6646.marriedexemp,,0
8615.singleexemp,***,0
15898.childexemp,330,3300
16990.city,CAYEpY,CAYEY
8170.singleexemp,3300***,3300
14918.singleexemp,***,0
15586.maritalstatus,fS,S
11600.lname,ik,Bik
14645.zip,98919,98199
10969.city,KATHYRN,KATHRYN
13838.areacode,88,808
4771.gender,***,F
1937.rate,5.l0,5.0
13346.childexemp,r0,0
13096.city,GREYBULL***,GREYBULL
17293.areacode,045,405
1526.gender,***,F
18081.singleexemp,,0
10527.marriedexemp,***,0
10171.marriedexemp,,0
15474.rate,6.c0,6.0
3766.marriedexemp,,0
5414.areacode,175,715
8849.state,uCT,CT
11189.state,C,DC
18895.gender,,F
6292.state,aCT,CT
2010.zip,8835t3,88353
15633.zip,5902,55902
17175.marriedexemp,12000***,12000
8145.marriedexemp,,0
6995.city,CASCADE eLOCKS,CASCADE LOCKS
14733.areacode,84v3,843
3425.childexemp,***,0
2190.rate,45329266,4.5329266
11951.phone,312-243,312-9243
17899.city,SUMMERFILED,SUMMERFIELD
19278.rate,.0,7.0
13281.gender,iF,F
18191.zip,17,917
11936.gender,,F
405.phone,57-2861,577-2861
19257.childexemp,g0,0
15729.haschild,,N
6455.singleexemp,***,0
7638.haschild,,Y
13493.state,T,CT
19441.childexemp,x20,20
16626.rate,.07,3.07
12415.singleexemp,1004,1040
16896.city,CENTRAL VILLGAE,CENTRAL VILLAGE
3171.salary,65p000,65000
19079.state,LI,IL
8325.fname,Ygoa,Yoga
11200.city,CpATANO,CATANO
17721.state,NjJ,NJ
4702.haschild,***,Y
18281.city,CENTRAL FsALLS,CENTRAL FALLS
6139.gender,***,F
17753.childexemp,***,0
11279.fname,Huien,Huifen
8724.areacode,91q8,918
16707.fname,Suplot,Supot
9603.marriedexemp,,0
13552.state,MvN,MN
19185.marriedexemp,o0,0
17267.city,ICNCINNATI,CINCINNATI
9226.childexemp,x0,0
16335.childexemp,,0
9574.state,JN,NJ
14652.marriedexemp,r6600,6600
1923.city,BANTAxM,BANTAM
16291.haschild,***,Y
2502.singleexemp,k0,0
10780.gender,***,F
19257.state,R,PR
17246.maritalstatus,zS,S
15510.gender,,F
6615.lname,Kljutke,Klutke
8795.singleexemp,195,159
10456.marriedexemp,t0,0
8867.city,CATAON,CATANO
5959.salary,5000***,5000
13159.city,CNETER TUFTONBORO,CENTER TUFTONBORO
17037.zip,380,3840
1932.state,CD,DC
13508.singleexemp,,0
2158.lname,Rusterhlz,Rusterholz
4634.marriedexemp,6600***,6600
13375.areacode,8a01,801
13728.state,JN,NJ
14563.state,DpC,DC
8243.state,JN,NJ
6993.salary,0500,5000
17548.singleexemp,7200,2700
1860.state,CxA,CA
17521.marriedexemp,k0,0
14565.gender,nF,F
7539.childexemp,,0
14734.singleexemp,a0,0
6830.city,PRAIRIE UD CHIEN,PRAIRIE DU CHIEN
19597.areacode,630,603
12047.fname,Narushhige,Narushige
15325.gender,***,F
13675.state,WgA,WA
5001.phone,422-7121,422-7112
2289.state,C,DC
5645.haschild,,Y
12088.maritalstatus,mM,M
11880.state,AG,GA
9.state,yDC,DC
9454.rate,3.u6,3.6
2161.state,C,DC
1752.state,CD,DC
1346.phone,889-5082,889-5028
13600.marriedexemp,***,0
2696.state,DnC,DC
14223.marriedexemp,***,0
18054.haschild,***,N
16752.singleexemp,p0,0
15236.fname,Krhishnan,Krishnan
3512.childexemp,000,1000
4422.fname,Tygve,Trygve
9363.singleexemp,,0
9570.maritalstatus,***,M
3738.fname,Seonhee,Seonghee
12712.city,NEWj EDINBURG,NEW EDINBURG
18135.marriedexemp,570i0,5700
3537.state,DuC,DC
15288.state,gNJ,NJ
2096.state,CD,DC
3069.city,SARASTOA,SARASOTA
14862.city,bCHARLESTOWN,CHARLESTOWN
1319.fname,Gweael,Gwenael
7736.haschild,kY,Y
11774.city,iCHARLESTON,CHARLESTON
14869.gender,eF,F
15757.childexemp,120d0,1200
9365.areacode,90d7,907
12226.rate,3.7777777***,3.7777777
11500.childexemp,x0,0
3601.gender,,M
7721.gender,mF,F
7717.gender,,M
4015.zip,87919,87199
16683.marriedexemp,21000,12000
4814.state,CwT,CT
16268.zip,h20736,20736
10387.gender,jF,F
16471.state,eDC,DC
18909.salary,5000,45000
6468.areacode,042,402
6419.gender,hF,F
2980.haschild,***,N
7294.childexemp,,0
11770.singleexemp,d0,0
11674.haschild,***,Y
10768.city,OAKLADN,OAKLAND
5772.zip,z35119,35119
17169.city,CASTAER,CASTANER
14317.gender,,F
5517.maritalstatus,,S
17859.singleexemp,,0
13509.phone,663-8200,636-8200
3124.singleexemp,***,0
14181.gender,***,F
13792.childexemp,***,0
10159.areacode,410,401
5727.salary,t55000,55000
1927.fname,Prderag,Predrag
18602.singleexemp,,0
6428.salary,100j000,100000
12880.haschild,eY,Y
17731.marriedexemp,***,0
6537.fname,Monvkef,Monvef
1968.state,ZA,AZ
10107.childexemp,000,1000
19969.childexemp,***,0
15860.marriedexemp,d0,0
7733.state,CD,DC
15955.fname,jJilei,Jilei
13515.city,CAMA SVALLEY,CAMAS VALLEY
8227.childexemp,l0,0
12125.city,CENTNNIAL,CENTENNIAL
7973.state,C,DC
17616.haschild,pN,N
19132.phone,886u-2579,886-2579
16445.singleexemp,***,0
8096.state,C,DC
11120.rate,0c.0,0.0
10399.state,cNY,NY
15678.phone,758-x8917,758-8917
7488.city,HAMBERLAIN,CHAMBERLAIN
13454.marriedexemp,2600***,2600
18335.city,CjHARLESTON,CHARLESTON
19803.childexemp,w0,0
1941.state,TV,VT
11462.gender,hF,F
9860.lname,Coopesrtock,Cooperstock
16335.singleexemp,,0
16055.areacode,172,712
10975.rate,0.t0,0.0
10238.gender,***,F
7544.areacode,06,406
9645.salary,5000***,5000
1277.areacode,05,505
18059.singleexemp,,0
2199.childexemp,,0
17509.state,V,WV
792.state,DwC,DC
5537.childexemp,,0
3062.singleexemp,,0
2381.state,eDC,DC
4504.childexemp,,0
16704.state,CD,DC
10454.singleexemp,10l00,1000
11673.state,DhC,DC
10956.gender,***,M
15108.city,HORNTON,THORNTON
7602.childexemp,101,110
14206.marriedexemp,,0
10233.gender,***,F
6120.lname,Kxabra,Kabra
9762.singleexemp,b0,0
17206.gender,rF,F
9503.areacode,051,501
15608.phone,621-6624,621-6642
19257.marriedexemp,,0
9036.maritalstatus,jM,M
17170.salary,7k0000,70000
14820.areacode,791,719
12742.haschild,,Y
14779.haschild,,Y
7533.phone,650-820,650-9820
9130.lname,Shiotfa,Shiota
10705.marriedexemp,s0,0
11449.lname,Aelt,Alt
18531.gender,,F
15781.areacode,6x18,618
18829.state,cMT,MT
14325.maritalstatus,,S
5205.city,ROTON,GROTON
8801.city,EAjSTON,EASTON
16781.phone,7727-252,772-7252
10270.state,L,FL
2575.state,MvA,MA
14982.childexemp,,0
16104.city,PHOEwNIX,PHOENIX
6447.gender,,M
16684.state,CD,DC
18008.zip,v68444,68444
18977.haschild,***,Y
7691.childexemp,m0,0
11968.salary,8500f0,85000
13196.areacode,290,920
16549.maritalstatus,,S
15021.city,SACRMAENTO,SACRAMENTO
10744.city,CARLESTON,CHARLESTON
11521.fname,eWrther,Werther
11660.city,MISSOUAL,MISSOULA
13730.state,hDC,DC
2490.phone,165-7273,165-7237
12061.gender,***,F
8517.city,AVOUR,CAVOUR
15976.marriedexemp,g0,0
14746.state,LI,IL
8231.city,CASEPR,CASPER
6569.fname,Sudebokumar,Sudebkumar
19536.state,JN,NJ
9858.rate,00.,0.0
11635.childexemp,10v00,1000
15189.rate,.0,0.0
14902.zip,64033,46033
4974.zip,46560,46506
19466.marriedexemp,p0,0
18286.city,OEDLL,ODELL
15663.zip,747k21,74721
3945.city,CECLI,CECIL
16843.phone,407-109,407-9109
11139.marriedexemp,21000,12000
4602.singleexemp,f0,0
19424.childexemp,2745,2475
6468.phone,622-680,622-2680
7522.singleexemp,l0,0
3757.city,jCHARLOTTE,CHARLOTTE
19207.salary,900t00,90000
15734.gender,***,F
11148.city,CHADS FORD,CHADDS FORD
17892.city,CHARLOTsTE,CHARLOTTE
2195.singleexemp,9n00,900
9719.state,CD,DC
13897.childexemp,***,0
392.gender,hM,M
16944.singleexemp,,0
10079.rate,6.958023,6.9580293
5602.lname,hToresen,Thoresen
19413.singleexemp,10,110
3714.gender,,F
9980.singleexemp,***,0
1761.marriedexemp,400d0,4000
11004.marriedexemp,o0,0
15979.singleexemp,j0,0
12210.city,CHAROTTE,CHARLOTTE
18589.marriedexemp,2600***,2600
19217.city,LCEARMONT,CLEARMONT
18812.gender,hF,F
7029.marriedexemp,i0,0
3821.lname,Neuaus,Neuhaus
430.fname,Ziqang,Ziqiang
13689.phone,497-y6882,497-6882
9114.areacode,770***,770
11791.singleexemp,12705,12750
3150.state,A,PA
3215.city,JACKSONVILL EBEACH,JACKSONVILLE BEACH
2327.zip,7003,71003
416.fname,Fzli,Fazli
7437.state,T,CT
19733.rate,60.,6.0
11818.marriedexemp,a0,0
4844.gender,,M
17901.childexemp,i0,0
1966.haschild,,N
12944.fname,Kusnoo,Kunsoo
12949.state,C,DC
17289.state,CaT,CT
13359.singleexemp,,0
6495.city,CHALRESTOWN,CHARLESTOWN
2497.phone,1348-818,134-8818
17670.rate,0.y0,0.0
1644.city,YAKrIMA,YAKIMA
19649.state,J,NJ
6385.state,C,DC
14145.singleexemp,,0
11032.gender,***,F
4036.childexemp,***,0
4721.zip,8354i5,83545
2274.phone,19-7571,195-7571
11180.state,CD,DC
11826.childexemp,c0,0
15453.city,EASTLAKE WIER,EASTLAKE WEIR
35.zip,z49319,49319
7905.state,K,OK
11048.singleexemp,,0
15429.zip,1799,31799
10751.lname,Kalfeld,Kalefeld
7938.rate,.4272256,4.272256
2223.state,CD,DC
7040.gender,,M
11054.haschild,,N
16160.zip,7y3128,73128
16099.haschild,,N
2723.state,bDC,DC
1945.childexemp,,0
7266.lname,Zumaqe,Zumaque
18391.marriedexemp,2c000,2000
3917.state,C,DC
4722.lname,Riozen,Roizen
13493.childexemp,y0,0
10795.areacode,20,320
17644.city,CENfTRAL FALLS,CENTRAL FALLS
1406.haschild,uN,N
7237.salary,10500,15000
12442.fname,Orrna,Orran
18017.gender,***,F
19016.gender,***,F
9684.city,OMAHfA,OMAHA
5611.gender,,F
3749.gender,nF,F
2874.phone,648-004,648-7004
10028.childexemp,,0
7912.zip,7226,77226
9607.singleexemp,u0,0
1354.city,OAMO,COAMO
10000.city,CEDAR ITY,CEDAR CITY
11303.zip,99764***,99764
2482.childexemp,1000***,1000
5821.marriedexemp,12q000,12000
11794.maritalstatus,***,S
8182.city,eSARATOGA,SARATOGA
15954.state,J,NJ
8405.marriedexemp,m0,0
6117.city,uROCKLAND,ROCKLAND
11421.city,CHARLESTN,CHARLESTON
19193.fname,aspal,Jaspal
12577.marriedexemp,2000,12000
2500.haschild,eN,N
4173.singleexemp,z0,0
5886.state,CD,DC
18218.childexemp,g0,0
17517.marriedexemp,***,0
15116.childexemp,0,20
627.maritalstatus,,S
11840.childexemp,,0
2180.phone,42-7678,422-7678
15181.childexemp,***,0
10538.maritalstatus,qM,M
3484.state,CD,DC
4858.childexemp,,0
17391.salary,50l00,5000
14500.zip,22024,20224
10.maritalstatus,***,M
2084.state,J,NJ
15928.lname,Rout,Rouat
11750.marriedexemp,600,6600
11160.haschild,uY,Y
6502.marriedexemp,400,4800
14752.lname,Bdin,Bodin
19529.phone,6606313,660-6313
15378.gender,,M
17897.maritalstatus,,S
481.lname,Rulbinfield,Rubinfield
19475.zip,906l50,90650
18809.maritalstatus,,M
13678.childexemp,c0,0
17482.singleexemp,00,900
17547.childexemp,1300***,1300
3579.phone,809-026,809-4026
3052.maritalstatus,,M
6667.phone,817-152,817-2152
19978.state,H,OH
17438.areacode,30p7,307
17929.maritalstatus,dM,M
145.fname,udak,Budak
17070.childexemp,r0,0
18274.singleexemp,v0,0
18084.marriedexemp,600,6200
12946.state,C,DC
64.lname,Levcpooulos,Levcopoulos
8371.salary,05000,50000
13054.lname,Nyeuhaus,Neuhaus
12980.marriedexemp,147,174
12514.areacode,062,602
3100.singleexemp,k0,0
343.salary,450c00,45000
16893.singleexemp,w2475,2475
2021.fname,oBehnaam,Behnaam
8911.zip,6137r7,61377
16731.gender,***,F
5883.zip,4838,48138
11057.maritalstatus,yS,S
16475.city,HARLESTOWN,CHARLESTOWN
9834.lname,kSafidas,Skafidas
15102.lname,aVnegas,Vanegas
12192.childexemp,,0
8108.childexemp,e0,0
11804.marriedexemp,r0,0
3223.zip,15u81,1581
254.state,C,DC
11631.city,YBRON,BYRON
4445.gender,uF,F
19585.gender,,M
5091.lname,Gravajno,Gravano
8041.childexemp,r0,0
7334.city,CHRALOTTE,CHARLOTTE
2231.state,C,DC
19570.state,C,DC
19098.state,sWV,WV
9766.lname,Herlye,Herley
10448.gender,***,M
3461.zip,56390,56309
6158.phone,84-2615,847-2615
4900.fname,Elianta,Eliana
7995.singleexemp,e0,0
18843.fname,iNcola,Nicola
17853.singleexemp,k0,0
16378.singleexemp,,0
16607.marriedexemp,z0,0
10682.salary,10500,15000
8929.phone,624j-6916,624-6916
1030.gender,oF,F
10329.marriedexemp,12000***,12000
11080.zip,68321,63821
1103.areacode,276,267
17536.singleexemp,g0,0
19271.marriedexemp,***,0
3405.salary,40000***,40000
9839.fname,motz,Amotz
17029.city,CENuTREVILLE,CENTREVILLE
14091.fname,Surjaan,Surajan
9252.city,uTOME,TOME
12500.marriedexemp,e0,0
19290.fname,kWon,Won
12797.marriedexemp,***,0
8867.marriedexemp,***,0
2862.state,C,DC
14496.singleexemp,***,0
15049.marriedexemp,202,220
10525.haschild,eN,N
4025.fname,Barraads,Barradas
970.state,A,GA
15067.childexemp,***,0
17564.marriedexemp,***,0
16605.singleexemp,***,0
10214.state,CD,DC
11120.singleexemp,***,0
19790.phone,288-6197,288-6179
17145.state,TC,CT
825.areacode,19,719
13681.salary,1500,15000
8428.city,HCARLESTON,CHARLESTON
7673.areacode,x321,321
19965.zip,4109,41019
16449.childexemp,,0
17602.fname,Yieogirl,Yeogirl
1935.state,A,WA
19812.singleexemp,***,0
3965.rate,5.h3,5.3
15932.zip,3102,73102
8692.gender,***,F
73.maritalstatus,gM,M
1839.salary,0000,60000
2977.salary,5000***,5000
11583.marriedexemp,b0,0
14974.state,CD,DC
7730.lname,Schieer,Schiefer
3994.state,PyA,PA
1913.fname,athew,Mathew
14766.zip,59405,95405
3325.marriedexemp,l0,0
11095.childexemp,i0,0
6516.phone,209-8646,290-8646
15834.phone,5627-277,562-7277
6548.city,BNACROFT,BANCROFT
5155.city,CENTERVILEL,CENTERVILLE
18161.rate,3i.4,3.4
9248.childexemp,w0,0
19395.salary,4000,40000
11219.state,J,NJ
10512.salary,000,5000
14971.singleexemp,3300***,3300
17352.state,CD,DC
12731.maritalstatus,vS,S
10163.singleexemp,***,0
12137.state,oWI,WI
12079.city,CNETREVILLE,CENTREVILLE
7104.maritalstatus,***,S
6434.zip,70565,70556
2570.singleexemp,***,0
13685.marriedexemp,10200,12000
10246.city,CHAMEBRSBURG,CHAMBERSBURG
17818.marriedexemp,2000,12000
40.areacode,8q02,802
15366.state,YN,NY
1170.state,E,DE
