index,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
56,Antoni,Bober,F,860,822-3830,EAST WOODSTOCK,CT,6244,S,Y,70000,5.0,12750,0,0
60,Masadi,Punnekkat,F,717,492-9196,NORTH EAST,PA,16428,S,Y,35000,3.07,0,0,0
61,Tankoano,Stumptner,M,203,717-2198,VERSAILLES,NJ,6383,M,Y,5000,3.0,0,24500,0
66,Montgomery,Odberg,M,802,390-6816,BROWNSVILLE,VT,5037,S,N,60000,4.1988535,3300,0,0
67,PeiZong,Cardazo,F,856,512-8410,TOMS RIVER,NJ,8755,M,N,45000,1.7942708,0,2000,0
68,Rogers,Thies,M,615,154-9152,PULASKI,NJ,38478,S,Y,85000,0.0,0,0,0
69,Teemu,Krybus,M,302,229-8352,CHESWOLD,DE,19936,M,N,15000,2.8818183,0,220,0
70,Glauco,Pottossine,M,202,785-2906,WASHINGTON,DC,20528,M,N,20000,6.75,0,2740,0
72,Mirit,Hanchek,F,603,995-2629,CANAAN,NJ,3741,M,Y,70000,0.0,0,0,0
73,Nestor,Koutny,F,304,341-7285,KISTLER,WV,25628,M,Y,10000,3.0,0,4000,2000
74,Xiaobin,Teruel,F,765,954-2618,LEROY,IN,46355,S,N,15000,3.4,1000,0,0
78,Gudala,Earley,F,203,691-8996,ONECO,CT,6373,M,N,55000,5.0,0,24500,0
81,Heidi,Keum,F,302,657-4843,WILMINGTON,DE,19899,S,Y,75000,5.95,110,0,110
82,Chandrajit,Seymour,M,864,353-3505,COOSAWHATCHIE,SC,29912,M,Y,100000,7.0,0,6600,3300
83,Hiromu,Nobauer,M,401,119-4372,KINGSTON,RI,2881,S,N,75000,0.0,0,0,0
84,Gregoria,Plesniewicz,F,302,686-2159,WILMINGTON,DE,19893,S,Y,65000,5.95,110,0,110
89,Kersti,Jorissen,M,731,845-1402,LUPTON CITY,TN,37351,S,N,95000,0.0,0,0,0
91,Dung,Pike,F,774,133-6113,BRIDGEWATER,MA,2325,S,N,55000,5.3,3575,0,0
93,Sonu,Merhav,M,603,379-9505,GLEN,NH,3838,M,N,15000,0.0,0,0,0
94,Cheong,Kavraki,F,606,286-5145,BROWNSVILLE,KY,42210,S,Y,40000,4.0555553,20,0,20
95,Scot,Genther,M,606,486-2472,LOUISVILLE,KY,40217,S,N,25000,3.2222223,20,0,0
97,Jaihie,Cau,F,302,446-6343,DAGSBORO,DE,19939,M,Y,10000,2.540909,0,220,110
98,Juanita,Sivarajan,F,603,966-6735,GRAFTON,NH,3240,S,Y,30000,0.0,0,0,0
99,Abrajit,Flege,M,601,197-2272,MERIDIAN,MS,39309,S,N,80000,5.0,6000,0,0
101,Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000
103,Baoquan,Guha,F,339,730-7750,EAST WALPOLE,MA,2032,S,Y,40000,5.3,3575,0,1000
104,Miron,Aue,F,304,295-7427,MARTINSBURG,WV,25402,S,Y,75000,6.5,2000,0,2000
105,Solveig,Tierney,F,260,242-7728,FORT WAYNE,IN,46845,M,N,80000,3.4,0,2000,0
114,Kern,Queinnec,F,304,161-7106,PAGETON,WV,24871,M,Y,10000,3.0,0,4000,2000
115,Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,S,Y,30000,0.0,0,0,0
116,Saadia,Valtorta,F,304,806-6310,REEDY,WV,25270,S,N,50000,5.8,2000,0,0
117,Giuseppe,Daigle,M,603,900-7725,MANCHESTER,NH,3104,M,Y,70000,0.0,0,0,0
118,Knud,Jenkins,F,423,309-6168,MILLINGTON,TN,38055,M,N,15000,0.0,0,0,0
121,Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,7150,1000
123,Armin,Seung,M,804,693-8245,RICHMOND,VA,23292,S,Y,50000,5.75,900,0,900
125,Ryuzo,Ulich,F,662,484-5807,PORTERVILLE,MS,39352,S,N,100000,5.0,6000,0,0
126,Teruji,Dey,F,202,989-1133,WASHINGTON,DC,20431,M,N,10000,4.5,0,2740,0
127,Francine,Baba,F,276,414-8610,FALLS MILLS,VA,24613,M,N,40000,5.75,0,1800,0
131,Tiziana,Schuster,M,772,727-6137,CORAL SPRINGS,FL,33075,S,N,60000,0.0,0,0,0
136,Chinho,Demmer,F,860,584-9932,EAST HAMPTON,CT,6424,M,N,30000,5.0,0,24500,0
139,Mitsuhisa,Papadimitriou,F,207,410-8062,GOULDSBORO,ME,4607,S,Y,60000,8.5,2850,0,2850
141,Pranava,Siochi,M,540,851-6497,GAINESVILLE,VA,20156,M,N,60000,5.75,0,1800,0
144,Souichi,Wadey,F,802,519-2066,STOWE,VT,5672,S,N,45000,3.9004214,3300,0,0
146,Jean,Tsujishita,F,202,132-8926,WASHINGTON,DC,20424,S,Y,10000,4.5,1370,0,1370
147,Nicolau,Lavoie,M,865,969-1114,COKER CREEK,TN,37314,S,N,30000,0.0,0,0,0
148,Amos,Gavrilov,M,606,621-7327,LOUISVILLE,KY,40293,M,N,75000,6.0,0,40,0
149,Abdel,Kinnen,M,260,635-7798,SULLIVAN,IN,47864,M,N,10000,3.4,0,2000,0
152,Nell,Beretta,M,219,811-9770,DANVILLE,IN,46122,M,N,100000,3.4,0,2000,0
153,Hezhi,Nishizaki,M,769,413-3763,POPE,MS,38658,S,Y,90000,5.0,6000,0,1500
154,John,Sherratt,M,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,0,0
156,Kelly,Heinke,F,865,863-1774,MOUNT CARMEL,TN,37645,M,Y,55000,0.0,0,0,0
158,Bir,Byron,F,315,750-4795,BEAVER FALLS,NY,13305,M,Y,30000,4.127439,0,0,1000
159,Yukon,Lepage,F,205,511-2544,HATCHECHUBBEE,AL,36858,S,N,85000,5.0,1500,0,0
161,Prabhudev,Kodama,F,802,216-5879,ASCUTNEY,VT,5030,M,Y,70000,4.397808,0,6600,3300
162,Motohide,Angiulli,F,574,682-2619,WARSAW,IN,46582,S,N,35000,3.4,1000,0,0
163,Taylor,Sanada,F,787,500-5910,MOCA,PR,676,M,Y,85000,0.0,0,0,0
167,Vinay,Haumacher,F,252,140-2584,MOCKSVILLE,NC,27028,S,N,60000,6.9912586,3300,0,0
168,Jeonghee,Zajac,M,931,138-6557,HICKMAN,TN,38567,S,Y,95000,0.0,0,0,0
172,Daphne,Belkhatir,F,202,188-9789,WASHINGTON NAVY YARD,DC,20398,S,Y,25000,7.875,1370,0,1370
176,Thao,Noriega,M,631,978-2969,YONKERS,NY,10702,S,N,40000,4.1853657,0,0,0
178,Reiko,Slyke,M,937,713-9585,BEAVERDAM,OH,45808,M,N,5000,0.712,0,2600,0
179,Long,Comparot,F,814,984-2470,ARCOLA,PA,19420,M,Y,95000,3.07,0,0,0
181,Torgrim,Francisci,F,843,410-4438,MYRTLE BEACH,SC,29578,S,N,80000,7.0,3300,0,0
184,Manrique,Fayolle,F,302,938-1929,VIOLA,DE,19979,M,Y,60000,5.95,0,220,110
185,Sahin,Ruther,M,229,663-6848,POWDER SPRINGS,GA,30127,M,N,20000,6.0,0,5400,0
186,Xunwei,Soreide,F,731,646-4720,PINEY FLATS,TN,37699,M,Y,55000,0.0,0,0,0
189,Monty,Muchnick,M,302,573-6497,DELMAR,DE,19940,M,N,5000,2.2,0,220,0
190,Gerti,Wahls,F,731,315-2994,MEMPHIS,TN,38168,S,N,50000,0.0,0,0,0
192,Rondall,Treweek,F,603,108-9496,NORTH STRATFORD,NH,3590,M,Y,10000,0.0,0,0,0
196,Linda,Gire,F,443,207-8909,BROWNSVILLE,MD,21715,M,Y,95000,4.75,0,4800,2400
200,Joop,Bashkow,M,301,101-4374,BLADENSBURG,MD,20710,S,Y,100000,4.75,2400,0,2400
201,Fan,Dingel,M,803,504-9021,FORT MILL,SC,29707,S,N,20000,7.0,3300,0,0
202,Rona,Kambil,F,865,805-6887,NASHVILLE,TN,37220,S,Y,70000,0.0,0,0,0
203,Yunming,Litant,F,802,262-8257,GLOVER,VT,5839,S,N,60000,4.1988535,3300,0,0
204,Surajit,Praeger,F,803,318-2026,GAFFNEY,SC,29341,M,N,45000,7.0,0,6600,0
207,Suzan,Duclos,F,401,664-5371,PAWTUCKET,RI,2861,S,Y,90000,0.0,0,0,0
212,Xiaotie,Tsujishita,F,615,481-4436,MEMPHIS,TN,38190,M,Y,15000,0.0,0,0,0
213,Shem,Gerstenkorn,F,270,352-1928,INDEPENDENCE,KY,41051,M,Y,80000,6.0,0,40,20
214,Sharad,Degimbe,M,240,753-5928,RIDGELY,MD,21686,M,N,5000,4.75,0,4800,0
215,Avigdor,Litecky,F,276,679-1475,VIENNA,VA,22184,M,Y,90000,5.75,0,1800,900
216,Mohammed,Rathi,M,202,781-8242,WASHINGTON,DC,20013,S,Y,95000,9.0,1370,0,1370
219,Luba,Libkin,M,734,766-9214,WALLED LAKE,MI,48391,M,N,100000,3.9,0,6200,0
221,Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0
223,Ashwini,Schnoebelen,F,301,389-5635,TAKOMA PARK,MD,20913,M,N,100000,4.75,0,4800,0
224,Djamila,Crepeau,F,603,740-3671,EAST KINGSTON,NH,3827,M,Y,60000,0.0,0,0,0
228,Helene,Allison,M,678,585-9798,ATLANTA,GA,30326,M,N,5000,4.4,0,5400,0
229,Eckehard,Schuette,M,662,422-5351,POTTS CAMP,MS,38659,M,N,65000,5.0,0,12000,0
233,Otthein,Efe,F,901,780-1326,DAYTON,TN,37321,S,N,40000,0.0,0,0,0
234,Shiafun,Cappelli,M,443,240-3353,GALENA,MD,21635,S,N,20000,4.75,2400,0,0
240,Sharat,Wissmann,M,304,946-6781,TEAYS,WV,25569,S,N,70000,6.5,2000,0,0
244,Sonoko,Dam,F,939,206-1159,CABO ROJO,PR,623,S,N,45000,0.0,0,0,0
247,Noach,Kuzuoka,M,662,694-3205,SLATE SPRING,MS,38955,M,Y,90000,5.0,0,12000,1500
248,Mandy,Sidou,M,267,606-1367,HESSTON,PA,16647,M,Y,100000,3.07,0,0,0
254,Isdor,Fosse,F,202,950-4713,WASHINGTON,DC,20472,S,N,35000,9.0,1370,0,0
255,Jianghai,Orailoglu,F,812,452-4710,WEST BADEN SPRINGS,IN,47469,M,N,25000,3.4,0,2000,0
256,Varsha,Ernst,M,484,993-6874,ASHFIELD,PA,18212,S,Y,25000,3.07,0,0,0
258,Chandrasekhara,Mlynski,M,912,791-5354,RICEBORO,GA,31323,S,N,85000,6.0,2700,0,0
260,Ramachenga,Gheorghiu,F,865,408-8074,NASHVILLE,TN,37201,S,Y,85000,0.0,0,0,0
261,Wafa,Shumilov,F,202,655-6005,WASHINGTON,DC,20425,S,N,30000,9.0,1370,0,0
262,Tricia,Cosica,F,207,356-5611,SHAWMUT,ME,4975,M,Y,50000,8.5,0,5700,2850
270,Lunjiang,Hanchek,F,802,278-9141,GRAND ISLE,VT,5458,M,N,40000,3.800944,0,6600,0
271,Grigori,Detro,F,304,723-1241,JULIAN,WV,25529,M,Y,45000,5.45,0,4000,2000
273,Vaughan,Hanatani,F,878,638-2204,PITTSBURGH,PA,15215,M,Y,85000,3.07,0,0,0
279,Till,Kotani,F,207,240-8137,EAST BOOTHBAY,ME,4544,S,Y,5000,2.2135036,2850,0,2850
280,Imari,Kleinjohann,F,401,143-3552,CUMBERLAND,RI,2864,S,Y,30000,0.0,0,0,0
282,Bilhanan,Sione,F,774,767-4605,NEEDHAM HEIGHTS,MA,2494,M,N,15000,5.3,0,7150,0
283,Zeger,Zaimov,F,419,521-3886,BELLEFONTAINE,OH,43311,S,N,40000,1.8738205,1300,0,0
285,Lizy,Suorsa,F,717,743-1281,SCRANTON,PA,18505,M,N,75000,3.07,0,0,0
286,Ioanis,Lupu,F,724,116-3246,BENEZETT,PA,15821,M,N,45000,3.07,0,0,0
287,Grigoris,Gentile,F,603,961-8799,NASHUA,NH,3060,M,N,45000,0.0,0,0,0
289,Rinie,Jonckers,M,401,910-7985,JOHNSTON,RI,2919,M,Y,35000,0.0,0,0,0
290,Jovanna,Fosse,F,202,411-7553,WASHINGTON,DC,20208,M,Y,75000,9.0,0,2740,1370
293,Firoz,Heydon,M,443,375-8726,DRAYDEN,MD,20630,M,Y,30000,4.75,0,4800,2400
294,Xiannong,Pinzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,5.3,3575,0,0
295,Gady,Deacon,M,203,823-1927,HARTFORD,CT,6102,M,Y,45000,5.0,0,24500,0
297,Humphrey,Ramamoorthy,F,401,466-2957,CLAYVILLE,RI,2815,M,N,90000,0.0,0,0,0
298,Sethu,Haasis,M,802,330-7388,LONDONDERRY,VT,5148,S,Y,85000,4.69624,3300,0,3300
299,Polly,Litant,F,614,445-6070,CYNTHIANA,OH,45624,M,N,75000,3.0356412,0,2600,0
300,Giampaolo,Rege,M,256,421-6525,NEW BROCKTON,AL,36351,S,N,10000,5.0,1500,0,0
302,Guenter,Sigal,M,401,707-8008,PROVIDENCE,RI,2908,S,N,10000,0.0,0,0,0
303,Gunnvald,Lieflander,M,917,747-7431,AMITYVILLE,NY,11701,S,N,65000,4.330183,0,0,0
305,Muzhong,Derthick,M,859,501-8665,ATHOL,KY,41307,S,Y,95000,6.0,20,0,20
306,Hidetosi,Maquelin,F,256,788-7459,NORTHPORT,AL,35473,M,N,45000,5.0,0,3000,0
309,Ljiljana,Smeets,F,508,693-9220,AGAWAM,MA,1001,M,Y,45000,5.3,0,7150,1000
311,Richa,Bouaricha,F,734,777-3473,GRAND RAPIDS,MI,49518,S,Y,25000,3.9,3100,0,3100
312,Hiroko,Cambanis,F,662,797-4304,JONESTOWN,MS,38639,M,Y,60000,5.0,0,12000,1500
313,Rein,Sakagami,M,302,675-7612,YORKLYN,DE,19736,M,N,100000,5.95,0,220,0
315,Stella,Sokoler,F,828,550-4061,TUCKASEGEE,NC,28783,S,Y,40000,6.571678,3300,0,3300
316,Kazuyasu,Krogh,F,706,537-9961,WARNER ROBINS,GA,31095,S,Y,60000,6.0,2700,0,3000
320,Peikun,Ranst,F,443,970-3796,HAGERSTOWN,MD,21746,M,Y,70000,4.75,0,4800,2400
321,Clemens,Nastar,F,407,828-8212,VENICE,FL,34285,M,N,55000,0.0,0,0,0
323,Manoli,Umaschi,M,302,556-6474,WILMINGTON,DE,19898,S,Y,20000,3.2227273,110,0,110
326,Kieron,Munro,F,980,500-8318,CHARLOTTE,NC,28242,M,N,35000,6.466783,0,6600,0
327,Jixin,Markosian,F,803,148-3702,JOHNS ISLAND,SC,29455,S,N,50000,7.0,3300,0,0
329,Venkatavasu,Antoy,M,910,211-1498,LEXINGTON,NC,27293,S,N,55000,6.8863635,3300,0,0
330,Martyne,Naggar,F,724,821-3010,PARKER FORD,PA,19457,M,N,35000,3.07,0,0,0
335,Alin,Mandell,M,410,552-8074,BALTIMORE,MD,21280,M,Y,75000,4.75,0,4800,2400
337,Shabbir,Dharanipragada,M,908,696-4412,BRANCHVILLE,NJ,7890,S,Y,95000,2.5828125,1000,0,1500
340,Vinot,Formenti,F,828,137-3701,PINETOWN,NC,27865,M,N,60000,6.9912586,0,6600,0
342,Yanbing,Gecsei,M,570,288-8387,BRUSH VALLEY,PA,15720,S,N,50000,3.07,0,0,0
347,Nick,Gelosh,M,207,257-6382,SALSBURY COVE,ME,4672,S,Y,35000,8.5,2850,0,2850
348,Ran,Sabelli,F,860,110-1437,GREENWICH,CT,6830,S,N,80000,5.0,12750,0,0
350,Xiaola,Xianchang,F,269,287-4082,TAWAS CITY,MI,48763,S,N,20000,3.9,3100,0,0
353,Dany,Rowen,M,256,491-3155,EVA,AL,35621,M,N,95000,5.0,0,3000,0
354,Nitsan,Ertl,M,351,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000
355,Vanio,Schulmeyer,F,859,733-8676,SALVISA,KY,40372,S,Y,50000,4.611111,20,0,20
356,Liren,Bischoff,F,843,444-9564,PENDLETON,SC,29670,M,N,95000,7.0,0,6600,0
357,Brennan,Wongsaroje,F,202,633-6149,WASHINGTON,DC,20203,M,N,60000,9.0,0,2740,0
358,Ludwik,Hamburg,M,978,529-7308,ASHFIELD,MA,1330,M,Y,5000,5.3,0,7150,1000
360,Ward,Cicchetti,F,603,219-3160,MARLOW,NH,3456,M,Y,15000,0.0,0,0,0
368,Tooru,Miara,M,603,846-2406,GLENCLIFF,NH,3238,S,N,30000,0.0,0,0,0
370,Herwig,Massalin,M,302,240-3897,WILMINGTON,DE,19890,M,N,60000,5.95,0,220,0
372,Corinne,Henriksson,F,772,709-5513,ZEPHYRHILLS,FL,33540,M,Y,10000,0.0,0,0,0
374,Lein,Ang,F,857,188-6322,HOLYOKE,MA,1041,S,Y,90000,5.3,3575,0,1000
375,Deene,Clark,F,215,800-6906,PHILADELPHIA,PA,19139,S,Y,30000,3.07,0,0,0
380,Gustave,Shnaider,F,231,807-6159,NEW TROY,MI,49119,S,N,5000,3.9,3100,0,0
381,Yukari,Malkhi,F,843,225-8848,LONGS,SC,29568,S,N,5000,3.563716,3300,0,0
382,Arvola,Masamoto,F,772,182-9136,LEE,FL,32059,S,Y,35000,0.0,0,0,0
383,Rashi,Anguilar,M,205,703-8570,JACKSON,AL,36501,S,Y,80000,5.0,1500,0,300
385,Younggeun,Subhlok,F,859,157-3453,SYMSONIA,KY,42082,S,Y,90000,6.0,20,0,20
387,Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,0,7150,1000
388,Mihaly,Cranor,M,270,829-7922,CUSTER,KY,40115,M,Y,80000,6.0,0,40,20
389,Koh,Torasso,F,256,733-8532,PETERMAN,AL,36471,M,N,100000,5.0,0,3000,0
394,Lan,Nawawi,F,813,989-4537,DAYTONA BEACH,FL,32124,M,Y,60000,0.0,0,0,0
396,Helmuth,Chottin,M,256,117-3491,BYNUM,AL,36253,S,Y,20000,5.0,1500,0,300
397,Haitao,Thibeault,F,304,158-6906,BEREA,WV,26327,S,Y,20000,3.7,2000,0,2000
398,Camino,Rieu,M,865,402-4993,OLD HICKORY,TN,37138,M,Y,50000,0.0,0,0,0
399,Naeem,Radzik,F,610,770-8043,MCKEESPORT,PA,15132,M,Y,85000,3.07,0,0,0
400,Yongdong,Nagase,M,908,328-4760,NEWPORT,NJ,8345,S,N,65000,2.1096876,1000,0,0
401,Henk,Klawonn,M,410,268-6712,SILVER SPRING,MD,20916,S,N,70000,4.75,2400,0,0
402,Antony,Monderer,M,802,854-5962,NORTH FERRISBURGH,VT,5473,S,N,65000,4.298331,3300,0,0
408,Laurian,Beierle,M,410,615-5232,FAIRPLAY,MD,21733,M,Y,75000,4.75,0,4800,2400
411,Mohd,Lavie,M,207,720-6245,EAGLE LAKE,ME,4739,S,Y,85000,8.5,2850,0,2850
414,Niki,Ratnaker,M,502,109-8331,FLAT LICK,KY,40935,M,N,20000,2.9444444,0,40,0
416,Fazli,Kowalchuk,F,302,882-6872,TOWNSEND,DE,19734,M,Y,75000,5.95,0,220,110
417,Mitsue,Hinsberger,F,901,256-2588,MURFREESBORO,TN,37128,S,Y,5000,0.0,0,0,0
420,Mansur,Kabra,F,321,425-9153,ORLANDO,FL,32886,M,Y,5000,0.0,0,0,0
422,Avadis,Dattasharma,M,508,449-5112,ACCORD,MA,2018,S,Y,85000,5.3,3575,0,1000
423,Couto,XueDong,M,207,505-5650,NORTH ANSON,ME,4958,S,Y,60000,8.5,2850,0,2850
424,Almira,Farrahi,M,803,775-6764,WALTERBORO,SC,29488,M,N,35000,7.0,0,6600,0
426,Woei,Gurzi,M,302,272-4994,WILMINGTON,DE,19801,M,Y,5000,2.2,0,220,110
427,Sankaran,Nisonger,M,260,885-6580,CLARKS HILL,IN,47930,S,Y,35000,3.4,1000,0,1000
429,Nabanita,Hackl,M,304,482-7192,DELBARTON,WV,25670,S,Y,25000,4.05,2000,0,2000
430,Ziqiang,Murer,M,770,694-8289,LITHONIA,GA,30058,M,Y,85000,6.0,0,5400,3000
431,Toshifumi,Leguy,F,939,334-4361,CANOVANAS,PR,729,M,Y,45000,0.0,0,0,0
432,Zhongxiu,Tait,M,561,828-7379,ORANGE CITY,FL,32774,S,Y,35000,0.0,0,0,0
433,Houssem,Sewry,M,401,266-7110,HARRISVILLE,RI,2830,S,N,55000,0.0,0,0,0
434,Saydean,Banare,M,508,137-3292,EAST WEYMOUTH,MA,2189,S,Y,5000,5.3,3575,0,1000
435,Lora,Rosch,M,570,299-3852,CHAMBERSBURG,PA,17201,S,N,55000,3.07,0,0,0
440,Akmal,Jahnichen,F,603,303-2843,SALEM,NH,3079,M,Y,15000,0.0,0,0,0
441,Xinglin,Leonhardt,M,980,246-5999,FAIRVIEW,NC,28730,S,N,50000,6.7814684,3300,0,0
442,Asat,Stevenson,M,202,196-4036,WASHINGTON,DC,20395,S,Y,65000,9.0,1370,0,1370
443,Frederic,Machiels,F,203,720-4264,STAFFORDVILLE,CT,6077,M,Y,60000,5.0,0,24500,0
446,Jingwen,Tuchel,M,443,163-8697,GLENELG,MD,21737,M,N,100000,4.75,0,4800,0
449,Joaquin,Renegar,M,860,520-9731,NORWICH,CT,6360,S,Y,70000,5.0,12750,0,0
451,Byeong,Hadfield,F,631,932-8771,NEW YORK,NY,10018,S,Y,45000,4.2143292,0,0,1000
452,Olivera,Bian,M,860,519-2673,WEST HAVEN,CT,6516,M,Y,90000,5.0,0,24500,0
453,Adriano,DosSantos,F,662,252-1571,WAYSIDE,MS,38780,M,Y,20000,5.0,0,12000,1500
454,Chengdian,Falvo,F,212,344-6114,WOODSTOCK,NY,12498,S,N,50000,4.243293,0,0,0
455,Ira,Hajnal,M,631,420-5486,WESTBROOKVILLE,NY,12785,S,N,45000,4.2143292,0,0,0
458,Yuuichi,Assche,M,704,325-2600,KINSTON,NC,28502,S,Y,55000,6.8863635,3300,0,3300
459,Yutai,Verdillon,M,229,110-6071,ALAPAHA,GA,31622,S,N,40000,6.0,2700,0,0
461,Hidenori,Suppi,M,803,965-7567,CHARLESTON,SC,29423,M,N,60000,7.0,0,6600,0
464,Harald,Eichhorn,M,201,260-4653,NEW GRETNA,NJ,8224,M,N,25000,1.4788542,0,2000,0
466,Abdelillah,Asuru,M,614,528-4750,EAST LIBERTY,OH,43319,M,N,45000,2.039795,0,2600,0
467,Kellogg,Chander,F,202,207-7256,WASHINGTON,DC,20585,S,N,55000,9.0,1370,0,0
468,Ramaswamy,McCluskey,M,848,173-9544,NETCONG,NJ,7857,S,N,90000,2.5039582,1000,0,0
469,Oddvar,Wolfson,M,260,490-2673,GREENS FORK,IN,47345,S,Y,40000,3.4,1000,0,1000
471,Kazuko,Leishman,F,724,540-8466,GORDONVILLE,PA,17529,M,N,80000,3.07,0,0,0
472,Viresh,Gierl,M,603,660-9974,HAMPTON,NH,3842,S,N,40000,0.0,0,0,0
473,Huatian,Orlando,M,601,166-7120,JACKSON,MS,39215,S,Y,25000,5.0,6000,0,1500
474,Masao,Wind,M,440,845-7069,DOVER,OH,44622,S,Y,25000,1.3758974,1300,0,1300
475,Tereza,Huijsmans,F,804,835-2965,RICHMOND,VA,23225,S,Y,85000,5.75,900,0,900
477,Kolar,Ege,M,731,194-8510,KNOXVILLE,TN,37924,S,Y,5000,0.0,0,0,0
478,Jarallah,Sadowski,F,803,827-1678,YEMASSEE,SC,29945,S,Y,80000,7.0,3300,0,3300
479,Breck,MacLean,M,267,181-8055,CLARION,PA,16214,M,Y,80000,3.07,0,0,0
480,Xiaotao,Claire,F,718,774-1245,NEW HYDE PARK,NY,11043,M,Y,90000,4.475,0,0,1000
481,Bowen,Rubinfield,F,607,621-9879,WOODGATE,NY,13494,S,N,65000,4.330183,0,0,0
485,Elvia,Bergen,F,860,436-2928,HARTFORD,CT,6114,S,N,90000,5.0,12750,0,0
487,Staphane,Spitz,F,774,393-2358,STOW,MA,1775,M,N,50000,5.3,0,7150,0
488,Rodrigo,Stomenovic,F,731,258-4572,MURFREESBORO,TN,37128,S,Y,35000,0.0,0,0,0
490,Farid,Guyer,M,302,632-2748,WILMINGTON,DE,19891,M,N,10000,2.540909,0,220,0
491,Boi,Bassino,F,941,553-5210,MIAMI,FL,33106,S,N,35000,0.0,0,0,0
492,Krisda,Braschler,F,973,704-3168,TRENTON,NJ,8604,M,Y,35000,1.6365625,0,2000,1500
495,Dayun,Reck,F,804,274-4237,STANLEY,VA,22851,S,N,35000,5.75,900,0,0
496,Hongwei,Clo,M,413,475-1491,EAST FALMOUTH,MA,2536,M,Y,80000,5.3,0,7150,1000
498,Geraldo,Lazensky,M,207,269-7129,SOUTHWEST HARBOR,ME,4679,M,Y,60000,8.5,0,5700,2850
500,Giora,Macias,M,609,220-2344,HELMETTA,NJ,8828,S,N,45000,1.7942708,1000,0,0
503,Paramsothy,Orgass,F,774,823-8510,MILL RIVER,MA,1244,M,Y,10000,5.3,0,7150,1000
505,Toshihiro,Gerla,F,351,318-2767,BOSTON,MA,2284,S,Y,20000,5.3,3575,0,1000
