10468.rate,a3.4,3.4
17407.salary,95078,95000
12971.state,Z,AZ
3944.childexemp,311,272
1286.childexemp,82,0
7960.haschild,qY,Y
9523.lname,Parganokar,Pargaonkar
8536.lname,Naagvamsi,Nagavamsi
13598.salary,95039,95000
3411.salary,100019,100000
12277.state,AG,GA
7135.marriedexemp,36,0
5832.maritalstatus,,S
9432.childexemp,2497,2400
16161.state,DoC,DC
6554.phone,1097-051,109-7051
12424.haschild,nN,N
14681.salary,55039,55000
5585.singleexemp,70,0
8826.maritalstatus,***,S
9967.state,oUT,UT
19496.gender,,F
13265.gender,nF,F
4570.salary,90019,90000
6644.singleexemp,61,0
3584.city,DLLAS,DALLAS
8925.haschild,gY,Y
19819.haschild,vN,N
14952.state,qTN,TN
2736.singleexemp,89,0
10255.lname,Vivros,Viveros
8648.state,D,MD
14701.singleexemp,2047,2000
15899.singleexemp,81,0
19024.maritalstatus,iS,S
19995.marriedexemp,79,0
13935.marriedexemp,6,0
10873.gender,,M
13179.haschild,qN,N
11953.gender,***,F
1445.haschild,aY,Y
18645.lname,Voisazrd,Voisard
3073.lname,Kayasima,Kayashima
17987.haschild,iN,N
472.childexemp,26,0
15673.childexemp,3088,3000
19283.city,GREENBUHS,GREENBUSH
4440.rate,,5
16481.salary,65076,65000
7657.state,DmC,DC
19855.gender,,F
10054.gender,pM,M
3142.phone,94-9854,945-9854
5106.salary,50049,50000
3149.singleexemp,951,900
14624.phone,493-4419,493-4491
1549.rate,,3
7674.phone,8i57-7539,857-7539
16804.city,HONOULU,HONOLULU
15236.lname,Kilnke,Klinke
6789.city,FRANbKFORD,FRANKFORD
12483.city,rPHOENIX,PHOENIX
546.marriedexemp,78,40
12399.maritalstatus,***,S
10998.marriedexemp,5445,5400
6783.marriedexemp,89,0
15458.childexemp,3349,3300
1928.state,E,DE
15134.state,DN,ND
6720.singleexemp,4559,4500
1506.gender,,M
1007.marriedexemp,15,0
6934.city,POK CITY,POLK CITY
26.salary,85056,85000
6902.singleexemp,42,0
3106.state,JN,NJ
11112.marriedexemp,20,0
3025.rate,3.36795,3.36759
17504.childexemp,3329,3300
5729.singleexemp,926,900
1115.singleexemp,95,0
2038.state,TC,CT
8278.rate,n0,0
18849.rate,***,5
5139.marriedexemp,61,0
1223.childexemp,36,0
12800.haschild,***,N
6132.state,IxN,IN
14271.phone,73-9006,273-9006
9335.lname,Schning,Schuning
14448.rate,***,0
17458.maritalstatus,,M
13157.maritalstatus,wM,M
1030.marriedexemp,93,0
15954.gender,,M
15903.gender,,M
9314.haschild,***,N
2406.haschild,,Y
14445.rate,s4.75,4.75
10491.lname,Roussaeu,Rousseau
10374.city,LAS VEGtAS,LAS VEGAS
11395.marriedexemp,53,0
9150.maritalstatus,***,S
15332.salary,60068,60000
1386.marriedexemp,17,0
13546.rate,39.,3.9
6422.salary,20009,20000
12985.gender,lF,F
15759.haschild,,N
17096.singleexemp,3320,3300
2449.maritalstatus,nS,S
17561.childexemp,50,0
5963.gender,zM,M
18271.marriedexemp,17,0
11878.rate,,0
2555.city,CALTON,CARLTON
12595.city,MANLEY HTO SPRINGS,MANLEY HOT SPRINGS
14976.salary,50011,50000
8495.maritalstatus,fM,M
8671.maritalstatus,***,M
12497.marriedexemp,3,0
7888.state,K,AK
7885.salary,35030,35000
2261.marriedexemp,2,0
17805.rate,2.1111112***,2.1111112
14160.salary,90043,90000
15454.rate,,0
2437.state,NT,TN
4179.haschild,,Y
4477.state,L,FL
12808.childexemp,28,0
12415.singleexemp,1044,1040
18219.marriedexemp,8,0
11829.childexemp,1201,1200
3250.childexemp,44,0
15286.phone,k572-3703,572-3703
13991.gender,,F
18585.marriedexemp,24,0
9196.childexemp,68,0
19077.state,AG,GA
18389.city,ATLANA,ATLANTA
2683.maritalstatus,,S
9355.state,DS,SD
19603.state,TU,UT
9988.lname,Vdial,Vidal
14339.maritalstatus,***,S
10250.gender,,F
18041.rate,,0
10691.rate,64.5,6.45
19658.state,O,MO
19902.childexemp,13,0
3469.rate,5.166667***,5.166667
18452.salary,20092,20000
16689.lname,Liggecsmeyer,Liggesmeyer
10985.gender,hM,M
8435.childexemp,122,110
14179.state,XT,TX
8355.city,PHIALDELPHIA,PHILADELPHIA
1349.childexemp,88,20
15740.city,BROOKSVILLE***,BROOKSVILLE
17972.state,M,NM
12233.phone,786-653,786-6553
3724.phone,164-8077,164-8707
18216.state,ED,DE
9013.city,SELDOVAI,SELDOVIA
12837.rate,.63,4.63
4371.maritalstatus,sM,M
14308.maritalstatus,,M
1063.rate,y5,5
17639.gender,***,F
7752.haschild,***,N
7772.lname,Westapr,Westarp
653.city,INNILCHIK,NINILCHIK
18027.phone,705-629y5,705-6295
18361.marriedexemp,4538,4500
5515.phone,6t94-5364,694-5364
14718.city,BNETON,BENTON
1275.city,HATTANOOGA,CHATTANOOGA
15420.marriedexemp,100,0
9111.singleexemp,77,0
5924.lname,Genttner,Gentner
9720.salary,30017,30000
15832.childexemp,82,0
7761.childexemp,40,0
2235.childexemp,2087,2000
8605.singleexemp,75,0
10949.rate,,7
17019.salary,15034,15000
8938.phone,880-7726,880-7762
15978.rate,,0
15735.salary,90060,90000
19758.childexemp,84,0
6382.lname,Vosbrugh,Vosburgh
12780.state,R,PR
15132.rate,,0
3955.haschild,***,Y
6242.city,CARRpOLLTON,CARROLLTON
6903.phone,169-1338,619-1338
11625.rate,c6,6
17638.rate,***,0
19839.maritalstatus,,S
3248.maritalstatus,***,M
5326.marriedexemp,7230,7150
5648.maritalstatus,***,S
7268.lname,Kleoden,Kloeden
688.state,A,MA
19559.haschild,,N
15240.haschild,***,Y
16697.singleexemp,4539,4500
19388.childexemp,48,0
4142.lname,Bruah,Bruha
14362.maritalstatus,sM,M
3758.rate,1.541878,1.5418718
1879.marriedexemp,95,0
18214.singleexemp,86,0
11285.childexemp,79,0
13596.lname,Macmillwan,Macmillan
19563.city,VIBOG,VIBORG
8548.singleexemp,2050,2000
5243.state,IM,MI
18646.lname,Meridste,Meriste
5523.maritalstatus,,S
13802.haschild,,Y
3314.maritalstatus,pM,M
2542.singleexemp,2458,2400
477.gender,lF,F
1049.phone,696f-5108,696-5108
16702.lname,Brustmann***,Brustmann
5805.salary,95007,95000
2267.childexemp,1377,1370
14319.phone,4o59-8528,459-8528
11302.lname,aMlama,Malama
1215.city,SCENEY HILL,SCENERY HILL
182.lname,Francisic,Francisci
12574.state,cUT,UT
2419.marriedexemp,58,0
19345.gender,nF,F
18851.singleexemp,172,110
19913.marriedexemp,63,0
5850.lname,Bokdwin,Bodwin
8798.city,JOHNSOTN,JOHNSTON
16721.city,BvEREA,BEREA
9968.state,LF,FL
8906.childexemp,105,20
5534.marriedexemp,6670,6600
813.state,M,NM
8805.singleexemp,3383,3300
2404.singleexemp,21,0
2359.marriedexemp,7,0
10116.lname,Tomasset,Thomasset
1841.phone,827-7262,872-7262
10282.salary,40037,40000
2669.rate,7.t8,7.8
10793.haschild,***,Y
16967.city,PALbMYRA,PALMYRA
6646.phone,599h-3196,599-3196
16123.rate,.127439,4.127439
8992.maritalstatus,***,S
1730.maritalstatus,,M
3947.lname,Mozeioc,Mozeico
8505.marriedexemp,6608,6600
3707.marriedexemp,6608,6600
7727.marriedexemp,96,0
18590.salary,40017,40000
17212.state,A,CA
11078.childexemp,1955,1900
4106.state,T,UT
11048.rate,o0,0
10700.city,LAMBERVILLE,LAMBERTVILLE
2179.state,TU,UT
5037.childexemp,1032,1000
6816.lname,Chernika,Cherinka
5946.haschild,***,Y
15455.childexemp,31,0
13389.marriedexemp,12,0
9051.gender,***,M
19100.gender,***,M
16449.phone,8477-145,847-7145
9828.childexemp,38,0
5215.salary,20074,20000
17340.maritalstatus,,S
12518.state,E,NE
4217.salary,55085,55000
9087.haschild,***,Y
13351.marriedexemp,12,0
11201.phone,716-921,716-1921
9639.maritalstatus,,M
3514.singleexemp,61,0
15630.marriedexemp,6602,6600
13302.childexemp,15,0
6919.haschild,***,Y
12584.city,OlWINGSVILLE,OWINGSVILLE
7999.singleexemp,92,0
10881.city,SAwINT MARYS,SAINT MARYS
4970.lname,Pichettti,Pichetti
1117.salary,80014,80000
13381.childexemp,3336,3300
2075.city,JACKSN,JACKSON
17374.salary,40004,40000
19648.state,N,IN
19340.gender,,M
11512.salary,50026,50000
18394.haschild,bY,Y
12646.phone,506-552,506-5952
11832.marriedexemp,76,0
17398.maritalstatus,nM,M
6156.maritalstatus,***,M
1963.salary,15024,15000
14077.salary,95037,95000
8628.maritalstatus,gS,S
11670.salary,75043,75000
6807.maritalstatus,fS,S
18045.haschild,***,Y
3854.lname,dagawa,Edagawa
12007.salary,5078,5000
13783.marriedexemp,5482,5400
1824.gender,***,M
15110.childexemp,2,0
4321.maritalstatus,qS,S
16864.state,KA,AK
5434.state,HyI,HI
12804.gender,qM,M
12111.salary,5096,5000
1478.gender,***,M
4702.state,X,TX
17330.singleexemp,25,0
7441.lname,Hamkonen,Hakonen
13302.phone,122-154,122-1544
10530.phone,658-9189,685-9189
15520.marriedexemp,6617,6600
14361.city,CAlRTER,CARTER
11150.marriedexemp,38,0
27.childexemp,78,0
18885.singleexemp,32,0
5743.lname,icard,Sicard
216.maritalstatus,,M
2136.phone,7547989,754-7989
12383.marriedexemp,9099,9000
18593.singleexemp,126,40
1427.childexemp,36,0
462.maritalstatus,,M
215.phone,753-928,753-5928
10111.haschild,,Y
8308.state,A,IA
15312.lname,Matrne,Matrone
16822.singleexemp,85,0
8685.singleexemp,93,0
17680.gender,xM,M
7915.rate,.93,9.3
3182.gender,***,F
15859.rate,.11,4.11
12127.marriedexemp,4261,4200
1575.marriedexemp,2089,2000
3599.marriedexemp,70,0
17951.childexemp,31,0
17043.gender,cM,M
10776.singleexemp,1913,1900
2739.childexemp,183,110
7793.childexemp,99,0
14552.singleexemp,47,0
13156.gender,pF,F
17168.rate,.85,8.5
5722.childexemp,45,0
3218.singleexemp,62,0
9548.rate,3.0356n412,3.0356412
17.city,SNECA,SENECA
513.lname,Nutyh,Nuth
9711.lname,mBank,Bank
3292.salary,45057,45000
13775.marriedexemp,2025,2000
11430.singleexemp,2903,2850
5937.salary,65006,65000
19006.singleexemp,1559,1500
3082.phone,54-8421,504-8421
13398.rate,625,6.25
10965.maritalstatus,***,S
14134.city,SAIN TCLOUD,SAINT CLOUD
2031.salary,55025,55000
19850.lname,Shran,Shiran
15014.lname,Balbni,Balboni
14239.phone,266-8269,266-8296
4830.salary,30049,30000
3435.childexemp,67,0
4744.city,FLpORENCE,FLORENCE
16101.phone,6u35-8786,635-8786
19261.rate,.3875,3.875
708.haschild,bN,N
16062.singleexemp,2561,2475
3567.lname,Regazn,Regan
17212.childexemp,354,272
7745.marriedexemp,7154,7150
2876.rate,8x.25,8.25
5099.singleexemp,1,0
15014.haschild,***,N
14164.gender,***,M
5173.rate,4.36,4.63
15209.phone,389-x5317,389-5317
1814.gender,oF,F
8710.haschild,***,Y
12467.maritalstatus,***,M
8706.salary,95001,95000
18170.phone,71-9685,471-9685
14566.marriedexemp,2674,2600
5814.haschild,***,Y
1039.salary,65053,65000
19988.salary,50016,50000
13825.marriedexemp,66,0
10505.salary,75060,75000
476.maritalstatus,,S
19263.state,R,PR
303.maritalstatus,***,S
6746.city,CARPENTERSVILLE***,CARPENTERSVILLE
2020.state,YW,WY
8428.marriedexemp,4048,4000
4783.salary,85041,85000
854.haschild,***,N
4560.phone,315-353,315-3583
9980.singleexemp,37,0
1160.marriedexemp,58,0
4270.maritalstatus,***,S
9892.marriedexemp,32,0
2623.state,SM,MS
458.marriedexemp,175,80
9708.gender,,M
287.state,A,PA
4971.city,GORAM,GORHAM
15001.state,I,RI
11067.state,A,IA
4545.childexemp,89,0
14632.maritalstatus,rM,M
15047.haschild,yY,Y
8049.haschild,vN,N
7205.singleexemp,94,0
2548.haschild,***,N
11112.rate,4.5857663***,4.5857663
6991.lname,Smotrosv,Smotrovs
6673.singleexemp,52,0
5344.phone,203-0231,203-2031
15006.maritalstatus,***,S
7737.phone,7w78-7815,778-7815
2995.city,AOKLAND,OAKLAND
18325.phone,k497-9079,497-9079
16846.lname,Sbimec,Simec
19538.maritalstatus,,S
7494.maritalstatus,***,M
3063.rate,z6.9,6.9
12842.marriedexemp,96,0
17813.state,WyV,WV
17807.rate,2.592063,2.5092063
16619.city,SAINT PETERSBRUG,SAINT PETERSBURG
18177.marriedexemp,44,0
12554.singleexemp,3343,3300
8081.lname,Krasan,Karasan
13099.maritalstatus,tS,S
19478.marriedexemp,240,220
9278.maritalstatus,hM,M
7752.childexemp,52,0
1303.singleexemp,38,0
11678.phone,27h9-7062,279-7062
11924.rate,3j.07,3.07
14336.phone,10-9082,910-9082
12910.salary,85098,85000
2002.city,MALTqA,MALTA
14489.phone,87-5187,287-5187
14705.state,Y,NY
15970.marriedexemp,6614,6600
5029.city,FAYETTEqVILLE,FAYETTEVILLE
16995.childexemp,30,0
11900.lname,Baztoglou,Batzoglou
12597.gender,zM,M
2019.salary,100072,100000
5763.marriedexemp,53,0
2744.childexemp,61,0
5550.rate,a5,5
8455.maritalstatus,,S
4468.singleexemp,241,159
8594.phone,323-076,323-5076
4607.rate,z7,7
549.childexemp,73,0
965.city,ALHAMRA,ALHAMBRA
13278.childexemp,63,0
1792.rate,4.325,4.0325
1757.salary,10036,10000
7679.marriedexemp,1452,1400
12340.childexemp,43,0
6951.childexemp,54,0
3060.phone,959l-1563,959-1563
11325.rate,i0,0
17114.gender,,M
601.lname,Blusein,Blustein
3439.maritalstatus,jS,S
7459.maritalstatus,,M
15344.salary,90073,90000
13089.marriedexemp,336,318
13588.phone,90-1519,690-1519
1168.singleexemp,1,0
7725.maritalstatus,***,M
10106.haschild,,Y
7941.gender,,M
4107.lname,Gnoi,Goni
14632.city,BeATON ROUGE,BATON ROUGE
2925.city,VERSHIRbE,VERSHIRE
19577.childexemp,2,0
19509.gender,***,F
455.rate,z5,5
17888.salary,60020,60000
8961.phone,51-7242,519-7242
1766.haschild,,Y
9069.salary,75040,75000
4011.marriedexemp,99,0
13897.phone,160-447i0,160-4470
27.maritalstatus,xS,S
2154.childexemp,17,0
16048.phone,349-880,349-8810
12374.singleexemp,2,0
6926.singleexemp,155,110
17244.rate,.475,4.75
6459.salary,45035,45000
12409.singleexemp,50,0
14741.marriedexemp,65,40
13547.gender,***,M
16974.singleexemp,3390,3300
842.gender,oM,M
7015.childexemp,36,20
5818.childexemp,3397,3300
11258.gender,xM,M
4600.childexemp,189,159
10401.city,FRUnITLAND,FRUITLAND
4069.rate,,0
3610.maritalstatus,rS,S
1583.singleexemp,2755,2700
15561.marriedexemp,31,0
17613.state,MN,NM
10882.haschild,,Y
15074.haschild,,Y
12668.salary,5014,5000
15363.childexemp,27,0
11072.rate,w5.3,5.3
18138.city,UpNION,UNION
14770.city,WASHNIGTON,WASHINGTON
18774.salary,20093,20000
16241.phone,258-9097,258-9079
15732.gender,,F
8663.state,H,NH
18223.haschild,***,Y
3397.salary,40004,40000
12119.lname,Brbaerman,Braberman
14126.gender,rM,M
15929.marriedexemp,6618,6600
969.singleexemp,98,0
8882.salary,85079,85000
11037.singleexemp,2073,2000
19863.phone,11-5568,121-5568
3869.maritalstatus,eS,S
17561.phone,477-4201,477-2401
17135.haschild,fY,Y
11709.marriedexemp,2099,2000
4075.rate,4.084755,4.0984755
4361.rate,3.c6995387,3.6995387
8792.phone,508-1854,508-8154
11313.maritalstatus,***,M
1216.maritalstatus,,S
17771.marriedexemp,4552,4500
19643.lname,Zecnher,Zechner
19957.marriedexemp,23,0
5320.salary,10021,10000
11145.state,InD,ID
15039.city,PALISaADES PARK,PALISADES PARK
3929.salary,75018,75000
9826.childexemp,15,0
19530.state,KvY,KY
15479.state,dAZ,AZ
12343.singleexemp,38,0
10443.state,oKY,KY
10970.rate,2.567675,2.5671675
6451.marriedexemp,6653,6600
18099.rate,,5
3844.lname,hock,Chock
18026.state,cKY,KY
1809.city,EUFAUA,EUFAULA
17590.city,RISCO,FRISCO
1032.lname,Nagno,Nagano
18157.gender,bF,F
13963.marriedexemp,32,0
14974.maritalstatus,rM,M
19112.childexemp,3345,3300
2767.state,yMO,MO
1441.lname,Slaahts,Slaats
11269.salary,20062,20000
4551.lname,Silcly,Silly
4610.childexemp,23,0
1934.singleexemp,23,0
2197.haschild,hY,Y
10293.marriedexemp,1492,1400
10939.gender,***,F
16057.city,RINaCON,RINCON
5012.singleexemp,1,0
2701.salary,90019,90000
6729.gender,***,M
12451.marriedexemp,2058,2000
10239.maritalstatus,jM,M
4296.lname,Deglrossi,Delgrossi
3197.rate,.69,6.9
9457.childexemp,3349,3300
12114.marriedexemp,1,0
13335.maritalstatus,xM,M
17405.marriedexemp,38,0
2007.gender,nF,F
4285.gender,,F
11136.lname,illani,Villani
18428.phone,243-7726,234-7726
9734.rate,***,6
16066.haschild,lY,Y
12898.rate,6.183f918,6.183918
17165.phone,583-974,583-9784
5656.state,S,MS
19566.gender,rM,M
7300.childexemp,3344,3300
12716.maritalstatus,,S
12936.state,IM,MI
414.salary,65017,65000
15372.salary,60053,60000
6647.rate,o3.6,3.6
19942.maritalstatus,bM,M
15010.haschild,,Y
1610.city,SUMPETR,SUMPTER
10395.lname,Levasseugr,Levasseur
8520.salary,10038,10000
16654.marriedexemp,74,0
13545.gender,***,M
5439.childexemp,12,0
2066.salary,70049,70000
10111.gender,,M
4170.salary,85055,85000
14640.singleexemp,63,0
12108.state,VW,WV
18915.childexemp,61,0
7634.childexemp,8,0
1255.maritalstatus,***,M
18768.state,RO,OR
16706.state,R,PR
15802.city,NUTTING AKE,NUTTING LAKE
16844.rate,***,5
14739.phone,73-6678,773-6678
8675.singleexemp,20,0
12593.phone,592-v9147,592-9147
14057.rate,2v.1,2.1
16727.state,RA,AR
6379.marriedexemp,1448,1400
16230.state,TM,MT
16696.phone,z807-5300,807-5300
5227.marriedexemp,6615,6600
2346.rate,***,0
17552.singleexemp,5,0
535.rate,4.6v3,4.63
2469.city,COONIAL BEACH,COLONIAL BEACH
13492.state,D,ID
13136.gender,qM,M
2417.phone,889-3u600,889-3600
7704.haschild,***,N
10460.rate,t7,7
19752.state,pNC,NC
18841.city,WASpHINGTON,WASHINGTON
5254.rate,***,0
2684.singleexemp,80,0
9566.phone,207-8b007,207-8007
9331.marriedexemp,3019,3000
15353.state,T,CT
2957.city,CLAYTNO,CLAYTON
929.salary,20020,20000
10456.singleexemp,1,0
7688.state,RP,PR
383.phone,182-c9136,182-9136
1235.phone,17-7924,127-7924
9994.marriedexemp,59,0
4767.phone,481-1l680,481-1680
2965.state,AG,GA
17688.rate,6.8v4,6.84
5166.singleexemp,3321,3300
9905.salary,65060,65000
4796.marriedexemp,14,0
12526.gender,***,F
5675.haschild,***,N
10310.haschild,,N
10943.phone,618-1479,618-4179
11382.singleexemp,98,0
18597.city,FRiANKFORT,FRANKFORT
19574.singleexemp,6,0
4481.childexemp,1004,1000
14234.gender,,F
475.city,ACKSON,JACKSON
1499.phone,60-3290,670-3290
17047.haschild,,Y
2369.maritalstatus,***,S
7562.salary,50005,50000
18342.marriedexemp,95,0
13141.gender,,M
1031.childexemp,1065,1040
10069.city,JANESVIrLLE,JANESVILLE
5275.gender,qF,F
13972.haschild,uN,N
7599.marriedexemp,6675,6600
9500.lname,hkubo,Ohkubo
3761.lname,Cardstensen,Carstensen
126.salary,10002,10000
13734.city,WOODRIVER JUNCTION,WOOD RIVER JUNCTION
5658.marriedexemp,6263,6200
19608.haschild,,N
18382.phone,7i86-4495,786-4495
12626.maritalstatus,***,S
1113.state,ED,DE
17177.city,SUNNYSDE,SUNNYSIDE
19407.state,E,DE
460.haschild,,Y
18724.marriedexemp,6245,6200
11875.haschild,eN,N
7940.haschild,,N
905.haschild,,N
10814.maritalstatus,***,S
16952.gender,wM,M
12451.rate,34.,3.4
11399.marriedexemp,65,0
8698.salary,45084,45000
2117.phone,616-9457,616-4957
16458.phone,1586-733,158-6733
11444.marriedexemp,17,0
10114.rate,r3.4,3.4
3553.maritalstatus,kM,M
17205.singleexemp,1994,1900
15303.marriedexemp,86,0
9625.city,NWE HAVEN,NEW HAVEN
4484.maritalstatus,cS,S
17006.singleexemp,1506,1500
13084.singleexemp,18,0
7001.childexemp,173,103
17627.haschild,,Y
15924.lname,glesias,Yglesias
13180.lname,Berraett,Berrett
7165.childexemp,70,0
9836.salary,95040,95000
12142.gender,***,F
19510.marriedexemp,6672,6600
18819.phone,537-4527,537-4572
12090.phone,402-7021,402-7012
19031.rate,30.217428,3.0217428
7911.city,INOBE,NIOBE
13247.childexemp,17,0
12778.singleexemp,74,0
3590.marriedexemp,3,0
2995.rate,k7,7
17427.phone,69-6408,693-6408
74.city,LREOY,LEROY
6770.phone,826-e1301,826-1301
18405.maritalstatus,,S
11169.childexemp,55,0
15603.rate,***,5
84.singleexemp,183,110
9125.haschild,,Y
3220.singleexemp,42,0
10334.haschild,qY,Y
3130.phone,372-9l352,372-9352
2798.lname,Kanij,Kanj
3188.gender,,F
18696.gender,,M
5423.childexemp,53,0
6471.childexemp,1413,1370
13531.lname,Sernna,Serna
8670.childexemp,67,0
1215.gender,,M
1023.city,ALIBON,ALBION
18476.singleexemp,98,0
8652.haschild,,Y
1988.maritalstatus,,S
6563.phone,334-130v6,334-1306
18472.marriedexemp,6685,6600
8455.state,tMI,MI
15018.rate,.3,5.3
4754.phone,q890-1263,890-1263
16484.childexemp,3053,3000
6248.marriedexemp,4575,4500
3168.gender,uM,M
13286.state,jVT,VT
8812.salary,50056,50000
18979.marriedexemp,41,0
7801.salary,5089,5000
14657.maritalstatus,,M
14232.phone,259-1678,295-1678
14295.salary,65015,65000
10546.maritalstatus,,M
19391.city,NASUHA,NASHUA
12604.phone,267-93b31,267-9331
2670.singleexemp,3371,3300
5831.childexemp,98,0
19037.marriedexemp,57,0
14777.marriedexemp,95,0
5353.city,QUINgCY,QUINCY
