196399.city,SPRIGVILLE,SPRINGVILLE
101387.lname,Lokvas,Lovas
103414.lname,Weismna,Weisman
180325.marriedexemp,6060,6600
112083.haschild,***,N
179393.childexemp,3030,3300
123633.state,RA,AR
78633.state,RA,AR
196394.lname,Febre,Feber
145560.childexemp,,0
62916.state,C,DC
48483.state,JN,NJ
3817.marriedexemp,04,40
135156.city,ARESIAN,ARTESIAN
180270.areacode,2y07,207
65839.haschild,,N
77723.fname,Jiner,Jianer
54730.rate,00,0.0
178814.lname,Agnot,Angot
95908.phone,142-4r007,142-4007
80594.state,JN,NJ
100894.rate,50,5.0
53876.marriedexemp,,0
156702.areacode,03,603
68112.marriedexemp,***,0
176960.childexemp,300,3300
150787.state,AgL,AL
140273.city,AHSLAND,ASHLAND
95123.singleexemp,***,0
47813.salary,0000,40000
187791.fname,Xipneg,Xipeng
87923.singleexemp,250,2850
35611.fname,Dhgaval,Dhaval
181931.maritalstatus,,S
179136.city,AdSHEBORO,ASHEBORO
5083.salary,50500,55000
41263.rate,00,0.0
126662.singleexemp,,0
104.rate,6.48,6.84
107631.childexemp,d900,900
921.gender,***,F
124504.areacode,267,276
137135.lname,Ganrham,Garnham
107387.fname,Mabriemma,Mariemma
176526.haschild,,N
8382.gender,***,F
2689.lname,Satucci,Santucci
45161.childexemp,,0
195863.city,ARMDORE,ARDMORE
49513.salary,2000,25000
166446.singleexemp,y0,0
126789.haschild,gY,Y
1141.gender,,F
199527.state,oAR,AR
38636.zip,56110,65110
33281.fname,fDarryl,Darryl
152284.childexemp,,0
38270.areacode,d401,401
75211.rate,336759,3.36759
74785.lname,Hambblen,Hamblen
163332.city,ANAPEPE,HANAPEPE
25921.state,DiC,DC
117513.marriedexemp,,0
141964.phone,256-8823,526-8823
3836.childexemp,x0,0
113037.marriedexemp,0,40
28088.singleexemp,v0,0
153992.childexemp,0300,3000
188026.state,L,AL
29017.areacode,a781,781
141864.childexemp,b0,0
122187.salary,500o0,5000
74404.singleexemp,u0,0
54062.state,R,AR
5676.gender,***,F
1333.phone,5b22-2144,522-2144
194342.areacode,18,918
53082.childexemp,,0
139724.salary,2000,25000
96333.childexemp,,0
47856.state,O,MO
153658.state,CD,DC
86544.state,D,ND
81176.phone,494-8533,494-8353
155251.haschild,,N
160110.city,rANSELMO,ANSELMO
57722.singleexemp,,0
125169.maritalstatus,***,S
7326.gender,lF,F
49328.gender,,M
143380.city,dARDENVOIR,ARDENVOIR
123099.childexemp,11i0,110
107072.marriedexemp,n0,0
404.phone,759-733o7,759-7337
108648.singleexemp,***,0
161581.marriedexemp,***,0
199682.marriedexemp,8400,4800
83021.rate,.0,0.0
185140.maritalstatus,hS,S
154430.state,L,AL
153489.areacode,132,312
149662.maritalstatus,,S
185008.city,TICmKFAW,TICKFAW
13477.zip,w83263,83263
55907.city,ATHEgNS,ATHENS
140227.singleexemp,***,0
154295.haschild,cY,Y
120142.maritalstatus,pM,M
161977.gender,,F
105969.state,DyC,DC
10906.fname,Araiel,Ariel
34942.lname,uSppi,Suppi
135044.rate,0q.0,0.0
15408.state,CD,DC
175475.phone,803-972o4,803-9724
95476.marriedexemp,,0
15742.haschild,wY,Y
129468.childexemp,***,0
137960.city,GUAYNBO,GUAYNABO
1130.gender,,F
133362.city,ACHORAGE,ANCHORAGE
843.areacode,48,848
158222.maritalstatus,wM,M
19579.marriedexemp,,0
63176.salary,50000***,50000
75690.state,CD,DC
136792.rate,.00,0.0
169761.marriedexemp,8j0,80
193705.marriedexemp,***,0
37456.state,C,NC
48878.rate,p4.4972854,4.4972854
40046.marriedexemp,,0
173246.lname,Delanny,Delannoy
157909.salary,10000***,10000
74905.state,aNE,NE
62364.childexemp,***,0
188370.city,dAMARILLO,AMARILLO
58239.state,C,DC
188840.rate,.30,3.0
186375.marriedexemp,,0
146328.zip,500a71,50071
45611.childexemp,***,0
32898.state,AxL,AL
126591.childexemp,,0
63985.haschild,eY,Y
186682.marriedexemp,,0
110517.fname,Matias,Mattias
115111.rate,f0.0,0.0
79677.gender,***,M
22947.maritalstatus,,S
63428.lname,ampfer,Kampfer
123812.state,DeC,DC
35047.city,TURNEcY,TURNEY
74825.zip,9t9827,99827
2579.childexemp,***,0
38088.marriedexemp,m0,0
56338.state,C,DC
60140.city,ANNAuPOLIS,ANNAPOLIS
187782.childexemp,,0
47249.state,DiC,DC
137999.haschild,,N
19376.singleexemp,d0,0
122763.maritalstatus,,M
184640.singleexemp,,0
195494.state,L,AL
168237.marriedexemp,q0,0
5385.salary,52000,25000
175493.singleexemp,000,1000
135937.singleexemp,,0
131762.gender,,M
20632.salary,1000,15000
130652.childexemp,,0
106192.rate,1.63656x25,1.6365625
2105.singleexemp,k0,0
34870.singleexemp,b0,0
46788.rate,5.5,5.75
105342.maritalstatus,,M
180499.singleexemp,***,0
105619.state,nAL,AL
19405.city,ANCHORAkGE,ANCHORAGE
115655.rate,50.,5.0
138393.childexemp,90,900
196078.fname,Yrui,Yuri
155295.singleexemp,,0
166505.rate,5w.75,5.75
119977.childexemp,***,0
46284.areacode,44,414
135504.marriedexemp,***,0
119006.city,OCKSVILLE,MOCKSVILLE
27676.state,DI,ID
145890.areacode,2s34,234
140771.state,KxS,KS
22271.state,KA,AK
103487.city,LVA,ALVA
29104.childexemp,***,0
170426.zip,88306,83806
120944.state,C,DC
131045.childexemp,,0
178377.salary,t20000,20000
86902.gender,***,M
35718.childexemp,,0
159685.childexemp,,0
137928.state,lFL,FL
82303.areacode,046,406
19227.lname,Psasafiume,Passafiume
94118.singleexemp,***,0
72644.childexemp,k0,0
73746.state,CD,DC
199689.city,ANHORAGE,ANCHORAGE
1516.gender,,F
49535.city,RCHIE,ARCHIE
59808.marriedexemp,h0,0
192003.areacode,165,615
109272.childexemp,***,0
132136.marriedexemp,***,0
24252.gender,***,M
178204.city,FEDERAL AWY,FEDERAL WAY
84377.city,TAHENS,ATHENS
188743.haschild,cY,Y
68619.state,C,DC
139761.zip,2570,12570
47841.state,C,DC
14389.marriedexemp,***,0
38230.maritalstatus,tS,S
143314.city,CAMDEN WYoOMING,CAMDEN WYOMING
188183.singleexemp,***,0
13232.salary,0000,50000
162116.childexemp,,0
87474.state,DN,ND
77409.city,ASKOkV,ASKOV
44818.state,J,NJ
70684.phone,219-131,219-1431
109977.salary,10v0000,100000
96098.fname,algudi,Lalgudi
132436.city,SHAWAY,ASHAWAY
114522.state,NgJ,NJ
192617.childexemp,***,0
182663.city,NEWA UBURN,NEW AUBURN
97494.rate,e6.1232123,6.1232123
71553.childexemp,3300***,3300
161168.singleexemp,104t0,1040
92904.gender,,F
81014.haschild,***,Y
94946.rate,.21,2.1
181560.phone,131-1348,131-3148
75964.fname,Jayanat,Jayanta
17047.marriedexemp,***,0
150199.marriedexemp,w0,0
176266.fname,Uliess,Ulises
68323.fname,zHugo,Hugo
35571.singleexemp,***,0
51092.city,AHSLEY,ASHLEY
111258.haschild,,N
60790.gender,***,F
149693.lname,Spbence,Spence
91988.gender,***,M
86230.state,SK,KS
182560.lname,Bromuley,Bromley
53591.singleexemp,c0,0
193083.city,GsLOUCESTER,GLOUCESTER
112209.childexemp,,0
46424.zip,9959,99659
26235.salary,3000,30000
135604.state,nIN,IN
12367.zip,57384,57348
3662.haschild,***,N
178801.rate,93,9.3
126375.salary,5000q0,50000
148737.singleexemp,,0
148975.state,CD,DC
182945.fname,Wexin,Weixin
32656.marriedexemp,t0,0
156722.gender,,F
150926.city,WEST WARICK,WEST WARWICK
1459.gender,hF,F
97085.childexemp,200,2300
186215.childexemp,***,0
42646.areacode,41,541
39911.marriedexemp,***,0
2479.gender,***,F
150071.marriedexemp,j0,0
148954.marriedexemp,q0,0
27543.marriedexemp,***,0
2532.gender,***,F
14047.salary,500y00,50000
131896.childexemp,***,0
30657.phone,434-341,434-3141
131418.lname,Shconlau,Schonlau
107024.childexemp,2w72,272
5315.areacode,77,787
27495.singleexemp,,0
103515.singleexemp,***,0
156395.singleexemp,i1500,1500
120350.maritalstatus,aS,S
38439.state,CD,DC
68324.haschild,***,N
129052.childexemp,,0
7555.gender,yF,F
100572.lname,Midelart,Midelfart
48499.fname,Fkoued,Foued
84711.singleexemp,,0
118383.marriedexemp,***,0
76445.gender,fM,M
136110.state,CD,DC
123959.city,APAtCHE JUNCTION,APACHE JUNCTION
94261.fname,Krystyan,Krystyna
34885.fname,Deront,Dermont
28210.salary,5000,15000
140136.fname,Razan,Razvan
61398.maritalstatus,***,M
122626.city,ASCUNTEY,ASCUTNEY
154664.state,LA,AL
15893.state,CD,DC
169571.gender,fM,M
190835.state,A,LA
155047.fname,Shilap,Shilpa
106398.gender,,F
141429.singleexemp,***,0
4592.maritalstatus,uS,S
171640.areacode,j505,505
178743.childexemp,m0,0
152078.haschild,,N
186030.lname,Serfeno,Sereno
53853.singleexemp,***,0
77157.salary,4500,45000
189216.childexemp,300,3300
32191.marriedexemp,,0
170666.haschild,,N
175151.marriedexemp,,0
27638.state,DjC,DC
68813.gender,,M
175037.singleexemp,***,0
167843.state,T,CT
81988.fname,fJorn,Jorn
32946.singleexemp,,0
36126.childexemp,k0,0
1211.gender,***,F
191025.rate,00.,0.0
77598.fname,Jailin,Jialin
28528.lname,Gabner,Grabner
129432.areacode,38,318
137587.gender,rF,F
2533.gender,***,F
115405.maritalstatus,lM,M
176895.zip,4836u3,48363
88091.state,dNC,NC
95819.state,AyL,AL
112388.gender,,F
111828.singleexemp,,0
167314.salary,05000,50000
99465.childexemp,***,0
143412.zip,2734h1,27341
73246.rate,mpty,empty
4026.gender,vF,F
144731.singleexemp,***,0
196079.gender,,F
179496.phone,252-2427,252-4227
67225.gender,***,M
142788.childexemp,***,0
102888.singleexemp,***,0
198969.zip,701d14,70114
26196.gender,rM,M
93722.areacode,61f8,618
105196.salary,2000,20000
81398.state,AaR,AR
111632.marriedexemp,3000***,3000
138677.rate,d0.0,0.0
175401.rate,.07,3.07
3660.gender,,F
160574.rate,9.l0,9.0
86504.phone,578-8u786,578-8786
92573.salary,800j00,80000
87575.marriedexemp,t0,0
63612.maritalstatus,***,M
153454.singleexemp,***,0
30183.gender,,F
185839.childexemp,,0
163800.childexemp,,0
144637.marriedexemp,m0,0
179830.maritalstatus,tS,S
158681.state,AkL,AL
81714.state,RA,AR
167764.singleexemp,***,0
141927.marriedexemp,h0,0
61855.state,fAL,AL
50811.singleexemp,,0
101107.singleexemp,330,3300
8219.gender,,F
146083.marriedexemp,2000***,2000
111725.singleexemp,b0,0
74027.areacode,y207,207
189461.zip,29470,29407
143392.zip,581,5681
118238.state,AnL,AL
123856.state,C,DC
17419.zip,4v1056,41056
198140.phone,770-4y804,770-4804
39989.marriedexemp,***,0
37483.state,C,DC
30825.haschild,wN,N
175750.fname,zTu,Tzu
192123.marriedexemp,***,0
157052.childexemp,***,0
84323.salary,15000***,15000
44617.state,VN,NV
129439.lname,Freundich,Freundlich
124892.haschild,***,N
433.gender,kF,F
189459.city,AqLMYRA,ALMYRA
92346.singleexemp,0200,2000
120805.childexemp,***,0
167683.salary,7500,75000
138777.singleexemp,000,2000
78872.childexemp,l0,0
61008.marriedexemp,***,0
160382.city,ARRIAB,ARRIBA
72630.singleexemp,***,0
12929.zip,503,5603
62053.maritalstatus,,M
165370.lname,Clevelnad,Cleveland
5560.areacode,16,216
116932.areacode,06,406
49978.haschild,,Y
43289.rate,q5.8,5.8
12671.state,L,AL
87257.marriedexemp,,0
160740.singleexemp,v0,0
13553.rate,5.u3,5.3
27713.salary,00000,100000
102124.salary,0000,90000
175271.singleexemp,z0,0
10557.areacode,14,414
183696.phone,47u8-6974,478-6974
84240.childexemp,***,0
38243.state,mKY,KY
158445.state,RA,AR
146066.city,AMS,AMES
5842.marriedexemp,***,0
2362.gender,,F
123684.rate,4880782,4.880782
125021.salary,8000a0,80000
132064.rate,31.799998,3.1799998
159049.marriedexemp,***,0
192106.marriedexemp,***,0
197516.marriedexemp,m0,0
23391.areacode,5d16,516
93964.state,R,AR
151167.marriedexemp,,0
104854.phone,4757-429,475-7429
36390.haschild,fN,N
182693.childexemp,***,0
1044.rate,3.6995378,3.6995387
104619.zip,46u930,46930
134361.childexemp,j0,0
119634.singleexemp,,0
135723.state,vDC,DC
46723.singleexemp,20m00,2000
61661.marriedexemp,***,0
79284.marriedexemp,6600***,6600
139303.lname,Kluggerman,Klugerman
151698.marriedexemp,***,0
127783.rate,.0,0.0
162675.haschild,,Y
76426.phone,301-2880,301-2808
2612.gender,***,F
55569.state,IM,MI
78423.city,WRIsGHTWOOD,WRIGHTWOOD
89682.marriedexemp,x2600,2600
52021.haschild,***,N
186104.areacode,6i05,605
59972.singleexemp,***,0
73750.fname,aJejoo,Jaejoo
79185.childexemp,b0,0
55960.salary,7000,70000
94470.marriedexemp,,0
5517.state,C,DC
78837.state,AiL,AL
61062.fname,Hnsong,Hansong
34425.marriedexemp,l0,0
102066.childexemp,***,0
119116.rate,b5.0,5.0
31615.marriedexemp,,0
79482.state,CD,DC
74002.city,ASHBRUN,ASHBURN
96442.city,BELING,BELDING
156689.marriedexemp,m40,40
9796.lname,Tacgk,Tack
147178.fname,Sajoogn,Sajoong
21835.rate,93,9.3
61684.rate,4s.4,4.4
141490.fname,Rernuka,Renuka
46340.lname,Kroegr,Kroeger
130336.fname,atrizio,Patrizio
36338.fname,Dinesyh,Dinesh
136837.state,zAL,AL
158804.rate,.00,0.0
170405.marriedexemp,z0,0
7545.gender,uF,F
45452.singleexemp,***,0
24618.zip,54p015,54015
135681.state,dAL,AL
65694.city,AMANDAP ARK,AMANDA PARK
180060.zip,7075g4,70754
11418.phone,18-3250,118-3250
120643.lname,Miculna,Miculan
65692.salary,50h00,5000
36256.areacode,85,585
171705.childexemp,***,0
16288.state,qCT,CT
161144.zip,p84737,84737
117383.phone,766-9f039,766-9039
2614.gender,***,F
67576.rate,90,9.0
146869.marriedexemp,***,0
96228.marriedexemp,t0,0
114983.salary,900t00,90000
86983.marriedexemp,620,6200
143083.salary,2r5000,25000
103576.city,AdSCUTNEY,ASCUTNEY
26327.state,E,ME
52435.maritalstatus,***,M
144768.city,kALTUS AFB,ALTUS AFB
65339.fname,tHirohito,Hirohito
197476.state,LA,AL
146127.gender,hF,F
2042.gender,,F
150947.salary,00000,100000
67332.state,L,AL
69704.phone,02-7179,702-7179
166770.singleexemp,475,2475
143253.maritalstatus,,M
141228.haschild,,N
38135.childexemp,,0
124094.maritalstatus,,M
35576.rate,.0,0.0
115042.salary,70000***,70000
143653.marriedexemp,***,0
173978.salary,5000***,5000
57527.phone,43-6688,403-6688
61999.gender,zF,F
174820.childexemp,,0
154444.haschild,,N
105101.city,SEBRIG,SEBRING
188217.childexemp,,0
126751.gender,,F
101408.lname,Heberlien,Heberlein
130600.state,DxC,DC
680.gender,***,F
138114.singleexemp,***,0
195193.state,rAL,AL
56516.zip,6465,64625
83691.marriedexemp,***,0
107778.fname,Mharistella,Maristella
122926.fname,Nekill,Neill
6361.fname,tAmabile,Amabile
62759.salary,5000***,5000
115489.city,ALwTON,ALTON
88494.marriedexemp,,0
146219.lname,Ksajihara,Kajihara
17908.lname,Nyooteboom,Nooteboom
191861.singleexemp,b0,0
73129.singleexemp,,0
131560.phone,37f5-8109,375-8109
194612.phone,14-3681,184-3681
6895.salary,85000***,85000
169973.state,JN,NJ
61336.haschild,***,N
146164.marriedexemp,***,0
117270.singleexemp,r0,0
152121.state,CD,DC
178155.zip,4772,45772
88944.state,NI,IN
34442.lname,romhouse,Promhouse
61403.rate,85.,8.5
145671.haschild,***,N
160556.areacode,01,301
139081.areacode,z360,360
91633.state,L,AL
26416.city,qALMOND,ALMOND
87602.childexemp,a0,0
73136.childexemp,300,3300
59912.city,CESTER,CHESTER
110644.city,AkLBION,ALBION
33675.salary,0000,50000
7883.gender,***,F
142661.gender,dM,M
190232.childexemp,***,0
65748.city,MALIA,AMALIA
130198.gender,***,M
6007.gender,***,F
39120.phone,14-7298,614-7298
49341.maritalstatus,sS,S
69641.rate,1.707846l2,1.7078462
94515.singleexemp,,0
96525.singleexemp,0,20
149907.haschild,kN,N
172874.childexemp,,0
116954.state,pDC,DC
95052.gender,,F
83009.lname,Burkhad,Burkhard
51199.gender,uM,M
170282.singleexemp,***,0
168388.marriedexemp,,0
149310.rate,6.54,6.45
56693.singleexemp,j0,0
62641.lname,Ldstone,Lidstone
174582.zip,7332,67332
99038.singleexemp,***,0
95791.rate,.0,0.0
89675.state,iDC,DC
163900.city,ASPERMOT,ASPERMONT
9541.singleexemp,y0,0
143391.singleexemp,***,0
136730.gender,wF,F
159227.maritalstatus,,S
3069.gender,rF,F
130331.salary,85000***,85000
191223.singleexemp,a0,0
44320.gender,xM,M
63153.areacode,088,808
159381.singleexemp,***,0
165807.fname,Swmee,Swee
51565.marriedexemp,o0,0
165790.city,BAKER CITjY,BAKER CITY
165090.maritalstatus,***,M
71068.zip,q38368,38368
63721.fname,Heonsghik,Heonshik
194490.state,Y,KY
179217.rate,.53,5.3
20189.fname,Bulma,Bluma
26481.lname,Nth,Nuth
149051.singleexemp,300,3100
124972.marriedexemp,,0
50023.city,ARMINOT,ARMINTO
177007.rate,.25,6.25
88311.city,ANgNAPOLIS,ANNAPOLIS
85201.lname,Caporla,Caporal
19254.singleexemp,300,3300
65871.phone,91-2549,491-2549
186254.childexemp,***,0
168990.singleexemp,6h000,6000
51661.salary,50500,55000
104371.marriedexemp,***,0
15879.zip,0622,30622
7931.gender,sF,F
38836.salary,5000***,5000
73074.phone,685-6172,658-6172
6200.gender,uF,F
104510.state,AI,IA
49345.marriedexemp,,0
172743.maritalstatus,,M
35421.state,OC,CO
114291.salary,60k000,60000
183062.childexemp,,0
162125.rate,6.54,6.45
180353.city,NASELMO,ANSELMO
114739.state,DS,SD
148388.lname,Cavstle,Castle
163919.childexemp,,0
175312.lname,Griezl,Grieszl
156185.lname,Brthes,Barthes
152109.city,CANTgON,CANTON
41110.areacode,46,406
110807.zip,6k4151,64151
134905.childexemp,***,0
108086.state,R,AR
129768.state,CD,DC
66112.childexemp,,0
146215.childexemp,0,20
143855.haschild,***,N
182587.singleexemp,,0
175243.singleexemp,***,0
24615.city,ANGE FIRE,ANGEL FIRE
22009.childexemp,200z0,2000
145049.marriedexemp,***,0
24685.salary,750f00,75000
133046.state,LA,AL
145507.state,AdL,AL
110663.salary,100000***,100000
40387.haschild,,Y
136703.zip,13,913
69964.rate,.0,0.0
58994.state,LA,AL
24412.marriedexemp,660m0,6600
59458.areacode,70,970
17516.areacode,v973,973
23311.salary,000,5000
2892.haschild,,N
56243.city,AANSCO,ANASCO
173116.areacode,074,704
32409.childexemp,,0
186419.state,AyR,AR
95901.gender,,M
16134.phone,835-815x2,835-8152
98954.zip,1202,14202
117669.marriedexemp,600,6600
2218.areacode,51,351
26451.state,VW,WV
138811.lname,Schiettectate,Schiettecatte
142441.childexemp,,0
36556.zip,t2838,2838
21995.gender,,F
174830.lname,Saondrasegaran,Sandrasegaran
113447.city,ANGLE NILET,ANGLE INLET
187815.singleexemp,***,0
8051.gender,***,F
76645.salary,10000i0,100000
109764.lname,Kuchehnoff,Kuchenhoff
122996.salary,45y000,45000
82891.state,jDC,DC
44226.zip,1223,21223
119576.salary,60000***,60000
11208.haschild,,N
48418.state,MtS,MS
161198.fname,cSreekumar,Sreekumar
170829.phone,525-7869,255-7869
158379.childexemp,h0,0
113972.areacode,17,717
39010.state,DiC,DC
97184.zip,f4464,4464
68831.lname,Rufzino,Rufino
19014.maritalstatus,cS,S
106313.childexemp,o0,0
2097.gender,,F
166896.fname,mTakahito,Takahito
143132.phone,739-5395,739-5359
119289.state,LA,AL
123079.marriedexemp,2470,2740
101782.maritalstatus,***,M
40194.city,ANNAPOLIS JUNCTINO,ANNAPOLIS JUNCTION
66266.state,C,DC
34148.marriedexemp,***,0
134816.city,KUNA,KUNIA
199895.childexemp,***,0
148015.zip,83044,38044
60717.childexemp,n1500,1500
172601.state,LA,AL
64826.city,ASHLyAND,ASHLAND
5080.areacode,52,252
77963.fname,Jianlni,Jianlin
102478.city,EBTHLEHEM,BETHLEHEM
58298.lname,vCraddock,Craddock
131525.rate,.0,5.0
52743.rate,b3.0,3.0
34136.childexemp,,0
123000.marriedexemp,m0,0
174793.singleexemp,,0
15436.state,NI,IN
55203.haschild,***,N
168141.state,ZA,AZ
106164.marriedexemp,s0,0
123236.marriedexemp,e6600,6600
129180.state,RA,AR
47945.state,MjA,MA
132697.city,ASLAND,ASHLAND
197535.singleexemp,,0
184541.childexemp,,0
168281.city,POmCATELLO,POCATELLO
196266.areacode,059,509
74385.areacode,87,817
15671.rate,3.s07,3.07
86628.fname,Katarizna,Katarina
52434.rate,59.5,5.95
121746.state,NlD,ND
180416.singleexemp,300,1300
105460.gender,,M
165039.singleexemp,***,0
5986.gender,bF,F
173882.gender,***,F
69472.childexemp,,0
173182.haschild,,Y
183824.singleexemp,***,0
81429.singleexemp,x0,0
749.gender,nF,F
155096.zip,4696,46946
162540.gender,zF,F
132857.marriedexemp,,0
141248.state,C,DC
66803.singleexemp,v0,0
199631.state,MnI,MI
25417.singleexemp,u0,0
187946.haschild,rY,Y
6951.state,R,AR
37241.childexemp,***,0
98336.rate,50.,5.0
92169.city,PAAUIO,PAAUILO
56286.singleexemp,***,0
178702.lname,Jullig***,Jullig
53691.state,OM,MO
187085.gender,kF,F
91906.maritalstatus,***,S
52112.phone,72-9294,272-9294
188012.city,ACNHORAGE,ANCHORAGE
155352.childexemp,***,0
123318.haschild,aY,Y
180844.haschild,***,Y
150098.singleexemp,a0,0
92439.childexemp,300,3300
103841.state,CD,DC
117480.city,MONTPELER,MONTPELIER
53199.state,fMA,MA
116760.city,BqEAVER,BEAVER
153942.areacode,7q31,731
67628.rate,.8,7.8
168778.state,JN,NJ
70949.city,ARRNIGTON,ARRINGTON
103936.haschild,uY,Y
52512.rate,.5,8.5
189630.singleexemp,,0
149154.marriedexemp,***,0
131198.state,CD,DC
27391.rate,3.533546,3.533564
160021.marriedexemp,,0
78565.marriedexemp,***,0
38937.areacode,97b1,971
19152.maritalstatus,,M
6437.city,NEW ORLEASN,NEW ORLEANS
16649.state,C,DC
165235.lname,Gheorghpiu,Gheorghiu
198198.singleexemp,***,0
151627.gender,aF,F
173793.salary,15000***,15000
3341.marriedexemp,z0,0
1567.gender,***,F
622.marriedexemp,66z00,6600
150029.phone,84-7044,845-7044
58627.singleexemp,y0,0
34357.zip,57727,57772
74601.zip,28o64,2864
7901.gender,lF,F
114183.rate,6i.25,6.25
131883.childexemp,r0,0
71270.state,L,AL
90136.salary,5000***,5000
162402.areacode,917,971
112154.childexemp,j0,0
193321.childexemp,***,0
68266.state,L,AL
99524.state,C,DC
26126.singleexemp,,0
4368.maritalstatus,,S
18288.state,AC,CA
131619.city,ARMiBRUST,ARMBRUST
170944.maritalstatus,dM,M
3236.gender,qF,F
86270.areacode,90g7,907
5853.city,COLORADO PSRINGS,COLORADO SPRINGS
71996.marriedexemp,,0
85109.city,WILLTE,WILLET
149125.rate,00.,0.0
199047.city,ALA,ALVA
