16916.lname,Messmre,Messmer
8785.singleexemp,5100,1500
4080.areacode,885,858
6056.city,BECEH GROVE,BEECH GROVE
2922.marriedexemp,,0
15387.city,BONSTEEL,BONESTEEL
13080.marriedexemp,,0
16733.zip,28343,28433
16388.salary,90500,95000
11870.childexemp,***,0
15294.zip,8435,84635
3897.singleexemp,c0,0
13133.haschild,,N
18252.marriedexemp,w0,0
8888.marriedexemp,,0
16458.haschild,,N
3193.gender,iF,F
6059.childexemp,,0
267.city,fPRESCOTT,PRESCOTT
2117.haschild,cY,Y
5889.phone,6359-018,635-9018
18355.singleexemp,b0,0
9441.state,C,DC
1567.gender,***,F
8636.singleexemp,***,0
14265.marriedexemp,d0,0
1079.city,LIBjERTY CENTER,LIBERTY CENTER
18681.childexemp,***,0
2237.lname,Smiarglia,Smiraglia
15283.childexemp,***,0
15539.marriedexemp,12000***,12000
18925.singleexemp,***,0
14806.singleexemp,,0
16758.maritalstatus,***,S
10530.marriedexemp,k0,0
2645.city,LLBURN,LILBURN
1560.rate,.0,0.0
4594.marriedexemp,17d4,174
11808.lname,MceNill,McNeill
5358.areacode,550,505
9108.singleexemp,519,159
12875.gender,gF,F
10034.haschild,***,N
9566.state,D,ID
6224.gender,***,F
19710.phone,455-536,455-5386
11295.gender,,F
12569.city,BLUE SPRINSG,BLUE SPRINGS
16323.state,aID,ID
11847.marriedexemp,,0
14704.gender,nF,F
19629.areacode,514,541
19671.fname,Anuisoara,Anisoara
16167.fname,nEser,Eser
16477.state,D,ID
17135.haschild,***,Y
10328.state,T,UT
14028.gender,***,F
9475.gender,lM,M
10376.marriedexemp,,0
10122.gender,lM,M
18362.gender,,F
72.haschild,aY,Y
10207.haschild,,N
2762.singleexemp,2000***,2000
9213.city,BDEFORD,BEDFORD
16447.childexemp,300,3300
9023.gender,wF,F
2340.gender,,F
18327.singleexemp,***,0
2887.singleexemp,1000***,1000
15154.lname,Wooldrdige,Wooldridge
11507.phone,85-5775,851-5775
19587.zip,14i842,14842
17296.salary,60c000,60000
17540.state,DI,ID
6387.marriedexemp,***,0
19280.maritalstatus,***,S
17573.marriedexemp,x4800,4800
19526.singleexemp,***,0
12906.gender,pM,M
16439.state,IxL,IL
16517.marriedexemp,0400,4000
16349.state,DI,ID
17615.city,BIRMxINGHAM,BIRMINGHAM
8844.areacode,x505,505
16313.city,LBACKVILLE,BLACKVILLE
10323.singleexemp,,0
12368.childexemp,r0,0
7252.maritalstatus,,S
7973.state,C,DC
13947.state,CoO,CO
18969.state,nWY,WY
12416.childexemp,***,0
7996.zip,80476,80746
16556.city,BENET LAdKE,BENET LAKE
12388.areacode,707,770
9000.fname,Nassrn,Nassrin
13034.haschild,lY,Y
13960.city,BLACSKBURG,BLACKSBURG
8708.city,ILEY,AILEY
1351.lname,Chiinn,Chinin
9547.state,C,DC
10417.singleexemp,s0,0
2584.gender,***,F
397.areacode,k304,304
6507.fname,Joradnka,Jordanka
14642.marriedexemp,6l600,6600
15160.zip,m30668,30668
8255.zip,74c121,74121
8243.haschild,yY,Y
3876.phone,609-2619,609-2691
9978.singleexemp,,0
3630.singleexemp,1v000,1000
12665.city,LOUISILLE,LOUISVILLE
19026.salary,8000,85000
10597.fname,Roye,Royce
7895.singleexemp,000,1000
1967.state,V,WV
11209.childexemp,,0
5997.state,C,DC
14779.gender,fM,M
8711.salary,4000b0,40000
885.lname,oMokken,Mookken
19312.lname,hTofte,Tofte
12538.state,D,ID
9890.rate,.0,9.0
19473.state,LI,IL
15060.phone,29-2539,329-2539
19109.city,BLOsOMER,BLOOMER
15734.city,BELFYR,BELFRY
8521.singleexemp,,0
19731.state,D,ID
14986.maritalstatus,eS,S
1740.haschild,***,N
14222.city,BONNrERS FERRY,BONNERS FERRY
8156.zip,62l977,62977
19821.salary,0000,10000
3801.singleexemp,***,0
15730.childexemp,,0
12360.zip,5652,56572
14838.marriedexemp,***,0
14957.maritalstatus,***,S
4829.gender,***,F
2442.city,CHARfLOTTE,CHARLOTTE
4638.childexemp,p0,0
5311.fname,Micyi,Miyi
10938.state,CS,SC
3468.fname,Nguen,Nguyen
15309.childexemp,***,0
14206.phone,595-371,595-3971
7876.childexemp,h0,0
10660.gender,sF,F
17794.haschild,***,Y
8117.city,BELL CTIY,BELL CITY
8798.marriedexemp,***,0
6461.phone,87-4208,187-4208
18457.areacode,08,508
12067.fname,Toshinoir,Toshinori
17949.marriedexemp,t0,0
12420.city,BILOI,BILOXI
5889.maritalstatus,***,S
17837.state,L,IL
9220.childexemp,330,3300
10538.marriedexemp,,0
6237.phone,181-5415,181-5145
16565.gender,***,M
1342.haschild,,N
9249.state,C,DC
6810.lname,Simabjiri,Simajiri
17526.marriedexemp,5700***,5700
16790.city,SCHEjNLEY,SCHENLEY
16549.zip,83210,82310
18259.state,I,WI
7662.childexemp,,0
5378.childexemp,n2000,2000
11615.gender,jF,F
12949.state,C,DC
4419.marriedexemp,2800,2080
1843.state,MhT,MT
5835.singleexemp,,0
4.city,RIGANTINE,BRIGANTINE
14243.city,OCHEYEDN,OCHEYEDAN
2575.gender,dF,F
6385.state,C,DC
15325.city,BONNER***,BONNER
11407.lname,Lovet,Lovett
12073.city,PERIA,PEORIA
2394.city,FAGO,FARGO
18631.gender,,F
17165.fname,Ameet***,Ameet
14633.singleexemp,f0,0
9905.gender,uF,F
6062.gender,kF,F
6094.lname,Lwuca,Luca
9648.gender,***,F
7068.lname,Nihsizeki,Nishizeki
6826.childexemp,***,0
15467.zip,s45410,45410
498.singleexemp,,0
10237.state,hID,ID
7947.state,IcD,ID
4886.salary,56000,65000
10979.fname,Hneny,Henny
15762.maritalstatus,,M
17051.phone,5d06-2412,506-2412
13981.lname,Sagaloich,Sagalovich
19741.marriedexemp,,0
1610.state,R,OR
2074.singleexemp,,0
3668.marriedexemp,c0,0
4665.childexemp,o0,0
10366.gender,vF,F
7551.areacode,207,270
12875.state,CD,DC
10749.rate,6z.9,6.9
10217.city,BIG ORCK,BIG ROCK
7928.gender,***,F
12947.singleexemp,***,0
4078.zip,23223,32223
14940.city,CENpTRAL POINT,CENTRAL POINT
17086.fname,Anda,Ana
10386.zip,66801,68601
12728.childexemp,q0,0
15266.childexemp,250,2250
12598.singleexemp,***,0
14552.marriedexemp,a0,0
17040.childexemp,***,0
10581.gender,hF,F
17311.city,LIdVERMORE,LIVERMORE
14502.rate,.95,5.95
11180.state,nDC,DC
14035.city,IBSBEE,BISBEE
19550.maritalstatus,qM,M
4010.salary,2000i0,20000
11461.city,IRMINGHAM,BIRMINGHAM
4474.gender,mM,M
1875.zip,9035,96035
9483.city,BETHNY BEACH,BETHANY BEACH
12671.marriedexemp,7u150,7150
9985.marriedexemp,l0,0
15234.childexemp,***,0
11743.singleexemp,,0
5116.phone,7066-165,706-6165
11200.gender,bF,F
13453.areacode,97,907
9097.rate,3.201653,3.2016153
10503.state,J,NJ
17246.haschild,rN,N
10912.gender,dF,F
9719.state,C,DC
15306.areacode,68,608
1852.lname,Kohneirt,Kohnert
15474.childexemp,200,1200
17954.marriedexemp,42500,24500
13845.state,DI,ID
17195.salary,90500,95000
10347.city,BELLOW FALLS,BELLOWS FALLS
11754.fname,eri,Teri
11493.singleexemp,,0
14944.haschild,***,Y
16921.state,D,SD
19049.marriedexemp,***,0
15332.singleexemp,,0
599.salary,n55000,55000
8796.phone,326j-5605,326-5605
17823.haschild,***,N
19778.zip,4329,84329
2658.fname,Erzsebte,Erzsebet
16607.gender,,F
11269.zip,86306,86036
8635.childexemp,,0
11513.marriedexemp,,0
9294.singleexemp,q0,0
2595.city,SALTL AKE CITY,SALT LAKE CITY
11357.state,CD,DC
12598.childexemp,***,0
2678.singleexemp,***,0
17302.state,D,ID
11608.singleexemp,***,0
18909.singleexemp,35g75,3575
2320.lname,ernald,Fernald
12921.childexemp,x0,0
18092.state,OC,CO
10926.lname,Mihalisni,Mihalisin
13352.fname,vIy,Ivy
16463.childexemp,***,0
3459.childexemp,330,3300
19684.haschild,***,Y
14887.city,BELVEDRE TIBURON,BELVEDERE TIBURON
9003.marriedexemp,8100,1800
18002.state,xNV,NV
10621.state,CD,DC
19390.marriedexemp,g0,0
8123.city,RDEFIELD,REDFIELD
82.areacode,846,864
9747.marriedexemp,l0,0
6261.state,C,DC
11798.state,IaD,ID
14030.state,D,ID
3389.zip,996d43,99643
3488.fname,Feredioon,Fereidoon
16504.gender,xF,F
8035.zip,38162,38126
16350.marriedexemp,,0
12299.zip,4005k7,40057
16150.haschild,dY,Y
6094.phone,635-4892,635-4982
16641.state,H,OH
3848.maritalstatus,,S
12131.areacode,17,417
16070.marriedexemp,,0
17642.city,tBILOXI,BILOXI
42.rate,4.035,4.0325
14593.lname,ertzum,Hertzum
18893.salary,10500,15000
7835.state,CD,DC
14579.city,BOGnUE,BOGUE
12983.haschild,eY,Y
11122.city,BI GBAY,BIG BAY
3250.marriedexemp,w0,0
9206.state,DI,ID
9878.singleexemp,***,0
10664.singleexemp,***,0
13882.marriedexemp,,0
11558.maritalstatus,zM,M
10510.maritalstatus,***,M
6294.state,C,DC
10346.city,BLACKpSTONE,BLACKSTONE
18681.singleexemp,,0
11768.gender,,F
8982.state,DjC,DC
3860.state,N,IN
11056.marriedexemp,***,0
3084.haschild,sY,Y
5575.salary,07000,70000
5951.gender,tF,F
5657.childexemp,2c000,2000
9987.state,D,ID
6156.marriedexemp,,0
14332.childexemp,***,0
11237.phone,46-5711,469-5711
14002.rate,5.b0,5.0
11997.marriedexemp,l0,0
7490.lname,Mdevidovic,Medvidovic
17136.phone,i165-4130,165-4130
810.childexemp,300,3300
18068.city,BERWCIK,BERWICK
14191.gender,***,F
12929.phone,514-950,514-9540
3506.maritalstatus,***,M
3787.childexemp,***,0
11500.rate,3.h0217428,3.0217428
5612.childexemp,***,0
15290.childexemp,,0
11546.lname,uce,Luce
8825.childexemp,s0,0
7191.zip,19c736,19736
7772.maritalstatus,bM,M
19017.city,VIRGItNIA CITY,VIRGINIA CITY
9854.gender,jF,F
7707.marriedexemp,,0
18615.lname,Paludeutto,Paludetto
13616.areacode,32,302
1149.areacode,l406,406
7533.city,CORNVILEL,CORNVILLE
18543.fname,Tomohaur,Tomoharu
4384.haschild,kY,Y
5638.singleexemp,1000***,1000
752.haschild,jN,N
2527.fname,Kko,Kok
6293.childexemp,p0,0
16355.phone,552-c7715,552-7715
4447.state,DI,ID
9429.haschild,bN,N
10079.rate,6.580293,6.9580293
14041.state,L,IL
17287.city,BIRMNIGHAM,BIRMINGHAM
11284.phone,833-256z6,833-2566
18734.zip,339,3839
7458.singleexemp,***,0
10033.state,D,ID
7894.lname,Kahabak,Kahabka
2082.marriedexemp,1400***,1400
6400.haschild,,Y
7452.zip,7779,37779
18981.areacode,4x17,417
15918.marriedexemp,,0
12889.city,BLOOEMR,BLOOMER
8188.state,GcA,GA
6615.childexemp,n0,0
6063.zip,74q52,7452
15251.salary,5000,25000
15828.childexemp,,0
1632.haschild,,N
19267.lname,iBaz,Baz
13254.childexemp,p0,0
5087.gender,***,F
10838.salary,10000,100000
11954.marriedexemp,***,0
3612.fname,Ait,Adit
17777.singleexemp,t0,0
11169.phone,90-26191,902-6191
15383.areacode,856,865
14405.marriedexemp,***,0
12150.maritalstatus,***,M
12974.fname,Iso,Isao
10665.maritalstatus,,S
5321.areacode,44,434
3503.zip,161,6161
18388.lname,iPccolo,Piccolo
4535.maritalstatus,xM,M
15554.marriedexemp,f0,0
19250.fname,Peien,Peigen
10815.childexemp,w0,0
17731.city,IBRMINGHAM,BIRMINGHAM
6506.phone,862-3397,826-3397
16547.haschild,,Y
827.childexemp,c0,0
6321.state,zDC,DC
9474.state,C,DC
18296.gender,,F
9430.state,pNE,NE
3186.salary,5000***,5000
11381.lname,Boeari,Boari
18752.childexemp,b0,0
16031.rate,n7.0,7.0
14809.gender,gF,F
17538.city,BLOOMIGNTON,BLOOMINGTON
12767.childexemp,,0
12334.childexemp,a0,0
8010.rate,.0,3.0
13745.city,BLOOMFILED,BLOOMFIELD
7641.lname,oRizen,Roizen
12540.state,mDC,DC
13030.childexemp,***,0
8097.city,BISMACK,BISMARCK
7492.zip,1152,11952
16467.childexemp,***,0
8390.rate,.0,0.0
9287.singleexemp,***,0
6579.zip,43068,43086
4488.gender,aF,F
8958.salary,6t0000,60000
11871.state,D,ID
2402.areacode,393,339
9610.state,yDC,DC
13856.maritalstatus,***,S
7935.phone,c637-1969,637-1969
560.marriedexemp,1y74,174
5042.childexemp,***,0
9595.haschild,xY,Y
43.phone,795-315e3,795-3153
6614.areacode,02,302
15871.areacode,85,865
14803.gender,fF,F
12615.lname,Tola,Tolba
12948.zip,7578,75798
8421.state,C,DC
17198.city,ALUDA,SALUDA
9649.singleexemp,q0,0
18046.maritalstatus,***,M
3032.gender,,F
11954.rate,0i.0,0.0
10763.gender,tM,M
1419.maritalstatus,,M
13639.marriedexemp,n0,0
19352.lname,arra,Carra
12818.lname,Sletore,Saletore
9411.rate,a9.0,9.0
8494.fname,Raguhnandan,Raghunandan
10993.city,oBOISE,BOISE
484.rate,93,9.3
16583.state,aID,ID
7809.childexemp,,0
16498.singleexemp,s0,0
6455.zip,37021,37201
14170.lname,Mgarwedel,Marwedel
5324.city,LANDISVoILLE,LANDISVILLE
13098.childexemp,***,0
13846.marriedexemp,,0
2131.maritalstatus,***,S
6484.marriedexemp,h0,0
5543.haschild,,N
7873.rate,.0,0.0
8096.singleexemp,,0
16923.salary,10000***,10000
9848.childexemp,q0,0
10741.lname,Xiaosuhan,Xiaoshan
6854.lname,rthan,Arthan
18482.zip,37868,37688
14986.childexemp,,0
13433.salary,2500,25000
2120.areacode,03,303
403.gender,fF,F
6121.singleexemp,***,0
18313.phone,454-661,454-6861
9781.rate,.0,7.0
6165.state,L,FL
19434.state,DI,ID
10848.lname,Ae,Abe
4776.singleexemp,s0,0
2551.city,CAHNNING,CHANNING
6808.marriedexemp,w0,0
13200.state,WzY,WY
10267.city,MASHPEE***,MASHPEE
7120.marriedexemp,***,0
18596.phone,982-646,982-5646
11830.singleexemp,1090,1900
17263.state,D,ID
1227.lname,Scilz,Schilz
8449.state,D,ID
196.haschild,aY,Y
14696.city,BLUESPRINGS,BLUE SPRINGS
6189.singleexemp,2100***,2100
15523.city,TYLR,TYLER
1587.areacode,3d04,304
18644.areacode,41,401
19268.state,D,ID
10598.state,R,AR
4066.childexemp,***,0
13391.state,LI,IL
9213.singleexemp,,0
19491.marriedexemp,***,0
8040.areacode,70y2,702
6006.singleexemp,***,0
15842.marriedexemp,,0
15455.marriedexemp,,0
16696.childexemp,,0
15351.phone,46-1259,946-1259
18064.gender,***,F
10559.singleexemp,,0
5348.lname,Schlre,Schler
6705.childexemp,***,0
9343.zip,6712,67512
14871.lname,Keefher,Keefer
8022.singleexemp,***,0
10714.marriedexemp,p0,0
9479.childexemp,u159,159
4889.childexemp,,0
13649.state,C,DC
8585.state,D,ID
13508.state,DpC,DC
7415.marriedexemp,1200,12000
804.maritalstatus,,M
11858.phone,2g97-7704,297-7704
14082.state,CD,DC
13270.childexemp,,0
6295.gender,qM,M
13125.state,C,DC
1085.phone,12-8851,123-8851
9908.city,BEULH,BEULAH
16836.zip,71223,72123
4373.gender,***,F
8170.state,vID,ID
19848.city,BLUWATER,BLUEWATER
14087.state,ItL,IL
3995.city,NORT HHAMPTON,NORTH HAMPTON
11509.marriedexemp,,0
4498.gender,,F
14267.salary,08000,80000
4359.gender,***,M
12935.singleexemp,f0,0
16694.phone,833-933c4,833-9334
4380.rate,.6,3.6
17418.gender,,F
13537.phone,723-794,723-7934
14515.singleexemp,u0,0
5196.lname,Shrelve,Shreve
16425.gender,rF,F
3915.salary,5500t0,55000
6026.childexemp,3p300,3300
13322.haschild,***,N
5162.singleexemp,***,0
6608.state,D,ID
953.areacode,70,870
6597.phone,626-22l39,626-2239
16378.state,L,FL
15206.gender,iF,F
17716.city,BERLvIN,BERLIN
16622.fname,uSbhada,Subhada
18869.singleexemp,,0
13239.state,DI,ID
4640.fname,Llrenc,Llorenc
3306.zip,9604,96704
1138.marriedexemp,,0
17209.state,KlS,KS
1225.areacode,055,505
10271.city,BONDURArNT,BONDURANT
7896.singleexemp,,0
8112.gender,***,F
17401.zip,3421,36421
19311.singleexemp,2m700,2700
16544.phone,124-m4600,124-4600
12525.singleexemp,***,0
15388.haschild,***,N
3515.salary,70000***,70000
5512.marriedexemp,u0,0
7027.zip,4a1645,41645
16786.city,BONNtOTS MILL,BONNOTS MILL
2711.city,LA,OLA
14723.rate,9.i0,9.0
9859.state,CD,DC
19844.marriedexemp,,0
12735.gender,,F
17216.state,I,RI
7004.fname,Yuopyo,Youpyo
15592.salary,700b00,70000
17315.singleexemp,,0
16061.childexemp,g0,0
1714.state,Y,NY
17540.childexemp,***,0
9154.phone,123-11p83,123-1183
11270.childexemp,z20,20
18340.marriedexemp,j0,0
2680.city,ABINGDNO,ABINGDON
6610.phone,480e-9055,480-9055
13856.gender,gF,F
7193.city,BETHEcL,BETHEL
11558.state,kDC,DC
9556.state,M,NM
1718.zip,3415,83415
4479.haschild,,N
17959.fname,Ishidor,Isidor
17193.childexemp,,0
3505.zip,4934,47934
13257.salary,0000,10000
9514.city,BEVELY,BEVERLY
4388.city,COLORADO SvPRINGS,COLORADO SPRINGS
13128.state,IR,RI
12487.areacode,u208,208
19707.salary,7000,75000
18452.salary,02000,20000
15272.rate,7.770928t4,7.7709284
17828.childexemp,***,0
12588.state,CD,DC
9922.singleexemp,,0
5518.city,LvOS ANGELES,LOS ANGELES
2005.childexemp,***,0
12599.zip,3506,35046
18474.lname,Poufary,Pouffary
1413.phone,746-1486,764-1486
9526.marriedexemp,j0,0
16972.childexemp,280,2850
