28291.city,BiOW,BOW
40003.lname,mBarbour,Barbour
27139.childexemp,24p75,2475
7835.state,DeC,DC
41904.phone,492-6390,492-6930
40647.city,COLLINSON,COLLINSTON
23909.gender,uF,F
19389.city,SvUMPTER,SUMPTER
13428.state,C,DC
44332.marriedexemp,2704,2740
36195.state,lDC,DC
21629.singleexemp,***,0
10085.state,AiL,AL
49205.childexemp,101,110
25110.state,AtR,AR
43939.singleexemp,,0
8935.state,VqT,VT
33641.singleexemp,l0,0
32107.city,MAPLvEWOOD,MAPLEWOOD
20330.state,eAK,AK
48250.state,AyR,AR
48208.state,PyR,PR
25498.maritalstatus,fS,S
22585.fname,eSungho,Seungho
27737.state,DqC,DC
9619.city,SLOuAN,SLOAN
8172.singleexemp,20q00,2000
33401.childexemp,o0,0
33458.state,DsC,DC
38893.city,BOSTNO,BOSTON
23535.state,KA,AK
35316.state,CD,DC
6744.fname,Tukcer,Tucker
45237.marriedexemp,1040,1400
17223.lname,Bronre,Broner
35926.fname,Ginto,Gino
21120.salary,5000,55000
41945.haschild,,N
24121.haschild,mN,N
30736.areacode,52,252
37865.haschild,jY,Y
46090.gender,,F
21348.childexemp,,0
27454.singleexemp,357q5,3575
25197.city,BrEAVER,BEAVER
47553.singleexemp,***,0
15054.childexemp,,0
40102.childexemp,***,0
57.areacode,460,406
43391.state,LA,AL
26302.gender,hM,M
3416.state,CD,DC
19362.marriedexemp,r2600,2600
41028.singleexemp,,0
20900.city,CHECOTH,CHECOTAH
13926.marriedexemp,274z0,2740
9541.gender,,F
26679.state,CD,DC
33007.gender,,F
38431.marriedexemp,3000***,3000
10290.areacode,958,985
22206.zip,73735,73753
16997.phone,539-9178,539-9187
31706.gender,***,F
20600.rate,3.s0356412,3.0356412
13120.fname,Nadeep,Navdeep
32667.city,BATAVA,BATAVIA
30336.marriedexemp,***,0
3507.marriedexemp,,0
29424.zip,566o55,56655
13980.state,K,AK
37504.childexemp,,0
25333.childexemp,,0
49373.childexemp,,0
39427.marriedexemp,202,220
16769.city,BOADR CAMP,BOARD CAMP
13749.fname,Ffaouzi,Faouzi
32077.rate,6.94839s1,6.948391
5033.phone,319-3958,391-3958
14083.city,A LUZ,LA LUZ
36498.state,XT,TX
37772.rate,.39,3.9
20414.areacode,81,801
19829.childexemp,2400***,2400
4677.city,EAUFORT,BEAUFORT
41022.singleexemp,210,2100
18027.marriedexemp,***,0
12767.state,nSC,SC
23485.lname,Andronitkos,Andronikos
28562.areacode,523,253
45120.childexemp,***,0
8828.city,LAS VEAS,LAS VEGAS
35397.areacode,82,802
3095.fname,iv,Ziv
23799.city,HpOOPLE,HOOPLE
29809.city,TREVRO,TREVOR
6348.rate,53.,5.3
28751.city,BAYAMzON,BAYAMON
25819.salary,20q000,20000
25158.state,DwC,DC
28888.salary,57000,75000
29055.state,RA,AR
10778.haschild,***,N
14488.haschild,***,N
7179.zip,6g8934,68934
34021.city,SAINT MARS CITY,SAINT MARYS CITY
14389.state,mAK,AK
13593.childexemp,310,3100
18470.phone,995-975,995-9765
37145.gender,***,F
22971.state,A,MA
24069.state,L,AL
45482.state,K,AK
9578.marriedexemp,2400,24500
36202.lname,Krnigs,Krings
46881.singleexemp,***,0
37669.city,GLEmN,GLEN
16306.state,K,AK
44548.gender,kF,F
30005.childexemp,l0,0
17711.fname,Lig,Ling
15858.areacode,40d1,401
41128.state,R,AR
30510.fname,Tomkoazu,Tomokazu
10966.zip,j47918,47918
28185.gender,,F
32376.singleexemp,,0
5874.salary,4000,40000
30827.singleexemp,***,0
31698.maritalstatus,,S
27440.state,tMT,MT
44573.rate,00.,0.0
17208.state,MbT,MT
16927.maritalstatus,,S
47010.singleexemp,130,1370
6505.marriedexemp,202,220
5108.gender,***,M
5243.areacode,13,313
36643.state,RA,AR
37223.lname,uLnn,Lunn
41595.gender,lM,M
11122.city,BGI BAY,BIG BAY
41642.zip,198,1098
32054.marriedexemp,080,2080
47859.state,uAK,AK
48596.phone,809-2228,809-2282
33554.city,BrIRMINGHAM,BIRMINGHAM
16784.marriedexemp,25400,24500
31681.lname,lves,Alves
40375.singleexemp,g0,0
23456.areacode,649,469
26558.gender,jF,F
14919.marriedexemp,***,0
16846.salary,50000***,50000
19214.state,R,AR
17655.state,K,AK
44421.childexemp,p0,0
28270.city,BISE,BOISE
41126.state,CD,DC
44702.phone,6717-509,671-7509
29759.marriedexemp,600,6600
21441.gender,***,F
40730.marriedexemp,6200,2600
6762.salary,60000***,60000
11207.state,L,AL
28714.maritalstatus,,M
46461.phone,553-5563***,553-5563
46137.city,OOKSACK,NOOKSACK
46749.city,LUEGROVE,BLUEGROVE
42730.city,nSMITHVILLE,SMITHVILLE
23149.phone,420a-1785,420-1785
33351.marriedexemp,740,2740
34427.childexemp,,0
16494.areacode,650,605
1169.state,C,DC
44700.singleexemp,***,0
7999.phone,113-198q7,113-1987
44151.salary,5000,15000
9727.gender,iF,F
13969.gender,***,F
33523.marriedexemp,20z80,2080
12543.zip,582s40,58240
14596.childexemp,,0
31788.marriedexemp,200,2080
40839.marriedexemp,,0
8272.state,AfR,AR
2201.haschild,fN,N
27004.maritalstatus,***,S
47399.singleexemp,***,0
49861.fname,Javzad,Javad
41654.city,IBGELOW,BIGELOW
39603.singleexemp,***,0
9430.maritalstatus,,M
17313.state,K,AK
43515.city,BILLINGS***,BILLINGS
30745.fname,iyu,Piyu
290.haschild,,Y
17515.rate,8.9p51314,8.951314
49082.singleexemp,7,87
15916.lname,Colxson,Coxson
32940.rate,4v.0325,4.0325
32973.zip,231t48,23148
43625.state,L,AL
34498.rate,2.5776854,2.5778654
31697.areacode,3i18,318
11540.singleexemp,,0
18639.city,CUCUMER,CUCUMBER
31630.gender,pM,M
37064.gender,***,F
19879.state,CD,DC
25316.singleexemp,1200,2100
37217.state,yMT,MT
37822.marriedexemp,,0
3088.zip,8910,89150
18908.areacode,43k5,435
49015.haschild,***,Y
38495.state,sWV,WV
39058.haschild,bN,N
14406.marriedexemp,24500***,24500
15104.rate,3k.4,3.4
39925.zip,1482,14882
1382.zip,3013,30163
36765.phone,13-2550,173-2550
18254.rate,7u.0,7.0
37273.city,CRYSTAL ALKE,CRYSTAL LAKE
45525.lname,Katalgarianos,Katalagarianos
33186.zip,86507,68507
41105.phone,700-1924,700-9124
20132.state,MpA,MA
23033.maritalstatus,hS,S
7505.childexemp,w0,0
18252.city,BENINGTON,BENNINGTON
4997.singleexemp,45r00,4500
49182.singleexemp,,0
45509.marriedexemp,n0,0
6086.areacode,9d13,913
37077.maritalstatus,,M
16743.state,C,DC
41868.city,FORT HSAFTER,FORT SHAFTER
38796.city,BAAMON,BAYAMON
25023.childexemp,,0
42229.marriedexemp,220***,220
29654.areacode,40e2,402
44249.state,KA,AK
34636.salary,55000***,55000
26187.fname,ksoo,Iksoo
43550.singleexemp,02,20
17800.areacode,850,580
33186.fname,Seteve,Steve
11747.gender,***,F
43376.marriedexemp,27h40,2740
44298.singleexemp,***,0
32234.areacode,890,980
17211.gender,mM,M
45228.phone,287-757o9,287-7579
37422.phone,916-992,916-9192
15026.state,GxA,GA
2187.gender,***,M
29291.childexemp,x0,0
11734.city,BOUNDBROOK,BOUND BROOK
20809.city,jBAYAMON,BAYAMON
8908.haschild,,Y
30316.state,R,AR
3864.marriedexemp,***,0
30029.areacode,n240,240
20248.childexemp,,0
24784.singleexemp,2700***,2700
27504.fname,Ulafr,Ulfar
19109.city,BLOgOMER,BLOOMER
19077.fname,Draia,Daria
44313.singleexemp,p0,0
44598.singleexemp,***,0
8553.marriedexemp,2400,24500
27263.childexemp,,0
38339.marriedexemp,2060,2600
43945.state,K,AK
15548.zip,631n22,63122
22374.state,KA,AK
31389.state,yDC,DC
1449.city,EAhST HADDAM,EAST HADDAM
30624.gender,aM,M
32674.gender,mF,F
25488.state,T,MT
37237.fname,rUs,Urs
19192.phone,487-2432,487-2423
45042.maritalstatus,nS,S
10323.state,Z,AZ
27038.city,BEFAST,BELFAST
39493.state,tAK,AK
49955.gender,,M
21367.areacode,032,302
28504.singleexemp,,0
739.haschild,***,Y
22143.rate,u4.75,4.75
36819.state,K,AK
28331.salary,04000,40000
2064.marriedexemp,***,0
42192.maritalstatus,***,S
6802.gender,,M
47891.singleexemp,***,0
33184.city,BOULDR,BOULDER
46641.zip,j68654,68654
19235.state,wDC,DC
49409.marriedexemp,4n0,40
13557.gender,iF,F
46062.gender,bF,F
18563.state,KA,AK
43007.phone,125-4151,152-4151
29107.gender,***,F
15547.marriedexemp,740,2740
27294.singleexemp,,0
42481.city,BAHT,BATH
11818.city,kBAYAMON,BAYAMON
41742.city,BIRMINuGHAM,BIRMINGHAM
38737.singleexemp,***,0
45722.maritalstatus,,S
32353.haschild,***,N
23707.city,BIRMNGHAM,BIRMINGHAM
7640.gender,,F
42581.childexemp,i0,0
30095.phone,3049-210,304-9210
1652.areacode,310,301
5627.marriedexemp,20,220
32760.haschild,iY,Y
42053.marriedexemp,***,0
29038.singleexemp,u0,0
9776.maritalstatus,zS,S
46358.gender,***,M
47099.maritalstatus,cM,M
11609.salary,100v00,10000
35948.marriedexemp,***,0
44728.haschild,,N
44806.city,BISE,BOISE
30608.childexemp,100n0,1000
35791.gender,,F
45042.lname,Jurci,Juric
35818.maritalstatus,,S
8574.areacode,225,252
20569.city,OALKAND,OAKLAND
35153.city,KIGNSTON,KINGSTON
8608.lname,eun,Yeun
13159.singleexemp,q0,0
25385.city,BOSON,BOSTON
42069.lname,Pariusotto,Parisotto
42909.phone,873-322,873-3292
45688.marriedexemp,2k740,2740
32129.childexemp,,0
44465.state,hAK,AK
33646.gender,***,F
19478.lname,Vernalcde,Vernalde
13877.city,PfOWHATAN,POWHATAN
32245.fname,Holgarld,Holgard
2696.state,vDC,DC
12772.phone,536-8114***,536-8114
30338.state,R,AR
25641.gender,rM,M
10990.gender,,F
42368.city,BOSIE,BOISE
34041.state,R,AR
38436.maritalstatus,aS,S
33302.phone,9w10-2369,910-2369
31970.singleexemp,7200,2700
39760.gender,uF,F
46259.fname,Maian,Marian
38723.areacode,07,207
3032.gender,***,F
34457.state,AxK,AK
6086.zip,6r6508,66508
40955.city,BEL ALOTN,BEL ALTON
11327.singleexemp,q0,0
47073.gender,***,F
45481.city,BRIMINGHAM,BIRMINGHAM
15225.gender,***,F
44927.marriedexemp,800,3800
29251.state,AhK,AK
1250.areacode,d308,308
26525.city,BLACK CNYON CITY,BLACK CANYON CITY
46973.areacode,73w2,732
28739.marriedexemp,40j00,4000
4511.city,BFFALO,BUFFALO
35836.city,BAYMON,BAYAMON
14987.singleexemp,p0,0
17026.state,DmC,DC
9245.singleexemp,b0,0
26717.childexemp,***,0
1793.rate,2.393238,2.3932838
2033.singleexemp,,0
14889.phone,32j2-7990,322-7990
5441.city,BIG PIEY,BIG PINEY
47700.areacode,296,269
47746.childexemp,w0,0
19307.state,DnC,DC
43920.childexemp,,0
39467.salary,50000***,50000
37946.phone,394-457x9,394-4579
879.maritalstatus,***,S
21239.gender,,F
36462.state,KO,OK
34734.salary,04000,40000
28240.rate,4d.5,4.5
30363.city,BOMOSEN,BOMOSEEN
33087.state,IR,RI
13026.singleexemp,12570,12750
16787.areacode,055,505
7798.areacode,690,609
32836.marriedexemp,***,0
18600.state,C,DC
42262.gender,eF,F
40878.rate,.69,6.9
1029.fname,Myilvio,Milvio
31850.childexemp,,0
36233.city,OISE,BOISE
35249.gender,,M
3886.zip,5747v0,57470
39783.state,aMA,MA
5364.fname,Setu,Sethu
20754.singleexemp,,0
35108.singleexemp,y0,0
38222.lname,Verbawuhede,Verbauwhede
12618.state,Y,KY
36781.childexemp,,0
28226.singleexemp,u0,0
36895.lname,lobus,Globus
11174.lname,ohed,Wohed
39959.state,NT,TN
49305.gender,,M
10306.state,pDC,DC
37332.areacode,03,203
48203.city,VAPARAISO,VALPARAISO
41397.marriedexemp,22f0,220
46098.gender,***,F
42331.singleexemp,,0
24594.rate,2.5778564,2.5778654
45586.haschild,,N
45783.phone,933-9243,933-2943
28253.zip,6469,64659
40497.marriedexemp,27k40,2740
36466.state,R,AR
36582.state,R,AR
21050.areacode,908,980
20477.gender,***,F
31936.city,BiEVERLY HILLS,BEVERLY HILLS
16331.areacode,81,801
38036.childexemp,,0
13644.singleexemp,,0
31506.childexemp,,0
44181.state,eAR,AR
9925.city,MONTGMOERY,MONTGOMERY
32990.city,fLAWN,LAWN
39449.lname,Tilerney,Tierney
44857.haschild,,N
26570.salary,2000,20000
16939.childexemp,r0,0
38396.salary,55000***,55000
46702.marriedexemp,***,0
18652.rate,.3900213,6.3900213
26065.childexemp,,0
27498.salary,15000***,15000
49662.state,LA,AL
25274.maritalstatus,nS,S
17682.singleexemp,00,700
31043.marriedexemp,3000***,3000
6569.state,NM,MN
43939.rate,4.183657,4.1853657
43422.state,RwI,RI
23610.singleexemp,,0
19508.areacode,08,808
45181.childexemp,,0
40584.state,DzC,DC
46180.salary,300j00,30000
47432.gender,,F
16316.phone,725-678,725-6678
9179.haschild,vY,Y
43291.city,FRIASR POINT,FRIARS POINT
32546.state,CD,DC
15700.gender,***,M
38652.city,URBNADALE,URBANDALE
1476.areacode,g947,947
28302.city,BLUER IVER,BLUE RIVER
6350.rate,3.027428,3.0217428
33463.areacode,029,209
10508.rate,90.,9.0
18633.fname,Armsando,Armando
29293.marriedexemp,c0,0
11215.state,D,SD
15340.gender,,M
42419.lname,Papadupolous,Papadoupolous
8043.singleexemp,,0
43970.city,BLOSSBRUG,BLOSSBURG
35426.marriedexemp,u0,0
33902.marriedexemp,400y0,4000
46686.zip,3t9358,39358
40086.haschild,***,N
41806.haschild,***,N
12480.phone,66-48338,664-8338
13050.salary,15000***,15000
22884.areacode,89,859
49682.singleexemp,c0,0
17983.rate,7.904483,7.1904483
23793.gender,aM,M
47777.state,wMT,MT
34243.zip,03342,30342
47151.childexemp,,0
21098.salary,25000***,25000
46472.state,DlC,DC
9472.marriedexemp,***,0
33908.singleexemp,27d00,2700
15451.zip,6323,6332
44648.singleexemp,,0
30935.marriedexemp,1800***,1800
10104.areacode,710,701
2347.areacode,680,860
46389.areacode,5m15,515
4324.city,BOULER,BOULDER
7187.zip,96909,99609
7681.marriedexemp,,0
40545.salary,80u000,80000
9377.city,DjRAPER,DRAPER
34286.singleexemp,s0,0
20006.gender,qF,F
47104.city,BAAVIA,BATAVIA
37298.marriedexemp,25400,24500
21281.gender,***,M
8260.zip,2746,27046
37041.singleexemp,***,0
33509.gender,,F
5485.zip,6730,7630
47762.state,VN,NV
46815.salary,d45000,45000
8722.rate,6.o183918,6.183918
25583.marriedexemp,20,220
37913.lname,Loyto,Loyot
47136.city,LNGMONT,LONGMONT
13553.childexemp,***,0
15899.state,vDC,DC
14620.city,LEgPANTO,LEPANTO
5051.marriedexemp,f0,0
9225.areacode,3s15,315
19709.marriedexemp,220***,220
41750.singleexemp,e0,0
21791.city,BOUrNTIFUL,BOUNTIFUL
45466.lname,ouppi,Jouppi
10282.state,L,FL
41656.marriedexemp,740,2740
33317.state,CN,NC
40514.state,C,DC
2422.haschild,zN,N
47737.lname,Prieas,Preas
9029.city,MONGTOMERY,MONTGOMERY
48697.gender,,F
40686.singleexemp,***,0
45422.city,OROCOVS,OROCOVIS
21935.city,BOIE,BOISE
9441.state,C,DC
6165.areacode,35,305
11509.rate,70,7.0
19554.gender,xF,F
19683.state,xDC,DC
26192.salary,0000,70000
39509.phone,831-793,831-7933
7866.state,AzL,AL
30551.childexemp,x0,0
18926.maritalstatus,jM,M
38980.singleexemp,***,0
19932.areacode,07,207
35023.phone,60-5248,606-5248
44826.childexemp,,0
20516.state,DN,ND
4633.marriedexemp,20,220
16485.marriedexemp,a220,220
11035.childexemp,c0,0
505.haschild,***,Y
34495.phone,502-199,502-1999
46786.childexemp,g0,0
16578.city,BELEVILLE,BELLEVILLE
34914.fname,Kazuhias,Kazuhisa
45897.salary,30f000,30000
31883.state,NI,IN
38050.marriedexemp,,0
38041.marriedexemp,08,80
45929.childexemp,***,0
22156.fname,Kananahalli,Kankanahalli
25551.maritalstatus,,S
37442.haschild,***,N
4814.marriedexemp,4500,24500
39795.lname,ponte,Aponte
49644.phone,22-1574,422-1574
47367.marriedexemp,,0
6184.maritalstatus,,S
12246.areacode,504,540
10907.marriedexemp,6600***,6600
25355.state,D,ID
38851.gender,,M
29918.city,HIG POINT,HIGH POINT
4239.maritalstatus,rM,M
38400.gender,***,F
7893.state,C,DC
45601.marriedexemp,202,220
28379.marriedexemp,***,0
10047.phone,231-x8117,231-8117
15194.marriedexemp,2n4500,24500
11386.areacode,7f54,754
27778.city,BIRMInNGHAM,BIRMINGHAM
10725.gender,,F
39340.state,C,DC
27124.maritalstatus,nM,M
30136.marriedexemp,2j080,2080
22657.state,FeL,FL
13170.marriedexemp,b220,220
32678.gender,,F
2602.gender,qF,F
20824.singleexemp,i0,0
26187.lname,Antnoellis,Antonellis
44206.state,CD,DC
36222.state,LA,AL
35674.childexemp,,0
48888.zip,66h078,66078
44995.fname,Dne,Dane
33057.childexemp,s0,0
17130.areacode,172,712
19741.childexemp,***,0
9403.city,WESTIMNSTER,WESTMINSTER
35093.haschild,,Y
32156.rate,5.0543535,5.0545335
43418.singleexemp,***,0
9347.maritalstatus,kM,M
43962.fname,Rishiyru,Rishiyur
17785.rate,50.,5.0
39690.fname,eRnata,Renata
47614.phone,297-6742,297-6724
1784.lname,Drigges,Driggers
22833.phone,41r2-8930,412-8930
45495.phone,356-26e64,356-2664
22771.gender,vM,M
31685.salary,300g00,30000
35558.phone,529-5s204,529-5204
41165.singleexemp,f0,0
4333.state,RA,AR
25237.fname,Syblile,Sybille
25521.childexemp,r0,0
21451.areacode,13,513
26536.marriedexemp,z0,0
48757.lname,Yersohv,Yershov
39356.marriedexemp,2q20,220
16467.childexemp,,0
39222.singleexemp,0,20
39765.city,BELLVUhE,BELLVUE
21037.city,BLACHARD,BLANCHARD
29770.areacode,b314,314
49014.rate,5.5460h53,5.546053
6534.fname,Chiakng,Chiakang
15653.childexemp,,0
34360.city,BW,BOW
8820.state,SfD,SD
49262.city,BILLERIAC,BILLERICA
11984.haschild,,N
2426.city,BLSS,BLISS
32409.state,CD,DC
15087.singleexemp,i0,0
12993.city,BRIMINGHAM,BIRMINGHAM
8028.lname,Wertner,Werthner
39959.areacode,910,901
7779.city,SWEETHOME,SWEET HOME
35408.singleexemp,,0
9708.lname,Ggilon,Gilon
35405.state,CD,DC
18196.zip,82271,82217
28720.city,BOTUON,BOUTON
7436.childexemp,***,0
8931.phone,347-3516,347-3561
16016.state,oAK,AK
8884.maritalstatus,***,S
12188.gender,lF,F
25367.state,C,DC
31752.state,fDC,DC
38733.state,mAR,AR
21484.rate,00.,0.0
45996.maritalstatus,,M
38125.phone,710-3838,710-3883
3679.singleexemp,j0,0
38911.lname,esaka,Uesaka
9916.fname,Yuyaqn,Yuyan
40350.childexemp,***,0
20042.singleexemp,3300***,3300
5096.marriedexemp,z6600,6600
29268.haschild,,N
19483.marriedexemp,4080,4800
47400.marriedexemp,s24500,24500
7516.maritalstatus,zM,M
41971.singleexemp,,0
11591.zip,75348,57348
12673.zip,87152,87125
27824.gender,,M
47441.singleexemp,***,0
21205.lname,Guri,Gurzi
43541.childexemp,,0
47103.city,BOUDER CITY,BOULDER CITY
20564.gender,,F
16583.state,DI,ID
39259.childexemp,***,0
46339.state,CD,DC
48911.areacode,280,208
1695.phone,560-9632,560-9623
46053.phone,715-1113,715-1131
41334.phone,123n-5714,123-5714
45611.state,J,NJ
26535.gender,***,F
44290.singleexemp,,0
20616.maritalstatus,***,S
29143.marriedexemp,200,6200
45066.phone,559-9968***,559-9968
27696.salary,0000,20000
35123.state,AV,VA
36510.lname,Angevl,Angel
236.rate,h9.3,9.3
43064.childexemp,b0,0
37758.state,IM,MI
47798.childexemp,c0,0
24426.haschild,vY,Y
20250.childexemp,1n10,110
17916.fname,Ricmhond,Richmond
28936.state,J,NJ
48622.gender,lF,F
38430.childexemp,,0
17704.rate,50.,5.0
7140.state,S,KS
19208.childexemp,3300***,3300
49337.lname,Miyadrea,Miyadera
398.phone,4024-993,402-4993
30217.marriedexemp,202,220
46010.childexemp,,0
39830.gender,,F
34633.city,BOILINGSPRINGS,BOILING SPRINGS
34325.singleexemp,,0
8499.zip,98131,89131
35102.lname,Chahndhok,Chandhok
22093.singleexemp,1000***,1000
24473.state,CD,DC
169.city,TORRNIGTON,TORRINGTON
30177.city,HUBBRD,HUBBARD
20281.rate,70,7.0
31173.city,LWEISTOWN,LEWISTOWN
41638.rate,5.57,5.75
18883.singleexemp,***,0
31586.lname,Theiemr,Theimer
13417.haschild,,Y
11737.rate,q4.63,4.63
47803.phone,9992967,999-2967
2430.maritalstatus,***,M
19262.singleexemp,***,0
35804.marriedexemp,p0,0
44239.childexemp,,0
45172.city,BEWICK,BERWICK
5646.fname,Zahnqiu,Zhanqiu
4099.state,mDC,DC
50000.marriedexemp,24h500,24500
20035.singleexemp,100e0,1000
23703.fname,Xivaorong,Xiaorong
8464.city,OVINGTON,COVINGTON
15367.haschild,,Y
7422.areacode,n205,205
15708.lname,Gianqi,Giani
36711.gender,***,F
46411.city,BELMOTN,BELMONT
39229.maritalstatus,gM,M
47788.city,BOLOMINGTON,BLOOMINGTON
39454.rate,.8,7.8
7818.marriedexemp,6600***,6600
31361.city,BILLINSG,BILLINGS
7636.marriedexemp,202,220
25907.singleexemp,s0,0
43370.state,DyC,DC
44575.gender,,F
2180.rate,t8.25,8.25
33973.state,CD,DC
26935.gender,,F
29196.phone,242-8804,242-8840
16038.maritalstatus,***,M
69.haschild,,N
38175.lname,Vouillhon,Vouillon
32051.haschild,***,Y
35124.phone,3k37-6815,337-6815
25040.rate,.60,6.0
14666.singleexemp,***,0
45753.fname,nLiang,Liang
21832.areacode,80,980
22806.salary,45000***,45000
731.salary,4s0000,40000
45531.childexemp,3y000,3000
39284.state,uAL,AL
26455.salary,90000***,90000
42130.childexemp,***,0
45466.marriedexemp,2400,24500
5343.gender,***,F
26153.city,BOMWAN,BOWMAN
47507.city,ABLUQUERQUE,ALBUQUERQUE
40322.gender,uF,F
47164.childexemp,***,0
38534.childexemp,,0
29722.haschild,***,N
11943.state,E,DE
28881.childexemp,,0
45569.childexemp,***,0
40256.salary,0000,20000
32041.state,L,AL
29028.state,CD,DC
35826.marriedexemp,2450,24500
28629.city,PROVIEDNCE,PROVIDENCE
6385.state,C,DC
48498.singleexemp,***,0
23041.marriedexemp,***,0
15447.salary,8000,80000
3619.lname,Menyhetr,Menyhert
49210.phone,143-9467,143-9476
24155.rate,3n.07,3.07
22150.phone,305-8o899,305-8899
42556.zip,0841,80841
35636.areacode,b208,208
30916.zip,84059,84095
15267.childexemp,c0,0
14515.haschild,sN,N
46142.childexemp,,0
2045.areacode,851,815
26708.singleexemp,,0
46116.marriedexemp,4905,4950
41759.singleexemp,***,0
31711.city,COLUMBS,COLUMBUS
15200.childexemp,900***,900
21304.marriedexemp,p0,0
9837.fname,Rastismlav,Rastislav
11251.marriedexemp,y0,0
12727.singleexemp,h0,0
2197.fname,Clina,Celina
48920.marriedexemp,7240,2740
27307.singleexemp,l0,0
14224.zip,190,910
31352.singleexemp,t0,0
19140.areacode,w978,978
47769.fname,oe,Loe
33024.state,TC,CT
23662.gender,***,F
47664.marriedexemp,n0,0
25709.lname,Wombole,Womble
40720.marriedexemp,***,0
26510.gender,,F
49404.state,LF,FL
36528.singleexemp,,0
11999.lname,Brus,Bruss
18517.zip,18020,81020
48390.lname,Krumskal,Kruskal
14166.maritalstatus,,M
33646.salary,0000,70000
32203.state,H,OH
15625.marriedexemp,q0,0
32945.gender,hM,M
13227.marriedexemp,202,220
29387.childexemp,***,0
41549.city,BESEMER,BESSEMER
5122.salary,40000***,40000
34322.gender,,F
23507.state,DkC,DC
20222.lname,Labrthe,Labarthe
40538.childexemp,w0,0
922.gender,***,M
8682.salary,70000***,70000
41809.gender,***,F
36144.singleexemp,,0
3084.state,kPA,PA
8521.rate,t4.63,4.63
47864.marriedexemp,2n20,220
10761.haschild,oY,Y
28627.marriedexemp,x0,0
20869.gender,dF,F
14266.rate,00,0.0
11210.areacode,90u8,908
49947.state,uUT,UT
49629.singleexemp,,0
27046.marriedexemp,w24500,24500
41485.childexemp,***,0
38761.marriedexemp,740,2740
8502.gender,***,M
41453.childexemp,1500***,1500
35500.childexemp,30,300
20057.state,A,MA
23596.childexemp,***,0
30010.fname,Fabriizio,Fabrizio
26880.gender,,F
39199.childexemp,c0,0
17253.singleexemp,r0,0
3858.salary,85000***,85000
44406.state,LA,AL
34862.singleexemp,z0,0
12497.childexemp,w0,0
