id,article_title,journal_title,article_language,jounral_abbreviation,article_jcreated_at,journal_issn,article_jvolumn,article_pagination,article_jissue,author_list
819166,"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",American Journal of Bioethics,English,,1/9/01,15265161 (ISSN),9,W1-W4,9,"{""G.R. Gillett""}"
880881,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,kor,Korean J Gastroenterol,1/8/12,1598-9992,52,384-8,6,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,Eur. Heart J.,eng,,1/7/09,0195-668X,28,2077-86,17,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}"
954388,Optimal Starting Age for School Attendance: FY76 Issue Analysis,,English,,1/1/74,,0,46,0,"{""Marilou Madden""}"
379737,Bone density and body composition in young women with chronic fatigue syndrome.,Neuroprotective Agents,eng,,5/1/00,0077-8923,904,625-7,-1,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}"
676042,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,eng,J Stroke Cerebrovasc Dis,1/15/02,1532-8511,24,362-9,2,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}"
353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",Vulnerable Children and Youth Studies,,,1/8/01,1745-0128 1745-0136,3,243-248,3,"{""B O Olley""}"
968125,Successful treatment of lung cancer by multimodal endobronchial interventions,Respiration; international review of thoracic diseases,English,Respiration,1/14/01,0025-7931,88,144-147,2,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,Neurosurgery,eng,Neurosurgery,1/9/02,1524-4040,64,316-26; discussion 326-7,2,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J_rgen L_ders""}"
732534,Out of harm's way: curbing violence in the ED,Health Facilities Management,English,Health Facil Manage,1/1/95,0899-6210,8,"20-6, 28",10,"{""K. Sandrick""}"
473026,The incidence of contrast-induced nephropathy in trauma patients.,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,eng,Eur J Emerg Med,1/8/06,1473-5695,15,134-9,3,"{""Rich Sinert"",""Shoma Desai"",""Antonia Hipp"",""Carmen Lopez""}"
372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,Int. J. Radiat. Oncol. Biol. Phys.,,,,0360-3016,90,S398,1,"{""Kooy H."",""Hong T.S."",""Symonifka J."",""Depauw N."",""Wo J.Y.""}"
110072,Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,eng,J. Cereb. Blood Flow Metab.,1/14/10,1559-7016,34,1681-7,10,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}"
330553,Multiresistance of clinically relevant gram-positive cocci,Intensivmedizin und Notfallmedizin,,,1/1/97,0175-3851,34,655-663,7,"{""G. Peters"",""K. Becker"",""C. Von Eiff""}"
23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,Journal of the American Board of Family Medicine : JABFM,eng,J Am Board Fam Med,1/14/01,1557-2625,27,42-55,1,"{""Leila Jackson"",""Brian J Wells"",""Gregory S Cooper"",""Siran Koroukian"",""Michael W Kattan""}"
719532,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,Energy and Buildings,,,1/10/01,0378-7788,42,2331-2337,12,"{""R. Luck"",""P. Mago"",""N. Fumo""}"
86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,Cancer research,eng,Cancer Res.,5/15/11,1538-7445,71,Sep-82,10,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}"
433667,"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",,,,,,0,,0,{NULL}
530323,"Strategies for partner notification for sexually transmitted infections, including HIV.",Cochrane Database Syst. Rev.,eng,,1/13/01,1469-493X,10,CD002843,-1,"{""Catherine Mathews"",""Moleen Zunza"",""Adel Ferreira"",""Nicola Low"",""Taryn Young""}"
102893,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,The Journal of clinical psychiatry,eng,J Clin Psychiatry,1/10/11,1555-2101,71,1518-25,11,"{""Roger S McIntyre"",""Avnish Tripathi"",""Jeanette M Jerrell""}"
864817,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,Annals of Oncology,,,1/10/01,,21,viii284,0,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}"
217725,Use of alendronate in peri-implant defect regeneration,,English,,1/1/99,,70,151-158,2,"{""P. C. Wollan"",""S. J. Meraw"",""C. M. Reeve""}"
730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",Annals of the Royal College of Surgeons of England,English; ABSTRACT LANGUAGE:English,Ann R Coll Surg Engl,1/1/94,0035-8843,76,324-326,5,"{""Jayatunga AP"",""Dark CH"",""Jahangiri M"",""Bradley JWP""}"
659297,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,eng,Am J Phys Med Rehabil,1/12/11,1537-7385,91,984-98,11,"{""James Lenker"",""W Ben Mortenson"",""Frank DeRuyter"",""Louise Demers"",""Jeffrey W Jutai"",""Marcus J Fuhrer""}"
42247,"Gender differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.",Journal of science and medicine in sport / Sports Medicine Australia,eng,J Sci Med Sport,1/10/11,1878-1861,13,597-601,6,"{""John W Toumbourou"",""Eva Leslie"",""Peter Kremer"",""Joanne W Williams""}"
302969,Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology,,,,1/7/01,,90,18-30,3,"{""Steven G Little"",""K Angeleque Akin-Little"",""Shari Melman""}"
158672,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.,Computers & chemical engineering,ENG,Comput Chem Eng,4/14/12,0098-1354,71,715-727,-1,"{""Shibin Mathew"",""Ipsita Banerjee""}"
616298,Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.,Journal of clinical anesthesia,eng,J Clin Anesth,1/6/09,0952-8180,18,427-35,6,"{""David N Maine"",""Genevieve E Courpas"",""James F Weller"",""Jeffrey M Richman"",""Andrew J Rowlingson"",""Christopher L Wu""}"
221086,Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta,,eng,,1/12/01,,7,34,0,"{""K. Miyoshi"",""T. Noma"",""T. Muto"",""H. Hagita"",""T. Horiguchi""}"
548616,"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series",Teachers College Press,,,1/10/10,0-8077-4913-3,0,,0,"{""Ofelia Garcia"",""Jo Anne Kleifgen""}"
669596,Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",eng,Knee Surg Sports Traumatol Arthrosc,1/14/12,1433-7347,22,Jul-91,12,"{""Junwei Jiang"",""Hongchuan Wang"",""Hua Lou"",""Kai Liu"",""Huiwei Zhang""}"
474288,Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.,Journal of geriatric oncology,eng,J Geriatr Oncol,1/15/01,1879-4076,6,15-22,1,"{""Marlies L van Bekkum"",""Barbara C van Munster"",""Marije E Hamaker"",""Carolien H Smorenburg"",""Peter L M Thunnissen""}"
108424,Outcome of gastric bypass patients.,Obesity surgery,eng,Obes Surg,1/2/04,0960-8923,12,261-4,2,"{""Ryan Holzwarth"",""Basir Tareen"",""Alicia Majkrzak"",""Darren Huber""}"
841679,A Modified Technique for Pulmonary Valve Replacement with a Homograft,J. Card. Surg.,English,,1/11/01,-7977,26,144-147,2,"{""S. K. Choudhary"",""G. S. Gulati"",""P. Sharma"",""S. Talwar"",""B. Airan"",""S. Mishra""}"
173830,"Advances in allergic skin disease, anaphylaxis, and hypersensitivity reactions to foods, drugs, and insects",Journal of Allergy and Clinical Immunology,,,1/5/01,0091-6749 (Print),116,153-163,1,"{""S. H. Sicherer"",""D. Y. M. Leung""}"
852927,"Phase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.",J. Exp. Clin. Cancer Res.,eng,,1/9/01,1756-9966,28,34,-1,"{""Laura Giacinti"",""Silvia Ileana Fattoruso"",""Maria Grazia Arena"",""Luigi Di Lauro"",""Massimo Lopez"",""Domenico Sergi"",""Diana Giannarelli""}"
237623,Neck pain.,Clinical evidence,eng,Clin Evid (Online),1/8/01,1752-8526,2008,,1,"{""Allan I Binder""}"
912884,A guide to physiotherapy in cerebral palsy,Paediatrics and Child Health,,,1/8/01,,18,410-413,0,"{""C. E. Barber""}"
318931,Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients,AIDS Reviews,,,1/10/01,1139-6121,12,153-163,3,"{""M. Pujol"",""P. Barragn"",""J.M. Tiraboschi"",""A. Imaz"",""M.. Dom_nguez"",""D. Podzamczer""}"
93659,[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,chi,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,1/12/06,1001-5515,29,"453-5, 459",3,"{""Rujun Zheng"",""Yulan Peng"",""Shuzhen Zhao"",""Hong Huang"",""Ii Liang"",""Xiaoli He""}"
349150,The relationship between capsulorhexis size and anterior chamber depth relation.,Ophthalmic surgery and lasers,eng,Ophthalmic Surg Lasers,3/1/99,1082-3069,30,185-90,3,"{""O Ceki_"",""C Batman""}"
572010,"A pilot study of rituximab in patients with recurrent, classic Hodgkin disease.",CANCER,eng,,7/15/03,0008-543X,98,310-4,2,"{""Anas Younes"",""L Jeffrey Medeiros"",""Frederick Hagemeister"",""Maria Alma Rodriguez"",""Sima Jeha"",""Paolo Fiumara"",""Lynne V Abruzzo"",""John T Manning"",""Jorge Romaguera"",""Andre Goy"",""Dan Jones"",""Peter McLaughlin""}"
826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,eng,Eur J Cardiovasc Nurs,1/12/01,1474-5151,11,183-9,2,"{""Cecilia Bj_rkelund"",""Margaretha Jerlock""}"
34962,Assessing social isolation in motor neurone disease: a Rasch analysis of the MND Social Withdrawal Scale.,Journal of the neurological sciences,eng,J. Neurol. Sci.,11/15/13,1878-5883,334,112-8,1,"{""Everard W Thornton"",""Carolyn A Young"",""Alan Tennant"",""John Ealing"",""Kevin Talbot"",""[Collective Name] UKMND-QoL Group"",""Chris J Gibbons"",""Pamela J Shaw""}"
574309,"Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized, Multicenter Study",Transplantation,English,Transplantation,1/15/01,0041-1337,99,1455-1462,7,"{""Junge G"",""Rauer B"",""De Simone P"",""Fischer L"",""De Carlis L"",""Kaiser GM"",""Saliba F"",""Duvoux C"",""Metselaar HJ"",""Dong G"",""Nevens F"",""Fung JJ""}"
200077,Plasma cell leukemia--a case report.,Indian Journal of Pathology and Microbiology,eng,,1/3/07,0377-4929,46,484-7,3,"{""T K Dutta"",""Pampa Ch Toi"",""Bhawana A Badhe"",""L H Ghotekar"",""Debdatta Basu""}"
421512,CABG again outshines stenting for some patients with coronary artery blockage,,eng,,1/13/01,,309,17-Aug,1,"{""M. Mitka""}"
715052,Health-promoting behaviors of low-income cancer survivors,,,,1/11/01,,25,118-124 7p,3,"{""Alexa Stuifbergen"",""Martha Gene Meraviglia""}"
172966,Food allergy in children,Archives De Pediatrie,,,1/6/01,0929-693X,13,1349-1353,10,"{""E. Bidat""}"
140274,"Here to stay. An interview with Dr. David Satcher, Director, U.S. Centers for Disease Control and Prevention.",Nepal Medical College journal : NMCJ,eng,Nepal Med Coll J,11/1/96,,1,9-Jun,17,"{""J Stilkind""}"
282039,The first case of drug-induced immune hemolytic anemia due to hydrocortisone,Transfusion,,,1/8/01,0041-1132,48,1925-1929,9,"{""M. Martinengo"",""D. F. Ardenghi"",""G. Reali"",""G. Tripodi""}"
835177,KRAS mutational status assessment in patients with metastatic colorectal cancer: are the clinical implications so clear?,Eur J Cancer Care (Engl),eng,European journal of cancer care,1/10/01,0961-5423 (Print) 0961-5423,19,167-71,2,"{""M. Hebbar"",""P. Fournier"",""O. Romano""}"
519732,Classifying radiographic progression status in early rheumatoid arthritis patients using propensity scores to adjust for baseline differences.,Statistical methods in medical research,eng,Stat Methods Med Res,1/7/02,0962-2802,16,13-29,1,"{""John T Sharp"",""Weng Kee Wong"",""Grace S Park"",""Harold E Paulus"",""MyungShin Oh"",""Richard H Gold"",""Dinesh Khanna""}"
761104,"Infusing Tolerance, Diversity, and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning",TEACHING Exceptional Children Plus,,,1/5/01,"1553-9318, 1553-9318",1,,3,"{""Milagros M. Sessions"",""Kevin J. Miller""}"
408062,Adherence to fesoterodine in women with overactive bladder in routine clinical practice.,Actas urologicas espanolas,engspa,Actas Urol Esp,1/15/05,1699-7980,39,222-8,4,"{""E Huguet"",""O Porta"",""E Mart_nez"",""I Mora"",""M Sim_"",""J Pubill"",""J A Ortega"",""M T Castillo""}"
889481,Chronic pain related to quality of sleep,Einstein (Sao Paulo),eng     por,"Einstein (Sao Paulo, Brazil)",1/14/01,1679-4508,12,159-63,2,"{""W. Hummig"",""J. Stechman Neto"",""L. F. Tonial""}"
894596,On the role of pre and post-processing in environmental data mining,"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",,,1/8/01,9790000000000,3,1937-1958,0,"{""Miquel S_nchez-Marr"",""Geoff Holmes"",""Joaqu_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}"
604985,Cardioactive steroid poisoning: a comparison of plant- and animal-derived compounds.,J Med Toxicol,eng,Journal of medical toxicology : official journal of the American College of Medical Toxicology,1/6/12,1556-9039,2,152-5,4,"{""Robert S Hoffman"",""Brian W Cotter"",""Barbara M Kirrane"",""Fermin Barrueto"",""Lewis S Nelson""}"
220950,Forensic odontology: A prosthodontic view,,eng,,1/12/01,,4,38-41,1,"{""S. Gosavi"",""S. Gosavi""}"
770196,FIGO staging of gynecologic cancer. 1994-1997 FIGO Committee on Gynecologic Oncology. International Federation of Gynecology and Obstetrics,Int J Gynaecol Obstet,eng,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,1/1/99,0020-7292,64,10-May,1,"{""W. T. Creasman"",""S. Pecorelli"",""J. L. Benedet"",""J. H. Shepherd""}"
914468,Effect of neuromuscular electrical stimulation and isotonic exercises in flexor and extensor muscles of knee of hemiplegic patients,Revista de Neurologia,,Rev.Neurol.,1/8/01,0210-0010,46,135-138,3,"{""S. Regina-Ribeiro"",""C. Tortoza"",""R. P. S. Lima"",""S. T. T. de Freitas"",""P. R. Lucareli"",""M. O. Lima"",""M. T. Pacheco"",""J. Gomes-Lucareli"",""R. A. Lopes-Martins""}"
346326,Ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.,J Cardiovasc Med (Hagerstown),eng,"Journal of cardiovascular medicine (Hagerstown, Md.)",1/9/03,1558-2027,10,261-3,3,"{""Giovanni Teodori"",""Marta Leverone"",""Eraldo Occhetta"",""Miriam Bortnik"",""Paolo Marino"",""Marco Marcolongo""}"
612846,[Assessment of prognostic factors of thoracic synovial sarcoma].,Pathologie non allergique et exposition aux moisissures domestiques.,fre,,1/10/01,1776-2588,27,Jul-93,1,"{""B H Mbatchou Ngahane"",""G Devouassoux"",""H Baudrand"",""B Guibert"",""N Freymond"",""Y Pacheco"",""A Traverse-Glehen""}"
282053,Secondary school tobacco policy and prevention curricula in South Carolina,Nicotine Tob Res,eng,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,1/1/99,1462-2203,1,341-6,4,"{""M. W. Martin"",""R. Saunders"",""S. Levin""}"
870257,Intimate Partner Violence Survivors' Unmet Social Service Needs,Journal of Social Service Research,English,,1/11/01,1540-7314 0148-8376,37,481-489,5,"{""Melissa E. Dichter"",""Karin V. Rhodes""}"
417578,Partial fill strategies for oral oncolytics to reduce waste and drive persistency,Am J Manag Care,eng,The American journal of managed care,1/13/01,1088-0224,19,SP26-7,1,"{""A. A. Kaddis""}"
949067,The impact of advancing age on P-glycoprotein expression and activity: current knowledge and future directions,Expert Opin Drug Metab Toxicol,eng,Expert opinion on drug metabolism & toxicology,1/7/01,1742-5255,3,315-20,3,"{""A. A. Mangoni""}"
931323,Prevalence of allergic diseases in Poland - ECAP study,Allergy: European Journal of Allergy and Clinical Immunology,,,1/9/01,,64,326-327,0,"{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoliski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}"
752456,The changing patterns of systemic fluoride intake,J Dent Res,,Journal of dental research,1/1/92,0022-0345,71,1228-37,5,"{""B. A. Burt""}"
377284,Normal insulin sensitivity and IMCL content in overweight humans are associated with higher fasting lipid oxidation.,Am J Physiol Endocrinol Metab,eng,American journal of physiology. Endocrinology and metabolism,1/2/09,0193-1849,283,E556-64,3,"{""Paola Scifo"",""Alessandro Del Maschio"",""Livio Luzi"",""Elena Meneghini"",""Alberto Battezzati"",""Gianluca Perseghin"",""Massimo Danna"",""Stefano Benedini""}"
