621.zip,76908,76098
12602.lname,Stchwartzburd,Schwartzburd
3456.haschild,aN,N
12024.childexemp,,0
16022.areacode,443***,443
370.fname,eHrwig,Herwig
15278.salary,30000***,30000
6640.fname,Hawrtmann,Hartmann
15486.salary,55000***,55000
6871.salary,51000,15000
10001.maritalstatus,***,M
15135.marriedexemp,4000***,4000
10528.state,YN,NY
10721.state,TC,CT
5742.haschild,***,Y
18046.marriedexemp,,0
2424.state,AC,CA
13428.state,C,DC
6135.maritalstatus,sM,M
8458.salary,40000***,40000
13039.maritalstatus,***,M
5183.lname,Bzuato,Buzato
15628.maritalstatus,eM,M
7950.city,CAiYEY,CAYEY
14309.gender,***,F
11470.gender,lF,F
2276.maritalstatus,***,S
15450.gender,,M
9578.state,TC,CT
18837.state,O,CO
13822.city,BRIDGEWbATER,BRIDGEWATER
19559.marriedexemp,480z0,4800
13810.childexemp,,0
9065.rate,6.c0,6.0
9944.singleexemp,a0,0
12482.gender,rF,F
11209.areacode,20g8,208
19489.gender,,F
5453.city,CARmSON CITY,CARSON CITY
15939.state,NdY,NY
19134.salary,60000***,60000
11827.gender,,F
8121.salary,c15000,15000
19619.gender,***,F
14960.gender,***,F
8588.marriedexemp,7240,2740
6443.state,C,DC
19184.marriedexemp,3800***,3800
5726.phone,545-55b51,545-5551
7657.rate,4.01155,4.011585
13825.maritalstatus,mS,S
4093.city,BOWLING REEN,BOWLING GREEN
13285.rate,4.1564062,4.1564026
10222.rate,00.,0.0
859.marriedexemp,q0,0
9362.singleexemp,,0
19063.haschild,***,N
19203.childexemp,,0
10122.childexemp,p0,0
3798.marriedexemp,l0,0
13194.zip,551w21,55121
11063.childexemp,,0
15966.gender,***,F
123.zip,3292,23292
17904.childexemp,z0,0
15760.marriedexemp,220***,220
15350.singleexemp,***,0
11004.childexemp,***,0
12809.state,KO,OK
7635.haschild,,Y
4734.lname,Englihs,English
79.salary,85000***,85000
5650.singleexemp,100,1900
9434.phone,22-4183,322-4183
11614.gender,***,M
9379.childexemp,0,40
11334.state,T,CT
19074.city,ARLyINGTON,ARLINGTON
17655.childexemp,a0,0
18673.singleexemp,u0,0
17237.singleexemp,10g40,1040
16799.maritalstatus,cS,S
3616.zip,5399,55399
9249.state,CD,DC
11772.gender,,F
16364.phone,12-4322,812-4322
11155.zip,7203,67203
3182.haschild,,Y
7143.city,MOUT TREMPER,MOUNT TREMPER
10830.singleexemp,***,0
4485.haschild,aN,N
10174.singleexemp,,0
2723.state,DfC,DC
3916.childexemp,e0,0
15361.childexemp,***,0
14604.city,CAMBvRIDGEPORT,CAMBRIDGEPORT
13811.gender,,F
10116.fname,Laen,Lane
3092.lname,Mikosv,Mikov
15836.childexemp,,0
3616.singleexemp,a0,0
773.rate,6.751678,6.571678
12562.rate,70,7.0
9503.state,RA,AR
325.areacode,25,225
9116.city,TO MBEAN,TOM BEAN
7353.fname,Furminori,Fuminori
18865.rate,60.,6.0
14156.state,CD,DC
15090.singleexemp,100,1040
11072.fname,Shushuma,Shushma
16099.city,CAMP H M MSITH,CAMP H M SMITH
16153.phone,347-1957,347-9157
19598.marriedexemp,,0
10743.state,MgE,ME
14864.marriedexemp,***,0
19166.marriedexemp,740,2740
14511.marriedexemp,,0
1349.areacode,06,606
10170.singleexemp,***,0
11776.gender,***,F
14997.phone,268-e6399,268-6399
1779.lname,Sidmdall,Siddall
12358.phone,69-7753,699-7753
14923.gender,***,F
17734.singleexemp,,0
11289.marriedexemp,***,0
19138.zip,838k42,83842
11274.phone,q778-3479,778-3479
13516.singleexemp,h0,0
13301.fname,harles,Charles
4629.zip,37317,37137
8378.lname,Sspirkovska,Spirkovska
4813.marriedexemp,0,40
16736.haschild,***,N
6131.lname,Lahani,Lakhani
2737.city,CASCADE LOCSK,CASCADE LOCKS
13407.haschild,***,Y
15140.maritalstatus,***,M
18660.marriedexemp,000,3000
10383.gender,,F
6611.lname,DnuMouchel,DuMouchel
8327.state,yCO,CO
19128.haschild,***,Y
9782.singleexemp,,0
13991.salary,58000,85000
12571.state,DjE,DE
10019.city,ROGESR,ROGERS
14770.marriedexemp,2470,2740
6079.singleexemp,100e0,1000
8488.lname,Wawrick,Warwick
5124.fname,Dafa,Dafna
1079.fname,Lezane,Lezanne
9510.zip,61306,63106
12188.salary,5000***,5000
5195.state,CD,DC
19261.areacode,54o0,540
1323.haschild,***,Y
16972.maritalstatus,lM,M
16778.singleexemp,u0,0
13047.city,CAPULNI,CAPULIN
8903.singleexemp,3r300,3300
11483.state,O,CO
8575.maritalstatus,***,M
16066.rate,47.5,4.75
12512.city,CARSON wCITY,CARSON CITY
15964.marriedexemp,,0
18074.phone,3u31-5707,331-5707
1512.fname,Suitaka,Sumitaka
12594.salary,3l5000,35000
17343.marriedexemp,c0,0
18131.maritalstatus,,M
9939.fname,PeZong,PeiZong
4265.maritalstatus,,M
14315.state,NI,IN
4960.singleexemp,,0
10212.gender,yF,F
7903.singleexemp,300,3100
19065.marriedexemp,27i40,2740
6083.marriedexemp,***,0
15812.city,BLUE HILL***,BLUE HILL
12700.haschild,tY,Y
11138.singleexemp,,0
4503.salary,5500,55000
16432.marriedexemp,,0
12603.singleexemp,03,103
12624.singleexemp,a0,0
12772.fname,artial,Martial
15654.gender,,F
11782.childexemp,c0,0
6370.zip,74425,74452
7369.maritalstatus,,M
7264.state,C,DC
14787.rate,.0,7.0
14451.state,DqC,DC
5160.phone,90j6-3344,906-3344
10230.marriedexemp,z0,0
19456.rate,4.79n57172,4.7957172
17118.childexemp,***,0
18151.marriedexemp,s220,220
11937.marriedexemp,***,0
499.city,FRIDAY HARkBOR,FRIDAY HARBOR
19486.marriedexemp,300h0,3000
10449.gender,,F
1957.salary,350o00,35000
7666.childexemp,w159,159
8640.fname,vGradimir,Gradimir
19818.state,mWI,WI
7521.fname,Khdoi,Khodi
1207.city,WOOBRIDGE,WOODBRIDGE
4074.fname,Boung,Byoung
5113.gender,uF,F
16296.city,EIDSNO,EIDSON
18873.state,C,DC
8042.lname,Vehroosel,Verhoosel
8226.phone,779-8w615,779-8615
16743.state,C,DC
12538.gender,xF,F
12196.phone,a464-9338,464-9338
6604.state,TC,CT
4448.lname,horesen,Thoresen
12929.gender,***,F
7103.salary,0000,60000
17984.city,RATTLEBORO,BRATTLEBORO
5587.rate,x9.0,9.0
18039.gender,***,F
15256.marriedexemp,400a0,4000
10900.areacode,2z53,253
9528.salary,5000,45000
9135.singleexemp,10f3,103
9281.childexemp,***,0
6645.areacode,5b71,571
18025.marriedexemp,0,40
10067.city,AAWAM,AGAWAM
11869.salary,3f5000,35000
3549.fname,Rickri,Ricki
10440.gender,***,F
5854.state,mDC,DC
14616.areacode,45,405
18616.childexemp,227,272
19386.marriedexemp,4500***,4500
8854.city,YlOUNG AMERICA,YOUNG AMERICA
13166.state,T,CT
19808.salary,04000,40000
3119.childexemp,,0
10506.city,AROLINA,CAROLINA
16729.state,R,AR
17714.state,AC,CA
19969.singleexemp,,0
6834.phone,666-1856,666-1865
7928.state,AC,CA
11325.childexemp,i0,0
100.salary,20000***,20000
15597.rate,3.7,3.07
4284.maritalstatus,fM,M
5319.singleexemp,b0,0
9264.state,I,HI
19413.lname,Lezer,Leazer
11312.phone,496-q1702,496-1702
16810.childexemp,x0,0
4967.singleexemp,,0
17188.city,BRUNeSWICK,BRUNSWICK
12473.zip,45885,45858
17218.city,BURFORDVILLE***,BURFORDVILLE
4668.maritalstatus,oS,S
8306.maritalstatus,***,S
16120.singleexemp,k0,0
6589.state,Z,AZ
14626.singleexemp,1000***,1000
11181.singleexemp,5375,3575
11106.singleexemp,p0,0
4401.state,IR,RI
19332.haschild,lN,N
16165.city,BISMACK,BISMARCK
16522.fname,Pandranga,Panduranga
7253.city,BRANTD,BRANDT
14389.singleexemp,,0
18097.childexemp,a0,0
6234.state,uIN,IN
7904.state,AzR,AR
14630.phone,997-5083,997-5038
18668.singleexemp,***,0
15898.state,mID,ID
18531.state,OC,CO
17476.childexemp,,0
14980.gender,,M
7355.state,T,CT
14583.state,nDC,DC
19032.singleexemp,o0,0
5088.city,TEMEP,TEMPE
16772.singleexemp,,0
3.rate,7.v0,7.0
14821.marriedexemp,2a740,2740
5088.marriedexemp,e0,0
11215.childexemp,***,0
13980.childexemp,***,0
12797.state,DsC,DC
8296.childexemp,n0,0
15751.singleexemp,040,1040
10204.singleexemp,3030,3300
9830.fname,Sanjpu,Sanju
13373.areacode,07,907
10830.phone,29-25589,292-5589
1901.gender,***,F
15723.lname,Cuh,Chu
7016.phone,5367769,536-7769
1890.salary,40j000,40000
13804.childexemp,***,0
11826.city,CANOVNAAS,CANOVANAS
19464.phone,170-3411,107-3411
15635.phone,75-8407,753-8407
2996.marriedexemp,220***,220
11370.childexemp,***,0
18199.state,wAZ,AZ
7124.maritalstatus,***,S
15904.singleexemp,k0,0
10264.state,qDC,DC
1615.childexemp,,0
5146.fname,rRajnish,Rajnish
7531.phone,949-5471,949-5417
12696.lname,Berhe,Berghe
12932.areacode,702,720
7591.salary,25000***,25000
12887.city,wRUPERT,RUPERT
6320.areacode,64,864
6590.singleexemp,1004,1040
6067.rate,00.,0.0
12201.salary,1000,10000
17794.state,oCO,CO
19745.marriedexemp,l220,220
1528.rate,.0,9.0
11679.state,CxO,CO
13238.marriedexemp,t0,0
19323.singleexemp,,0
19420.rate,p6.45,6.45
3565.salary,5000,95000
18511.zip,98476,98467
254.state,DmC,DC
2414.marriedexemp,x0,0
16280.marriedexemp,***,0
9311.fname,yHuncheol,Hyuncheol
17345.singleexemp,***,0
13760.marriedexemp,***,0
13333.singleexemp,,0
7670.gender,pM,M
6969.city,LOUSVILLE,LOUISVILLE
9964.state,CD,DC
11211.haschild,***,Y
19416.city,BaURLEY,BURLEY
8641.fname,Leelanias,Leelanivas
18992.fname,Evenia,Evgenia
10448.salary,80500,85000
11752.city,EHAMA,MEHAMA
172.lname,sBelkhatir,Belkhatir
18869.rate,.0,0.0
9591.rate,6e.0,6.0
10386.lname,Iowayama,Iwayama
5448.state,iDC,DC
6327.state,C,DC
1814.maritalstatus,***,S
12839.state,eAZ,AZ
16741.maritalstatus,,S
10604.rate,70,7.0
1307.marriedexemp,***,0
17247.childexemp,d3300,3300
9193.lname,Buty,Buy
18522.haschild,***,N
2403.zip,9c34,934
894.state,DuC,DC
10474.gender,,F
15952.gender,,F
18214.childexemp,d0,0
2928.maritalstatus,eS,S
19197.haschild,uY,Y
17157.maritalstatus,***,M
10636.rate,3.0493v855,3.0493855
8631.phone,618-2546,618-2564
1491.state,AC,CA
8651.childexemp,***,0
14147.city,HNCOCK,HANCOCK
3511.maritalstatus,***,M
13607.maritalstatus,***,S
5048.singleexemp,r1000,1000
639.gender,hM,M
18489.gender,,F
14141.singleexemp,i0,0
13883.marriedexemp,,0
13746.city,CARWRIGHT,CARTWRIGHT
355.rate,4.6111x11,4.611111
12042.zip,2960g8,29608
5396.gender,***,F
1538.zip,46815,46851
19361.childexemp,***,0
15751.state,HuI,HI
7182.haschild,,Y
11322.state,OC,CO
6516.haschild,***,Y
16136.maritalstatus,,M
11318.childexemp,,0
1092.salary,02000,20000
7862.gender,,F
12145.city,BOIWE,BOWIE
3608.zip,70148,70184
10464.marriedexemp,600,6600
12384.state,ZA,AZ
3229.marriedexemp,t0,0
9619.gender,,F
17264.state,kGA,GA
18037.city,PAAUgILO,PAAUILO
16438.zip,6763d9,67639
7328.salary,45000***,45000
1762.singleexemp,2u475,2475
2554.childexemp,***,0
15806.lname,Htaftevani,Haftevani
10615.state,C,DC
8894.childexemp,d0,0
1547.marriedexemp,6600***,6600
1565.phone,53-9059,953-9059
10013.city,BURT ALKE,BURT LAKE
18773.city,CAROINA,CAROLINA
8565.areacode,930,903
10815.rate,9.y0,9.0
18588.childexemp,,0
18449.gender,***,F
11192.state,ZA,AZ
17392.gender,fF,F
6205.city,BURILNGTON,BURLINGTON
4053.lname,Ruea,Rueda
14772.gender,mM,M
10261.childexemp,***,0
10358.salary,1000l00,100000
7710.singleexemp,,0
12135.lname,Miilberg,Milberg
19642.gender,***,F
17345.gender,jF,F
8173.gender,fF,F
4621.maritalstatus,cS,S
12425.gender,***,F
6842.childexemp,d0,0
16397.fname,un,Qun
3791.state,TuN,TN
7338.phone,948-5924,498-5924
9375.marriedexemp,22f0,220
19472.singleexemp,a1000,1000
15828.fname,Manard,Maynard
11289.fname,ahin,Sahin
11837.marriedexemp,740,2740
14398.zip,47805,47850
16023.city,BIRMINGzHAM,BIRMINGHAM
14696.marriedexemp,4200***,4200
8539.marriedexemp,h6600,6600
6678.phone,77-32315,773-2315
4097.maritalstatus,***,M
11766.rate,.75,5.75
3999.fname,Yoshiot,Yoshito
17636.salary,52000,25000
11514.areacode,271,217
6741.fname,event,Levent
437.singleexemp,a0,0
19277.salary,6x5000,65000
249.state,Y,WY
7293.rate,f6.0,6.0
16484.state,C,DC
7964.lname,Belalirs,Bellairs
2472.singleexemp,f0,0
10243.childexemp,***,0
13823.gender,eM,M
18903.phone,2886-666,288-6666
4197.state,O,CO
1847.gender,***,M
11099.gender,,M
9232.phone,688-197,688-1897
5501.fname,hubhendu,Shubhendu
2378.zip,0212,20212
18782.haschild,***,N
10637.childexemp,s0,0
396.state,wAL,AL
16001.state,C,DC
3962.marriedexemp,200f0,2000
4119.childexemp,30x00,3000
12919.haschild,fN,N
10570.singleexemp,100,1000
3587.singleexemp,***,0
5323.salary,55000***,55000
13424.salary,20500,25000
2161.state,C,DC
1752.state,CD,DC
13300.city,WESTOSSIPEE,WEST OSSIPEE
16416.phone,43-17848,431-7848
7034.childexemp,2580,2850
8942.city,BLANE,BLAINE
19194.haschild,,N
18525.maritalstatus,,S
17280.rate,53.,5.3
28.salary,7500r0,75000
15278.rate,6.f0,6.0
17287.singleexemp,500,1500
12195.phone,848-2094,488-2094
10163.gender,***,M
18982.city,CARsOLINA,CAROLINA
3292.marriedexemp,,0
19379.singleexemp,000,1000
14555.state,A,CA
8066.gender,wM,M
19465.city,BATTLE tMOUNTAIN,BATTLE MOUNTAIN
19376.maritalstatus,dM,M
3724.gender,,M
898.state,EM,ME
12715.areacode,39,939
16684.state,DcC,DC
11367.maritalstatus,***,S
11923.areacode,52,502
2096.state,CD,DC
5526.zip,9098,39098
18943.city,CAzRLSBORG,CARLSBORG
11881.haschild,***,Y
7893.state,C,DC
10086.state,NvD,ND
3961.childexemp,,0
19876.state,D,ID
4197.phone,914-1049,941-1049
14398.childexemp,,0
13180.fname,Holle,Hollie
11315.fname,Ronxaldo,Ronaldo
19029.salary,4000l0,40000
15323.state,xDC,DC
8732.city,BTTE DES MORTS,BUTTE DES MORTS
7747.state,RA,AR
12707.gender,,M
2441.singleexemp,k0,0
11611.gender,***,M
9837.city,ROGAN,BROGAN
19869.childexemp,n0,0
13590.gender,vM,M
5538.gender,hF,F
7811.city,CIHLDS,CHILDS
1530.marriedexemp,s4000,4000
16514.maritalstatus,hM,M
14527.gender,bF,F
659.areacode,01,701
16459.state,T,CT
19603.maritalstatus,***,M
16445.maritalstatus,***,S
13222.maritalstatus,***,M
9598.marriedexemp,381,318
14472.singleexemp,u0,0
2485.city,HAMMOND***,HAMMOND
14222.salary,9500,95000
6617.childexemp,,0
13909.gender,***,F
19321.haschild,fY,Y
9623.areacode,07,907
12915.gender,***,F
6251.city,RIGHTON,BRIGHTON
17026.state,CD,DC
7902.gender,***,F
5815.marriedexemp,,0
14751.marriedexemp,24050,24500
15102.haschild,***,N
17084.marriedexemp,22b0,220
10555.maritalstatus,,S
13827.rate,6.48,6.84
7973.state,C,DC
1159.lname,effroy,Geffroy
12326.state,O,CO
3774.city,lFARMINGTON,FARMINGTON
7943.zip,30157,30175
8735.singleexemp,300,3300
10591.gender,gM,M
16079.phone,263-807,263-2807
2426.city,BLISS***,BLISS
17841.maritalstatus,mS,S
19804.state,O,CO
10371.maritalstatus,***,S
11327.city,OAKWODO,OAKWOOD
13300.singleexemp,***,0
3611.phone,393-7105,393-1705
11768.fname,sser,Asser
9873.singleexemp,g0,0
10277.gender,xF,F
16530.marriedexemp,***,0
2502.fname,rYoshito,Yoshito
18577.singleexemp,1400,1040
12570.maritalstatus,***,M
12838.gender,,F
9198.childexemp,,0
4202.marriedexemp,,0
4237.marriedexemp,,0
10971.lname,Keslfer,Kesler
15775.phone,584-215l6,584-2156
9716.marriedexemp,18,318
7742.marriedexemp,,0
6712.marriedexemp,220***,220
3067.singleexemp,***,0
10288.marriedexemp,24500***,24500
1766.zip,4435,44735
2293.rate,6.2m5,6.25
8293.marriedexemp,,0
16169.state,O,CO
1980.zip,30370,30307
12764.phone,9m33-2496,933-2496
16666.lname,Furlanelo,Furlanello
16892.state,C,DC
6822.lname,Ercolasno,Ercolano
11180.state,C,DC
4528.city,UCSON,TUCSON
17020.phone,35-6145,357-6145
19739.childexemp,l0,0
1236.phone,325-31t94,325-3194
11953.marriedexemp,b0,0
10972.childexemp,,0
16865.marriedexemp,0400,4000
17034.state,I,MI
11943.marriedexemp,2c20,220
14810.areacode,340,304
9531.salary,20000***,20000
18189.state,oPA,PA
6089.singleexemp,***,0
18019.areacode,70,270
4393.singleexemp,***,0
10293.fname,Snehamayy,Snehamay
10643.lname,zBeshers,Beshers
17283.gender,fF,F
4657.areacode,4q01,401
11631.gender,uF,F
8108.singleexemp,,0
8565.marriedexemp,x0,0
18953.haschild,,N
3387.marriedexemp,x3000,3000
19792.marriedexemp,1200a0,12000
12227.gender,***,F
9301.city,OMHA,OMAHA
14201.lname,ando,Rando
19075.childexemp,,0
7104.city,LEXINGTN,LEXINGTON
13581.state,C,SC
1613.haschild,cN,N
7014.phone,6238201,623-8201
3861.maritalstatus,xM,M
15979.state,L,FL
10024.marriedexemp,38,318
11848.childexemp,330c0,3300
4724.zip,5825,58255
8834.gender,uF,F
18587.marriedexemp,300,3800
15690.lname,rDollery,Dollery
2404.city,EVANSVILLE***,EVANSVILLE
13879.fname,Dubccio,Duccio
12011.areacode,07,307
7491.zip,8136,88136
14269.childexemp,x0,0
7636.marriedexemp,202,220
3585.phone,80-9856,380-9856
12123.haschild,***,N
16370.childexemp,***,0
12556.haschild,***,Y
16397.state,A,GA
3661.childexemp,,0
3555.marriedexemp,,0
12208.singleexemp,,0
2407.childexemp,000,1000
4513.singleexemp,j103,103
5891.lname,Heriy,Herity
9315.lname,Siygal,Sigal
17290.areacode,027,207
6958.marriedexemp,25400,24500
4363.state,C,DC
6719.maritalstatus,,S
15857.rate,41.09693,4.109693
15659.rate,.0,0.0
16932.gender,iF,F
6542.childexemp,,0
12421.areacode,40,410
19850.gender,***,F
14446.marriedexemp,04,40
1505.fname,Choogn,Choong
7675.childexemp,***,0
19256.rate,60,6.0
8913.state,rOK,OK
2152.gender,,M
3711.marriedexemp,4590,4950
9808.maritalstatus,,S
2848.areacode,450,405
6141.marriedexemp,6600***,6600
4002.marriedexemp,450m0,4500
15888.singleexemp,13,103
11601.city,BORNX,BRONX
3203.singleexemp,27n00,2700
3448.areacode,806,860
15634.rate,.70,7.0
3047.state,DoC,DC
8272.childexemp,0,20
7038.singleexemp,y0,0
4658.childexemp,02,20
14281.marriedexemp,***,0
7660.fname,Asek,Aske
6385.state,C,DC
6984.marriedexemp,o0,0
15736.lname,Mitteelstras,Mittelstras
2034.fname,Mchee,Michee
11843.maritalstatus,wM,M
18354.marriedexemp,42p00,4200
9175.singleexemp,0140,1040
11790.singleexemp,300,3300
6587.fname,Daswon,Dawson
13217.lname,uAlves,Alves
6589.marriedexemp,4200***,4200
5873.state,A,CA
11167.singleexemp,140,1040
7678.maritalstatus,***,M
15745.childexemp,,0
15403.marriedexemp,04,40
19897.state,R,AR
2062.state,C,DC
15721.state,T,CT
18542.rate,.5,8.5
13368.haschild,wY,Y
13067.marriedexemp,***,0
16768.phone,15-7620,151-7620
14759.state,X,TX
15465.salary,20j000,20000
19121.marriedexemp,420v0,4200
4676.singleexemp,19z00,1900
3917.state,C,DC
2757.singleexemp,3100,1300
13145.haschild,,N
11068.state,CD,DC
16448.state,A,CA
1893.rate,2.881883,2.8818183
5939.state,C,DC
6690.areacode,y360,360
5739.rate,0o.0,0.0
18603.rate,2.573718,2.537718
17550.lname,ittal,Mittal
15958.city,VIRGIINA CITY,VIRGINIA CITY
13646.phone,509-616,509-6146
16665.phone,157-4873,517-4873
15897.childexemp,100k0,1000
8076.gender,,F
9214.state,RA,AR
13511.areacode,5u08,508
3083.gender,***,F
16389.city,CAEMRON,CAMERON
5747.childexemp,***,0
8997.haschild,,N
17751.gender,,M
16289.haschild,,N
15754.singleexemp,10s3,103
8201.gender,***,F
4605.gender,bF,F
9820.state,H,NH
19340.childexemp,,0
17221.singleexemp,s1000,1000
7550.gender,,F
7082.areacode,508,580
16218.marriedexemp,240,2740
16147.childexemp,c0,0
15919.childexemp,3000***,3000
5030.childexemp,,0
3386.lname,Fortue,Fortune
996.singleexemp,***,0
2063.childexemp,200,2000
14248.city,WASIHNGTON,WASHINGTON
6065.areacode,293,239
11616.marriedexemp,20,220
3618.areacode,30d4,304
2379.zip,4115,74115
15293.city,CETNERVIEW,CENTERVIEW
6488.lname,Frys,Forys
15322.gender,fF,F
12363.rate,4p.243293,4.243293
12522.singleexemp,,0
6674.gender,,F
15602.state,C,DC
15916.state,CgO,CO
18136.marriedexemp,4000***,4000
7753.marriedexemp,3800***,3800
4051.haschild,nN,N
18302.childexemp,090,900
11677.marriedexemp,245j00,24500
13628.marriedexemp,,0
8933.zip,750,7750
4187.state,lSD,SD
14514.city,BRADcSHAW,BRADSHAW
15712.singleexemp,***,0
5886.state,CD,DC
4357.fname,Cuaie,Cuie
14530.gender,,F
19425.fname,Ayponca,Ayonca
18780.state,yDC,DC
6530.zip,20718,27018
9719.state,C,DC
18272.phone,14-7747,140-7747
420.city,ORLANDkO,ORLANDO
7387.gender,***,M
2207.haschild,,N
3551.gender,zF,F
8586.salary,300i00,30000
7725.city,LOTTSURG,LOTTSBURG
18988.phone,823-614,823-6144
7593.zip,1655,16515
19406.fname,qHongwen,Hongwen
10358.lname,rescenzi,Crescenzi
11789.state,CtT,CT
9831.maritalstatus,tM,M
16216.state,CfT,CT
13582.lname,aulk,Caulk
18109.childexemp,300,3300
18982.fname,Tkinori,Tokinori
16347.state,YK,KY
15434.lname,Wohhlleber,Wohlleber
18764.childexemp,p0,0
11605.gender,jF,F
19653.lname,Clarskon,Clarkson
18808.childexemp,,0
12623.gender,***,F
7449.salary,o5000,5000
4924.gender,,M
14956.phone,965-784,965-7684
9157.state,TC,CT
16824.childexemp,***,0
14757.salary,2500,25000
16191.haschild,,N
19298.singleexemp,w0,0
6515.state,RxI,RI
11399.rate,.6626635,5.6626635
889.fname,lEvira,Elvira
14114.marriedexemp,a40,40
6164.haschild,,Y
14997.marriedexemp,4020,4200
10576.marriedexemp,7d150,7150
16315.city,CHARLTOTE,CHARLOTTE
10306.state,qDC,DC
1935.gender,uM,M
11523.childexemp,,0
7675.singleexemp,,0
11357.state,CD,DC
9297.state,CD,DC
14036.phone,130-r8137,130-8137
5683.state,O,CO
13684.state,N,MN
15537.childexemp,***,0
15783.phone,330-7838***,330-7838
15262.salary,60000***,60000
11513.city,WILMINTGON,WILMINGTON
9138.city,CMAPTON,CAMPTON
9127.haschild,xN,N
858.state,XT,TX
18016.state,TC,CT
7722.city,QUY,QUAY
16466.maritalstatus,aS,S
8094.state,OC,CO
15081.state,X,TX
13636.childexemp,,0
11652.singleexemp,10s00,1000
15794.singleexemp,u0,0
264.gender,***,M
13435.city,TEHACHjAPI,TEHACHAPI
19881.state,E,ME
5425.lname,aSpecker,Specker
3952.gender,dF,F
14500.state,C,DC
10621.state,CD,DC
17483.marriedexemp,3000***,3000
16729.fname,Kmal,Kamal
2747.childexemp,o0,0
3101.maritalstatus,,M
19570.state,C,DC
16386.state,kND,ND
2660.lname,Jgaannathan,Jagannathan
1358.city,AMtERICAN FALLS,AMERICAN FALLS
17660.fname,Cristiyan,Cristian
16401.gender,jF,F
6284.singleexemp,00,700
5344.state,TC,CT
17884.maritalstatus,***,S
7690.singleexemp,***,0
5770.phone,340-9181,304-9181
9242.state,N,TN
4847.fname,Szaeko,Saeko
16509.gender,***,F
17117.childexemp,***,0
1485.childexemp,0200,2000
12480.state,SiC,SC
4928.lname,Furhman,Fuhrman
15154.childexemp,v0,0
14462.gender,,F
12681.gender,,F
2862.state,C,DC
14697.city,OKLAHOMAC ITY,OKLAHOMA CITY
17410.salary,0000,70000
2527.areacode,60s2,602
19285.zip,50302,50032
16023.fname,orioka,Morioka
6919.state,MtE,ME
16392.gender,,F
19077.rate,6.i0,6.0
10665.city,ClAGUAS,CAGUAS
7149.phone,114-9630,114-9360
8285.singleexemp,100,1000
1448.maritalstatus,***,M
19057.areacode,31,931
7398.rate,0d.0,0.0
