tid,attribute,correct_val
11,stadium,Constant_Vanden_Stock_Stadium
11,season,2011
11,manager,Veit_Luks
12,index,2459
12,name,Abdalla_Susannne
12,surname,Hoare
12,birthyear,1982
12,birthplace,Gulfport
12,position,Defender
12,team,SV_Werder_Bremen
12,city,Barcelona
12,stadium,Boleyn_Ground
12,season,2014
12,manager,Sigenobu_Bodagala
13,index,2535
13,name,Abdalla_Susannne
13,surname,Hoare
13,birthyear,1982
13,birthplace,Gulfport
13,position,Midfield
13,team,Valencia_CF
13,city,Montevideo
13,stadium,Constant_Vanden_Stock_Stadium
13,season,2011
13,manager,Veit_Luks
14,index,2646
14,name,Abdalla_Susannne
14,surname,Hoare
14,birthyear,1982
14,birthplace,Gulfport
14,position,Midfield
14,team,Valencia_CF
14,city,Montevideo
14,stadium,Constant_Vanden_Stock_Stadium
14,season,2011
14,manager,Veit_Luks
15,index,3167
15,name,Abdalla_Susannne
15,surname,Hoare
15,birthyear,1982
15,birthplace,Gulfport
15,position,Midfield
15,team,Valencia_CF
15,city,Montevideo
15,stadium,Constant_Vanden_Stock_Stadium
15,season,2011
15,manager,Veit_Luks
16,index,3268
16,name,Abdalla_Susannne
16,surname,Hoare
16,birthyear,1982
16,birthplace,Gulfport
16,position,Defender
16,team,SV_Werder_Bremen
16,city,Barcelona
16,stadium,Boleyn_Ground
16,season,2014
16,manager,Sigenobu_Bodagala
17,index,3737
17,name,Abdalla_Susannne
17,surname,Hoare
17,birthyear,1982
17,birthplace,Gulfport
17,position,Defender
17,team,SV_Werder_Bremen
17,city,Barcelona
17,stadium,Boleyn_Ground
17,season,2014
17,manager,Sigenobu_Bodagala
18,index,3968
18,name,Abdalla_Susannne
18,surname,Hoare
18,birthyear,1982
18,birthplace,Gulfport
18,position,Midfield
18,team,Valencia_CF
18,city,Montevideo
18,stadium,Constant_Vanden_Stock_Stadium
18,season,2011
18,manager,Veit_Luks
19,index,4044
19,name,Abdalla_Susannne
19,surname,Hoare
19,birthyear,1982
19,birthplace,Gulfport
19,position,Defender
19,team,SV_Werder_Bremen
19,city,Barcelona
19,stadium,Boleyn_Ground
19,season,2014
19,manager,Sigenobu_Bodagala
20,index,4211
20,name,Abdalla_Susannne
20,surname,Hoare
20,birthyear,1982
20,birthplace,Gulfport
20,position,Defender
20,team,SV_Werder_Bremen
20,city,Barcelona
20,stadium,Boleyn_Ground
20,season,2014
20,manager,Sigenobu_Bodagala
21,index,4359
21,name,Abdalla_Susannne
21,surname,Hoare
21,birthyear,1982
21,birthplace,Gulfport
21,position,Midfield
21,team,Valencia_CF
21,city,Montevideo
21,stadium,Constant_Vanden_Stock_Stadium
21,season,2011
21,manager,Veit_Luks
22,index,4432
22,name,Abdalla_Susannne
22,surname,Hoare
22,birthyear,1982
22,birthplace,Gulfport
22,position,Defender
22,team,SV_Werder_Bremen
22,city,Barcelona
22,stadium,Boleyn_Ground
22,season,2014
22,manager,Sigenobu_Bodagala
23,index,4577
23,name,Abdalla_Susannne
23,surname,Hoare
23,birthyear,1982
23,birthplace,Gulfport
23,position,Defender
23,team,SV_Werder_Bremen
23,city,Barcelona
23,stadium,Boleyn_Ground
23,season,2014
23,manager,Sigenobu_Bodagala
24,index,4590
24,name,Abdalla_Susannne
24,surname,Hoare
24,birthyear,1982
24,birthplace,Gulfport
24,position,Midfield
24,team,Valencia_CF
24,city,Montevideo
24,stadium,Constant_Vanden_Stock_Stadium
24,season,2011
24,manager,Veit_Luks
25,index,4802
25,name,Abdalla_Susannne
25,surname,Hoare
25,birthyear,1982
25,birthplace,Gulfport
25,position,Defender
25,team,SV_Werder_Bremen
25,city,Barcelona
25,stadium,Boleyn_Ground
25,season,2014
25,manager,Sigenobu_Bodagala
26,index,4981
26,name,Abdalla_Susannne
26,surname,Hoare
26,birthyear,1982
26,birthplace,Gulfport
26,position,Midfield
26,team,Valencia_CF
26,city,Montevideo
26,stadium,Constant_Vanden_Stock_Stadium
26,season,2011
26,manager,Veit_Luks
27,index,5188
27,name,Abdalla_Susannne
27,surname,Hoare
27,birthyear,1982
27,birthplace,Gulfport
27,position,Midfield
27,team,Valencia_CF
27,city,Montevideo
27,stadium,Constant_Vanden_Stock_Stadium
27,season,2011
27,manager,Veit_Luks
28,index,5196
28,name,Abdalla_Susannne
28,surname,Hoare
28,birthyear,1982
28,birthplace,Gulfport
28,position,Defender
28,team,SV_Werder_Bremen
28,city,Barcelona
28,stadium,Boleyn_Ground
28,season,2014
28,manager,Sigenobu_Bodagala
29,index,5384
29,name,Abdalla_Susannne
29,surname,Hoare
29,birthyear,1982
29,birthplace,Gulfport
29,position,Defender
29,team,SV_Werder_Bremen
29,city,Barcelona
29,stadium,Boleyn_Ground
29,season,2014
29,manager,Sigenobu_Bodagala
30,index,5527
30,name,Abdalla_Susannne
30,surname,Hoare
30,birthyear,1982
30,birthplace,Gulfport
30,position,Midfield
30,team,Valencia_CF
30,city,Montevideo
30,stadium,Constant_Vanden_Stock_Stadium
30,season,2011
30,manager,Veit_Luks
31,index,5620
31,name,Abdalla_Susannne
31,surname,Hoare
31,birthyear,1982
31,birthplace,Gulfport
31,position,Midfield
31,team,Valencia_CF
31,city,Montevideo
31,stadium,Constant_Vanden_Stock_Stadium
31,season,2011
31,manager,Veit_Luks
32,index,5634
32,name,Abdalla_Susannne
32,surname,Hoare
32,birthyear,1982
32,birthplace,Gulfport
32,position,Defender
32,team,SV_Werder_Bremen
32,city,Barcelona
32,stadium,Boleyn_Ground
32,season,2014
32,manager,Sigenobu_Bodagala
33,index,5715
33,name,Abdalla_Susannne
33,surname,Hoare
33,birthyear,1982
33,birthplace,Gulfport
33,position,Defender
33,team,SV_Werder_Bremen
33,city,Barcelona
33,stadium,Boleyn_Ground
33,season,2014
33,manager,Sigenobu_Bodagala
34,index,6074
34,name,Abdalla_Susannne
34,surname,Hoare
34,birthyear,1982
34,birthplace,Gulfport
34,position,Defender
34,team,SV_Werder_Bremen
34,city,Barcelona
34,stadium,Boleyn_Ground
34,season,2014
34,manager,Sigenobu_Bodagala
35,index,6222
35,name,Abdalla_Susannne
35,surname,Hoare
35,birthyear,1982
35,birthplace,Gulfport
35,position,Midfield
35,team,Valencia_CF
35,city,Montevideo
35,stadium,Constant_Vanden_Stock_Stadium
35,season,2011
35,manager,Veit_Luks
36,index,6651
36,name,Abdalla_Susannne
36,surname,Hoare
36,birthyear,1982
36,birthplace,Gulfport
36,position,Defender
36,team,SV_Werder_Bremen
36,city,Barcelona
36,stadium,Boleyn_Ground
36,season,2014
36,manager,Sigenobu_Bodagala
37,index,6660
37,name,Abdalla_Susannne
37,surname,Hoare
37,birthyear,1982
37,birthplace,Gulfport
37,position,Midfield
37,team,Valencia_CF
37,city,Montevideo
37,stadium,Constant_Vanden_Stock_Stadium
37,season,2011
37,manager,Veit_Luks
38,index,6681
38,name,Abdalla_Susannne
38,surname,Hoare
38,birthyear,1982
38,birthplace,Gulfport
38,position,Midfield
38,team,Valencia_CF
38,city,Montevideo
38,stadium,Constant_Vanden_Stock_Stadium
38,season,2011
38,manager,Veit_Luks
39,index,6706
39,name,Abdalla_Susannne
39,surname,Hoare
39,birthyear,1982
39,birthplace,Gulfport
39,position,Defender
39,team,SV_Werder_Bremen
39,city,Barcelona
39,stadium,Boleyn_Ground
39,season,2014
39,manager,Sigenobu_Bodagala
40,index,6913
40,name,Abdalla_Susannne
40,surname,Hoare
40,birthyear,1982
40,birthplace,Gulfport
40,position,Defender
40,team,SV_Werder_Bremen
40,city,Barcelona
40,stadium,Boleyn_Ground
40,season,2014
40,manager,Sigenobu_Bodagala
41,index,7168
41,name,Abdalla_Susannne
41,surname,Hoare
41,birthyear,1982
41,birthplace,Gulfport
41,position,Midfield
41,team,Valencia_CF
41,city,Montevideo
41,stadium,Constant_Vanden_Stock_Stadium
41,season,2011
41,manager,Veit_Luks
42,index,7429
42,name,Abdalla_Susannne
42,surname,Hoare
42,birthyear,1982
42,birthplace,Gulfport
42,position,Defender
42,team,SV_Werder_Bremen
42,city,Barcelona
42,stadium,Boleyn_Ground
42,season,2014
42,manager,Sigenobu_Bodagala
43,index,7932
43,name,Abdalla_Susannne
43,surname,Hoare
43,birthyear,1982
43,birthplace,Gulfport
43,position,Defender
43,team,SV_Werder_Bremen
43,city,Barcelona
43,stadium,Boleyn_Ground
43,season,2014
43,manager,Sigenobu_Bodagala
44,index,7951
44,name,Abdalla_Susannne
44,surname,Hoare
44,birthyear,1982
44,birthplace,Gulfport
44,position,Midfield
44,team,Valencia_CF
44,city,Montevideo
44,stadium,Constant_Vanden_Stock_Stadium
44,season,2011
44,manager,Veit_Luks
45,index,8129
45,name,Abdalla_Susannne
45,surname,Hoare
45,birthyear,1982
45,birthplace,Gulfport
45,position,Midfield
45,team,Valencia_CF
45,city,Montevideo
45,stadium,Constant_Vanden_Stock_Stadium
45,season,2011
45,manager,Veit_Luks
46,index,8489
46,name,Abdalla_Susannne
46,surname,Hoare
46,birthyear,1982
46,birthplace,Gulfport
46,position,Defender
46,team,SV_Werder_Bremen
46,city,Barcelona
46,stadium,Boleyn_Ground
46,season,2014
46,manager,Sigenobu_Bodagala
47,index,8595
47,name,Abdalla_Susannne
47,surname,Hoare
47,birthyear,1982
47,birthplace,Gulfport
47,position,Midfield
47,team,Valencia_CF
47,city,Montevideo
47,stadium,Constant_Vanden_Stock_Stadium
47,season,2011
47,manager,Veit_Luks
48,index,8654
48,name,Abdalla_Susannne
48,surname,Hoare
48,birthyear,1982
48,birthplace,Gulfport
48,position,Defender
48,team,SV_Werder_Bremen
48,city,Barcelona
48,stadium,Boleyn_Ground
48,season,2014
48,manager,Sigenobu_Bodagala
49,index,8851
49,name,Abdalla_Susannne
49,surname,Hoare
49,birthyear,1982
49,birthplace,Gulfport
49,position,Midfield
49,team,Valencia_CF
49,city,Montevideo
49,stadium,Constant_Vanden_Stock_Stadium
49,season,2011
49,manager,Veit_Luks
50,index,8925
50,name,Abdalla_Susannne
50,surname,Hoare
50,birthyear,1982
50,birthplace,Gulfport
50,position,Midfield
50,team,Valencia_CF
50,city,Montevideo
50,stadium,Constant_Vanden_Stock_Stadium
50,season,2011
50,manager,Veit_Luks
51,index,8988
51,name,Abdalla_Susannne
51,surname,Hoare
51,birthyear,1982
51,birthplace,Gulfport
51,position,Defender
51,team,SV_Werder_Bremen
51,city,Barcelona
51,stadium,Boleyn_Ground
51,season,2014
51,manager,Sigenobu_Bodagala
52,index,9413
52,name,Abdalla_Susannne
52,surname,Hoare
52,birthyear,1982
52,birthplace,Gulfport
52,position,Defender
52,team,SV_Werder_Bremen
52,city,Barcelona
52,stadium,Boleyn_Ground
52,season,2014
52,manager,Sigenobu_Bodagala
53,index,9624
53,name,Abdalla_Susannne
53,surname,Hoare
53,birthyear,1982
53,birthplace,Gulfport
53,position,Defender
53,team,SV_Werder_Bremen
53,city,Barcelona
53,stadium,Boleyn_Ground
53,season,2014
53,manager,Sigenobu_Bodagala
54,index,9730
54,name,Abdalla_Susannne
54,surname,Hoare
54,birthyear,1982
54,birthplace,Gulfport
54,position,Midfield
54,team,Valencia_CF
54,city,Montevideo
54,stadium,Constant_Vanden_Stock_Stadium
54,season,2011
54,manager,Veit_Luks
55,index,9893
55,name,Abdalla_Susannne
55,surname,Hoare
55,birthyear,1982
55,birthplace,Gulfport
55,position,Midfield
55,team,Valencia_CF
55,city,Montevideo
55,stadium,Constant_Vanden_Stock_Stadium
55,season,2011
55,manager,Veit_Luks
56,index,10090
56,name,Abdalla_Susannne
56,surname,Hoare
56,birthyear,1982
56,birthplace,Gulfport
56,position,Defender
56,team,SV_Werder_Bremen
56,city,Barcelona
56,stadium,Boleyn_Ground
56,season,2014
56,manager,Sigenobu_Bodagala
57,index,10365
57,name,Abdalla_Susannne
57,surname,Hoare
57,birthyear,1982
57,birthplace,Gulfport
57,position,Midfield
57,team,Valencia_CF
57,city,Montevideo
57,stadium,Constant_Vanden_Stock_Stadium
57,season,2011
57,manager,Veit_Luks
58,index,10620
58,name,Abdalla_Susannne
58,surname,Hoare
58,birthyear,1982
58,birthplace,Gulfport
58,position,Defender
58,team,SV_Werder_Bremen
58,city,Barcelona
58,stadium,Boleyn_Ground
58,season,2014
58,manager,Sigenobu_Bodagala
59,index,10678
59,name,Abdalla_Susannne
59,surname,Hoare
59,birthyear,1982
59,birthplace,Gulfport
59,position,Defender
59,team,SV_Werder_Bremen
59,city,Barcelona
59,stadium,Boleyn_Ground
59,season,2014
59,manager,Sigenobu_Bodagala
60,index,10792
60,name,Abdalla_Susannne
60,surname,Hoare
60,birthyear,1982
60,birthplace,Gulfport
60,position,Midfield
60,team,Valencia_CF
60,city,Montevideo
60,stadium,Constant_Vanden_Stock_Stadium
60,season,2011
60,manager,Veit_Luks
61,index,10911
61,name,Abdalla_Susannne
61,surname,Hoare
61,birthyear,1982
61,birthplace,Gulfport
61,position,Midfield
61,team,Valencia_CF
61,city,Montevideo
61,stadium,Constant_Vanden_Stock_Stadium
61,season,2011
61,manager,Veit_Luks
62,index,11105
62,name,Abdalla_Susannne
62,surname,Hoare
62,birthyear,1982
62,birthplace,Gulfport
62,position,Midfield
62,team,Valencia_CF
62,city,Montevideo
62,stadium,Constant_Vanden_Stock_Stadium
62,season,2011
62,manager,Veit_Luks
63,index,11130
63,name,Abdalla_Susannne
63,surname,Hoare
63,birthyear,1982
63,birthplace,Gulfport
63,position,Midfield
63,team,Valencia_CF
63,city,Montevideo
63,stadium,Constant_Vanden_Stock_Stadium
63,season,2011
63,manager,Veit_Luks
64,index,11376
64,name,Abdalla_Susannne
64,surname,Hoare
64,birthyear,1982
64,birthplace,Gulfport
64,position,Midfield
64,team,Valencia_CF
64,city,Montevideo
64,stadium,Constant_Vanden_Stock_Stadium
64,season,2011
64,manager,Veit_Luks
65,index,12121
65,name,Abdalla_Susannne
65,surname,Hoare
65,birthyear,1982
65,birthplace,Gulfport
65,position,Defender
65,team,SV_Werder_Bremen
65,city,Barcelona
65,stadium,Boleyn_Ground
65,season,2014
65,manager,Sigenobu_Bodagala
66,index,12399
66,name,Abdalla_Susannne
66,surname,Hoare
66,birthyear,1982
66,birthplace,Gulfport
66,position,Midfield
66,team,Valencia_CF
66,city,Montevideo
66,stadium,Constant_Vanden_Stock_Stadium
66,season,2011
66,manager,Veit_Luks
67,index,12688
67,name,Abdalla_Susannne
67,surname,Hoare
67,birthyear,1982
67,birthplace,Gulfport
67,position,Midfield
67,team,Valencia_CF
67,city,Montevideo
67,stadium,Constant_Vanden_Stock_Stadium
67,season,2011
67,manager,Veit_Luks
68,index,12930
68,name,Abdalla_Susannne
68,surname,Hoare
68,birthyear,1982
68,birthplace,Gulfport
68,position,Defender
68,team,SV_Werder_Bremen
68,city,Barcelona
68,stadium,Boleyn_Ground
68,season,2014
68,manager,Sigenobu_Bodagala
69,index,13098
69,name,Abdalla_Susannne
69,surname,Hoare
69,birthyear,1982
69,birthplace,Gulfport
69,position,Midfield
69,team,Valencia_CF
69,city,Montevideo
69,stadium,Constant_Vanden_Stock_Stadium
69,season,2011
69,manager,Veit_Luks
70,index,13100
70,name,Abdalla_Susannne
70,surname,Hoare
70,birthyear,1982
70,birthplace,Gulfport
70,position,Midfield
70,team,Valencia_CF
70,city,Montevideo
70,stadium,Constant_Vanden_Stock_Stadium
70,season,2011
70,manager,Veit_Luks
71,index,13102
71,name,Abdalla_Susannne
71,surname,Hoare
71,birthyear,1982
71,birthplace,Gulfport
71,position,Defender
71,team,SV_Werder_Bremen
71,city,Barcelona
71,stadium,Boleyn_Ground
71,season,2014
71,manager,Sigenobu_Bodagala
72,index,13160
72,name,Abdalla_Susannne
72,surname,Hoare
72,birthyear,1982
72,birthplace,Gulfport
72,position,Midfield
72,team,Valencia_CF
72,city,Montevideo
72,stadium,Constant_Vanden_Stock_Stadium
72,season,2011
72,manager,Veit_Luks
73,index,13163
73,name,Abdalla_Susannne
73,surname,Hoare
73,birthyear,1982
73,birthplace,Gulfport
73,position,Defender
73,team,SV_Werder_Bremen
73,city,Barcelona
73,stadium,Boleyn_Ground
73,season,2014
73,manager,Sigenobu_Bodagala
74,index,13353
74,name,Abdalla_Susannne
74,surname,Hoare
74,birthyear,1982
74,birthplace,Gulfport
74,position,Defender
74,team,SV_Werder_Bremen
74,city,Barcelona
74,stadium,Boleyn_Ground
74,season,2014
74,manager,Sigenobu_Bodagala
75,index,13575
75,name,Abdalla_Susannne
75,surname,Hoare
75,birthyear,1982
75,birthplace,Gulfport
75,position,Midfield
75,team,Valencia_CF
75,city,Montevideo
75,stadium,Constant_Vanden_Stock_Stadium
75,season,2011
75,manager,Veit_Luks
76,index,13838
76,name,Abdalla_Susannne
76,surname,Hoare
76,birthyear,1982
76,birthplace,Gulfport
76,position,Midfield
76,team,Valencia_CF
76,city,Montevideo
76,stadium,Constant_Vanden_Stock_Stadium
76,season,2011
76,manager,Veit_Luks
77,index,14212
77,name,Abdalla_Susannne
77,surname,Hoare
77,birthyear,1982
77,birthplace,Gulfport
77,position,Defender
77,team,SV_Werder_Bremen
77,city,Barcelona
77,stadium,Boleyn_Ground
77,season,2014
77,manager,Sigenobu_Bodagala
78,index,14605
78,name,Abdalla_Susannne
78,surname,Hoare
78,birthyear,1982
78,birthplace,Gulfport
78,position,Defender
78,team,SV_Werder_Bremen
78,city,Barcelona
78,stadium,Boleyn_Ground
78,season,2014
78,manager,Sigenobu_Bodagala
79,index,14663
79,name,Abdalla_Susannne
79,surname,Hoare
79,birthyear,1982
79,birthplace,Gulfport
79,position,Defender
79,team,SV_Werder_Bremen
79,city,Barcelona
79,stadium,Boleyn_Ground
79,season,2014
79,manager,Sigenobu_Bodagala
80,index,14781
80,name,Abdalla_Susannne
80,surname,Hoare
80,birthyear,1982
80,birthplace,Gulfport
80,position,Midfield
80,team,Valencia_CF
80,city,Montevideo
80,stadium,Constant_Vanden_Stock_Stadium
80,season,2011
80,manager,Veit_Luks
81,index,15051
81,name,Abdalla_Susannne
81,surname,Hoare
81,birthyear,1982
81,birthplace,Gulfport
81,position,Defender
81,team,SV_Werder_Bremen
81,city,Barcelona
81,stadium,Boleyn_Ground
81,season,2014
81,manager,Sigenobu_Bodagala
82,index,15206
82,name,Abdalla_Susannne
82,surname,Hoare
82,birthyear,1982
82,birthplace,Gulfport
82,position,Midfield
82,team,Valencia_CF
82,city,Montevideo
82,stadium,Constant_Vanden_Stock_Stadium
82,season,2011
82,manager,Veit_Luks
83,index,15366
83,name,Abdalla_Susannne
83,surname,Hoare
83,birthyear,1982
83,birthplace,Gulfport
83,position,Defender
83,team,SV_Werder_Bremen
83,city,Barcelona
83,stadium,Boleyn_Ground
83,season,2014
83,manager,Sigenobu_Bodagala
84,index,15393
84,name,Abdalla_Susannne
84,surname,Hoare
84,birthyear,1982
84,birthplace,Gulfport
84,position,Defender
84,team,SV_Werder_Bremen
84,city,Barcelona
84,stadium,Boleyn_Ground
84,season,2014
84,manager,Sigenobu_Bodagala
85,index,15639
85,name,Abdalla_Susannne
85,surname,Hoare
85,birthyear,1982
85,birthplace,Gulfport
85,position,Midfield
85,team,Valencia_CF
85,city,Montevideo
85,stadium,Constant_Vanden_Stock_Stadium
85,season,2011
85,manager,Veit_Luks
86,index,15914
86,name,Abdalla_Susannne
86,surname,Hoare
86,birthyear,1982
86,birthplace,Gulfport
86,position,Defender
86,team,SV_Werder_Bremen
86,city,Barcelona
86,stadium,Boleyn_Ground
86,season,2014
86,manager,Sigenobu_Bodagala
87,index,16007
87,name,Abdalla_Susannne
87,surname,Hoare
87,birthyear,1982
87,birthplace,Gulfport
87,position,Defender
87,team,SV_Werder_Bremen
87,city,Barcelona
87,stadium,Boleyn_Ground
87,season,2014
87,manager,Sigenobu_Bodagala
88,index,16197
88,name,Abdalla_Susannne
88,surname,Hoare
88,birthyear,1982
88,birthplace,Gulfport
88,position,Defender
88,team,SV_Werder_Bremen
88,city,Barcelona
88,stadium,Boleyn_Ground
88,season,2014
88,manager,Sigenobu_Bodagala
89,index,16202
89,name,Abdalla_Susannne
89,surname,Hoare
89,birthyear,1982
89,birthplace,Gulfport
89,position,Midfield
89,team,Valencia_CF
89,city,Montevideo
89,stadium,Constant_Vanden_Stock_Stadium
89,season,2011
89,manager,Veit_Luks
90,index,16425
90,name,Abdalla_Susannne
90,surname,Hoare
90,birthyear,1982
90,birthplace,Gulfport
90,position,Midfield
90,team,Valencia_CF
90,city,Montevideo
90,stadium,Constant_Vanden_Stock_Stadium
90,season,2011
90,manager,Veit_Luks
91,index,16723
91,name,Abdalla_Susannne
91,surname,Hoare
91,birthyear,1982
91,birthplace,Gulfport
91,position,Midfield
91,team,Valencia_CF
91,city,Montevideo
91,stadium,Constant_Vanden_Stock_Stadium
91,season,2011
91,manager,Veit_Luks
92,index,17367
92,name,Abdalla_Susannne
92,surname,Hoare
92,birthyear,1982
92,birthplace,Gulfport
92,position,Defender
92,team,SV_Werder_Bremen
92,city,Barcelona
92,stadium,Boleyn_Ground
92,season,2014
92,manager,Sigenobu_Bodagala
93,index,17586
93,name,Abdalla_Susannne
93,surname,Hoare
93,birthyear,1982
93,birthplace,Gulfport
93,position,Defender
93,team,SV_Werder_Bremen
93,city,Barcelona
93,stadium,Boleyn_Ground
93,season,2014
93,manager,Sigenobu_Bodagala
94,index,17597
94,name,Abdalla_Susannne
94,surname,Hoare
94,birthyear,1982
94,birthplace,Gulfport
94,position,Midfield
94,team,Valencia_CF
94,city,Montevideo
94,stadium,Constant_Vanden_Stock_Stadium
94,season,2011
94,manager,Veit_Luks
95,index,17649
95,name,Abdalla_Susannne
95,surname,Hoare
95,birthyear,1982
95,birthplace,Gulfport
95,position,Midfield
95,team,Valencia_CF
95,city,Montevideo
95,stadium,Constant_Vanden_Stock_Stadium
95,season,2011
95,manager,Veit_Luks
96,index,17796
96,name,Abdalla_Susannne
96,surname,Hoare
96,birthyear,1982
96,birthplace,Gulfport
96,position,Defender
96,team,SV_Werder_Bremen
96,city,Barcelona
96,stadium,Boleyn_Ground
96,season,2014
96,manager,Sigenobu_Bodagala
97,index,18339
97,name,Abdalla_Susannne
97,surname,Hoare
97,birthyear,1982
97,birthplace,Gulfport
97,position,Midfield
97,team,Valencia_CF
97,city,Montevideo
97,stadium,Constant_Vanden_Stock_Stadium
97,season,2011
97,manager,Veit_Luks
98,index,18652
98,name,Abdalla_Susannne
98,surname,Hoare
98,birthyear,1982
98,birthplace,Gulfport
98,position,Midfield
98,team,Valencia_CF
98,city,Montevideo
98,stadium,Constant_Vanden_Stock_Stadium
98,season,2011
98,manager,Veit_Luks
99,index,18722
99,name,Abdalla_Susannne
99,surname,Hoare
99,birthyear,1982
99,birthplace,Gulfport
99,position,Midfield
99,team,Valencia_CF
99,city,Montevideo
99,stadium,Constant_Vanden_Stock_Stadium
99,season,2011
99,manager,Veit_Luks
100,index,18868
100,name,Abdalla_Susannne
100,surname,Hoare
100,birthyear,1982
100,birthplace,Gulfport
100,position,Midfield
100,team,Valencia_CF
100,city,Montevideo
100,stadium,Constant_Vanden_Stock_Stadium
100,season,2011
100,manager,Veit_Luks
101,index,19280
101,name,Abdalla_Susannne
101,surname,Hoare
101,birthyear,1982
101,birthplace,Gulfport
101,position,Midfield
101,team,Valencia_CF
101,city,Montevideo
101,stadium,Constant_Vanden_Stock_Stadium
101,season,2011
101,manager,Veit_Luks
102,index,19561
102,name,Abdalla_Susannne
102,surname,Hoare
102,birthyear,1982
102,birthplace,Gulfport
102,position,Midfield
102,team,Valencia_CF
102,city,Montevideo
102,stadium,Constant_Vanden_Stock_Stadium
102,season,2011
102,manager,Veit_Luks
103,index,19897
103,name,Abdalla_Susannne
103,surname,Hoare
103,birthyear,1982
103,birthplace,Gulfport
103,position,Midfield
103,team,Valencia_CF
103,city,Montevideo
103,stadium,Constant_Vanden_Stock_Stadium
103,season,2011
103,manager,Veit_Luks
104,index,19927
104,name,Abdalla_Susannne
104,surname,Hoare
104,birthyear,1982
104,birthplace,Gulfport
104,position,Defender
104,team,SV_Werder_Bremen
104,city,Barcelona
104,stadium,Boleyn_Ground
104,season,2014
104,manager,Sigenobu_Bodagala
105,index,20215
105,name,Abdalla_Susannne
105,surname,Hoare
105,birthyear,1982
105,birthplace,Gulfport
105,position,Defender
105,team,SV_Werder_Bremen
105,city,Barcelona
105,stadium,Boleyn_Ground
105,season,2014
105,manager,Sigenobu_Bodagala
106,index,20636
106,name,Abdalla_Susannne
106,surname,Hoare
106,birthyear,1982
106,birthplace,Gulfport
106,position,Midfield
106,team,Valencia_CF
106,city,Montevideo
106,stadium,Constant_Vanden_Stock_Stadium
106,season,2011
106,manager,Veit_Luks
107,index,20712
107,name,Abdalla_Susannne
107,surname,Hoare
107,birthyear,1982
107,birthplace,Gulfport
107,position,Defender
