fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
Mitsuhisa,Papadimitriou,F,207,410-8062,GOULDSBORO,ME,4607,S,Y,60000,8.5,2850,0,2850
Souichi,Wadey,F,802,519-2066,STOWE,VT,5672,S,N,45000,3.9004214,3300,0,0
John,Sherratt,M,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,0,0
Prabhudev,Kodama,F,802,216-5879,ASCUTNEY,VT,5030,M,Y,70000,4.397808,0,6600,3300
Taylor,Sanada,F,787,500-5910,MOCA,PR,676,M,Y,85000,0.0,0,0,0
Rondall,Treweek,F,603,108-9496,NORTH STRATFORD,NH,3590,M,Y,10000,0.0,0,0,0
Yunming,Litant,F,802,262-8257,GLOVER,VT,5839,S,N,60000,4.1988535,3300,0,0
Suzan,Duclos,F,401,664-5371,PAWTUCKET,RI,2861,S,Y,90000,0.0,0,0,0
Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0
Djamila,Crepeau,F,603,740-3671,EAST KINGSTON,NH,3827,M,Y,60000,0.0,0,0,0
Sonoko,Dam,F,939,206-1159,CABO ROJO,PR,623,S,N,45000,0.0,0,0,0
Tricia,Cosica,F,207,356-5611,SHAWMUT,ME,4975,M,Y,50000,8.5,0,5700,2850
Lunjiang,Hanchek,F,802,278-9141,GRAND ISLE,VT,5458,M,N,40000,3.8009440000000003,0,6600,0
Till,Kotani,F,207,240-8137,EAST BOOTHBAY,ME,4544,S,Y,5000,2.2135036,2850,0,2850
Imari,Kleinjohann,F,401,143-3552,CUMBERLAmND,RI,2864,S,Y,30000,0.0,0,0,0
Bilhanan,Sione,F,774,767-4605,NEEDHAM HEIGHTS,MA,2494,M,N,15000,5.3,0,7150,0
Grigoris,Gentile,F,603,961-8799,NASHUA,NH,3060,M,N,45000,0.0,0,0,0
Rinie,Jonckers,M,401,910-7985,JOHNSTON,RI,2919,M,Y,35000,0.0,0,0,0
Xiannong,Pinzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,5.3,3575,0,0
Gady,Deacon,M,203,823-1927,HARTFORD,CT,6102,M,Y,45000,5.0,0,24500,0
Humphrey,Ramamoorthy,F,401,466-2957,CLAYVILLE,RI,2815,M,N,90000,0.0,0,0,0
Sethu,Haasis,M,802,330-7388,LONDONDERRY,VT,5148,S,Y,85000,4.69624,3300,0,3300
Guenter,Sigal,M,401,707-8008,PROVIDENCE,RI,2908,S,N,10000,0.0,0,0,0
Ljiljana,Smeets,F,508,693-9220,AGAWAM,MA,1001,M,Y,45000,5.3,0,7150,1000
Shabbir,Dharanipragada,M,908,696-4412,BRANCHVILLE,NJ,7890,S,Y,95000,2.5828125,1000,0,1500
Nick,Gelosh,M,207,257-6382,SALSBURY COVE,ME,4672,S,Y,35000,8.5,2850,0,2850
Ran,Sabelli,F,860,110-1437,GREENWICH,CT,6830,S,N,80000,5.0,12750,0,0
Nitsan,Ertl,M,351,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000
Ludwik,Hamburg,M,978,529-7308,ASHFIELD,MA,1330,M,Y,5000,5.3,0,7150,1000
Ward,Cicchetti,F,603,219-3160,MARLOW,NH,3456,M,Y,15000,0.0,0,0,0
Tooru,Miara,M,603,846-2406,GLENCLIFF,NH,3238,S,N,30000,0.0,0,0,0
Lein,Ang,F,857,188-6322,HOLYOKE,MA,1041,S,Y,90000,5.3,3575,0,1000
Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,0,7150,1000
Antony,Monderer,M,802,854-5962,NORTH FERRISBURGH,VT,5473,S,N,65000,4.298331,3300,0,0
Mohd,Lavie,M,207,720-6245,EAGLE LAKE,ME,4739,S,Y,85000,8.5,2850,0,2850
Avadis,Dattasharma,M,508,449-5112,ACCORD,MA,2018,S,Y,85000,5.3,3575,0,1000
Couto,XueDong,M,207,505-5650,NORTH ANSON,ME,4958,S,Y,60000,8.5,2850,0,2850
Toshifumi,Leguy,F,939,334-4361,CANOVANAS,PR,729,M,Y,45000,0.0,0,0,0
Houssem,Sewry,M,401,266-7110,HARRISVILLE,RI,2830,S,N,55000,0.0,0,0,0
Saydean,Banare,M,508,137-3292,EAST WEYMOUTH,MA,2189,S,Y,5000,5.3,3575,0,1000
Akmal,Jahnichen,F,603,303-2843,SALEM,NH,3079,M,Y,15000,0.0,0,0,0
Frederic,Machiels,F,203,720-4264,STAFFORDVILLE,CT,6077,M,Y,60000,5.0,0,24500,0
Joaquin,Renegar,M,860,520-9731,NORWICH,CT,6360,S,Y,70000,5.0,12750,0,0
Olivera,Bian,M,860,519-2673,WEST HAVEN,CT,6516,M,Y,90000,5.0,0,24500,0
Ramaswamy,McCluskey,M,848,173-9544,NETCONG,NJ,7857,S,N,90000,2.5039582,1000,0,0
Viresh,Gierl,M,603,660-9974,HAMPTON,NH,3842,S,N,40000,0.0,0,0,0
Elvia,Bergen,F,860,436-2928,HARTFORD,CT,6114,S,N,90000,5.0,12750,0,0
Staphane,Spitz,F,774,393-2358,STOW,MA,1775,M,N,50000,5.3,0,7150,0
Hongwei,Clo,M,413,475-1491,EAST FALMOUTH,MA,2536,M,Y,80000,5.3,0,7150,1000
Geraldo,Lazensky,M,207,269-7129,SOUTHWEST HARBOR,ME,4679,M,Y,60000,8.5,0,5700,2850
Paramsothy,Orgass,F,774,823-8510,MILL RIVER,MA,1244,M,Y,10000,5.3,0,7105,1000
Toshihiro,Gerla,F,351,318-2767,BOSTON,MA,2284,S,Y,20000,5.3,3575,0,1000
Mitch,Nuth,F,603,369-6445,HAVERHILL,NH,3765,S,Y,85000,0.0,0,0,0
Jacco,Lennartson,M,207,533-2237,FREEPORT,ME,4034,M,N,15000,6.9580293000000015,0,5700,0
Bryony,Haack,M,207,417-3289,OQUOSSOC,ME,4964,S,N,100000,8.5,2850,0,0
Gennaro,Trumbly,M,787,595-5613,COTO LAUREL,PR,780,S,Y,15000,0.0,0,0,0
Janette,Manabe,F,203,287-2488,STAMFORD,CT,6911,S,Y,45000,5.0,12750,0,0
Denis,Leitner,F,802,206-2485,EAST SAINT JOHNSBURY,VT,5838,M,N,95000,4.8951945,0,6600,0
Mel,Kiesler,M,787,296-3383,BOQUERON,PR,622,S,Y,100000,0.0,0,0,0
Cathryn,Melton,F,401,486-2392,ADAMSVILLE,RI,2801,M,Y,90000,0.0,0,0,0
Siau,Toussaint,M,401,643-5396,PROVIDENCE,RI,2902,M,Y,10000,0.0,0,0,0
Soumitra,Wetprasit,F,207,176-1377,THOMASTON,ME,4861,M,N,70000,8.5,0,5700,0
Mendel,Lambe,F,603,211-6318,LANCASTER,NH,3584,S,Y,70000,0.0,0,0,0
Minghui,Kubota,M,508,612-5997,CHARLTON DEPOT,MA,1509,M,Y,80000,5.3,0,7150,1000
Shao,Reece,M,508,565-6451,BOSTON,MA,2118,M,Y,5000,5.3,0,7150,1000
Kermit,Niedderreiter,F,973,907-1720,PORT MONMOUTH,NJ,7758,S,Y,10000,1.4,1000,0,1500
Malee,Gold,M,603,289-7431,CONCORD,NH,3305,M,N,15000,0.0,0,0,0
Sylvian,Hinnebusch,M,939,925-8319,ADJUNTAS,PR,601,S,Y,45000,0.0,0,0,0
Loan,Gist,M,603,617-4373,PORTSMOUTH,NH,3801,S,N,65000,0.0,0,0,0
Christophe,Schuller,F,860,594-2013,SOUTH BRITAIN,CT,6487,S,N,60000,5.0,12750,0,0
Samudra,Ruthven,F,207,113-3380,HOWLAND,ME,4448,M,N,65000,8.5,0,5700,0
Ard,Lindmark,F,603,777-1001,RUMNEY,NH,3266,M,N,10000,0.0,0,0,0
Micheline,Rubsam,F,203,382-9572,CANAAN,CT,6018,M,Y,55000,5.0,0,24500,0
Bette,Szymczak,M,781,777-2635,BOSTON,MA,2114,S,Y,20000,5.3,3575,0,1000
Giancarlo,Weinreich,M,860,811-1281,ESSEX,CT,6426,S,N,15000,5.0,12750,0,0
Darwyn,Seegmuller,M,774,223-3659,NORTH ATTLEBORO,MA,2760,M,Y,95000,5.3,0,7150,1000
Farooq,Sekino,M,802,275-4925,GRAFTON,VT,5146,S,N,100000,4.9946720000000004,3300,0,0
Ingar,Noakes,M,203,108-7125,WEST HARTFORD,CT,6117,S,Y,60000,5.0,12750,0,0
Ingrid,Hagimont,M,207,696-4590,SEARSMONT,ME,4973,M,N,65000,8.5,0,5700,0
Murthy,Burgess,M,802,616-6409,NORTH HERO,VT,5474,S,N,20000,3.6,3300,0,0
Annette,Perly,F,207,195-3777,BUSTINS ISLAND,ME,4013,S,N,10000,4.5857663,2850,0,0
Egil,Rajamony,M,203,595-2698,MOOSUP,CT,6354,S,Y,90000,5.0,12750,0,0
Lenhart,Birch,M,413,257-5349,SANDWICH,MA,2563,S,N,50000,5.3,3575,0,0
Subhodev,Robertson,F,207,495-1496,MILBRIDGE,ME,4658,S,Y,75000,8.5,2850,0,2850
Parosh,Takaki,M,781,792-2993,SOUTH EGREMONT,MA,1258,M,N,95000,5.3,0,7150,0
Thyagarajan,Ingalls,F,802,725-5842,SOUTH BURLINGTON,VT,5403,S,Y,30000,3.6019894999999997,3300,0,3300
Soheil,Aluja,F,939,903-6883,QUEBRADILLAS,PR,678,M,N,15000,0.0,0,0,0
Namhee,Kompanek,M,860,325-4565,EAST WINDSOR,CT,6088,S,Y,35000,5.0,12750,0,0
Leland,Protzen,M,207,911-1427,GEORGETOWN,ME,4548,S,N,70000,8.5,2850,0,0
Juhana,Skeel,F,603,754-8486,BERLIN,NH,3570,M,N,20000,0.0,0,0,0
Alselm,Raugh,F,860,534-7972,DANBURY,CT,6810,M,N,75000,5.0,0,24500,0
Mayford,Bhagavan,F,939,996-9079,SAN JUAN,PR,917,S,Y,30000,0.0,0,0,0
Ria,Beshers,M,207,561-6616,NORTH BRIDGTON,ME,4057,M,N,40000,8.5,0,5700,0
Dietrich,Feinberg,F,802,403-5554,NEWFANE,VT,5345,S,N,10000,3.6,3300,0,0
Ala,Ehrhart,M,802,142-8778,SOUTH STRAFFORD,VT,5070,M,Y,60000,4.1988535,0,6600,3300
Tammy,Hohberg,F,787,336-2031,AGUADILLA,PR,603,S,N,75000,0.0,0,0,0
Jun''ichi,Kurita,M,860,159-4658,BALTIC,CT,6330,S,N,75000,5.0,12750,0,0
Berend,Hodas,F,939,261-9512,SAN JUAN,PR,930,M,N,15000,0.0,0,0,0
Ziyad,Lanzl,M,802,943-6449,STARKSBORO,VT,5487,S,N,25000,3.6,3300,0,0
Willy,Oates,M,413,145-2185,LAKEVILLE,MA,2347,M,Y,60000,5.3,0,y7150,1000
Byunggyu,Pillow,M,603,681-8832,WOLFEBORO FALLS,NH,3896,S,N,90000,0.0,0,0,0
Dhritiman,Cleve,M,207,142-8846,FRENCHVILLE,ME,4745,S,Y,80000,8.5,2850,0,2850
Sajid,Deokar,F,203,283-5980,WESTPORT,CT,6889,M,Y,25000,5.0,0,24500,0
Jine,Rettelbach,M,207,815-3971,HALLOWELL,ME,4347,M,N,15000,6.9580293000000015,0,5700,0
Soufiane,Tryon,F,787,212-3685,JUNCOS,PR,777,S,Y,70000,0.0,0,0,0
Glauco,Belanche,M,508,791-9297,GREEN HARBOR,MA,2041,M,Y,100000,5.3,0,7150,1000
Nageshwara,Scheer,F,802,820-7826,SAINT ALBANS,VT,5478,M,N,50000,3.9998987,0,6600,0
Jamshed,Sureshchandran,M,207,700-9232,GEORGETOWN,ME,4548,S,Y,70000,8.5,2850,0,2850
Erdogan,Shepherdson,F,857,384-5820,MARSTONS MILLS,MA,2648,M,Y,100000,5.3,0,7150,1000
Madanpal,Michailidis,M,802,420-9056,WAITSFIELD,VT,5673,M,N,95000,4.8951945,0,6600,0
Alfredo,Timkovsky,F,207,610-5335,FARMINGTON,ME,4938,M,N,30000,8.5,0,5700,0
Begona,Giunchiglia,M,802,993-8577,POWNAL,VT,5261,S,Y,40000,3.8009440000000003,3300,0,3300
Paul,Ying,M,939,493-8231,PONCE,PR,730,S,Y,60000,0.0,0,0,0
Gherin,Raja,M,413,925-1387,WORCESTER,MA,1653,M,Y,95000,5.3,0,7150,1000
Kiichi,Schild,M,603,913-7860,NORTH STRATFORD,NH,3590,S,N,70000,0.0,0,0,0
Mybrid,Biryukov,F,339,793-3760,BOYLSTON,MA,1505,S,N,20000,5.3,3575,0,0
Lei,Bein,F,401,649-9045,PROVIDENCE,RI,2909,M,Y,35000,0.0,0,0,0
Qin,Piens,F,401,109-5996,WARWICK,RI,2887,M,N,55000,0.0,0,0,0
Brig,Obtulowicz,F,939,291-3171,SAN JUAN,PR,902,M,N,45000,0.0,0,0,0
Thang,Sever,M,617,134-5111,LYNN,MA,1910,M,Y,45000,5.3,0,7150,1000
Vimal,Mattison,F,207,121-5001,SEBAGO LAKE,ME,4075,M,Y,60000,8.5,0,5700,2850
Syunichiro,Uckan,M,860,206-8121,MADISON,CT,6443,M,Y,5000,3.0,0,24500,0
Kok,Baz,F,401,884-3361,PROVIDENCE,RI,2918,S,Y,25000,0.0,0,0,0
Tuong,Hancart,M,401,786-4546,ALBION,RI,2802,S,N,65000,0.0,0,0,0
Katsuhiko,Geurts,F,860,531-5881,,CT,6245,M,N,5000,3.0,0,24500,0
Perla,Tofte,M,603,309-8255,BRISTOL,NH,3222,M,Y,85000,0.0,0,0,0
Kishore,Barnhill,F,603,369-8859,BRISTOL,NH,3222,M,Y,30000,0.0,0,0,0
Nipun,Palaniappan,M,939,288-7408,PONCE,PR,731,S,N,20000,0.0,0,0,0
Phillippe,Tano,M,603,112-5367,CONCORD,NH,3301,M,Y,5000,0.0,0,0,0
Cordelia,Haraldsson,M,603,716-5653,GREENLAND,NH,3840,M,Y,65000,0.0,0,0,0
Foong,Marefat,,787,552-5728,HUMACAO,PR,791,S,Y,35000,0.0,0,0,0
Joford,Formella,F,860,891-1619,COBALT,CT,6414,M,Y,25000,5.0,0,24500,0
Gady,Melcarne,M,401,730-5965,WAKEFIELD,RI,2880,M,N,50000,0.0,0,0,
Muruganandan,McGuffin,M,908,862-3143,LITTLE FERRY,NJ,7643,S,Y,80000,2.34625,1000,0,1500
Nagui,Milicia,M,401,515-4778,NORTH KINGSTOWN,RI,2852,M,N,40000,0.0,0,,0
Brij,Schrock,F,351,145-7396,EASTHAMPTON,MA,1027,S,N,100000,5.3,3575,0,
Tremaine,Pettorossi,F,401,651-7547,NORTH SMITHFIELD,RI,2896,S,Y,95000,0.0,0,0,0
Bijendra,Theis,F,207,117-2454,GOULDSBORO,ME,4607,M,Y,45000,8.5,0,5700,2850
Ran,Maccari,F,603,123-8851,NASHUA,NH,3060,M,Y,95000,0.0,0,0,0
Masato,Sitter,F,802,559-8297,BURLINGTON,VT,5408,M,N,25000,3.6,0,6600,0
Jianqiang,Twardowski,F,787,433-8689,SAN SEBASTIAN,PR,685,S,N,90000,0.0,0,0,0
Augusto,Haraldsson,M,203,554-9904,HARTFORD,CT,6150,S,Y,5000,3.0,12750,0,0
Richards,Witteveen,F,207,717-6085,WINTER HARBOR,ME,4693,S,Y,85000,8.5,2850,0,2850
Sachar,Woll,F,207,557-8065,JONESBORO,ME,4648,S,N,95000,8.5,2850,0,0
Dominik,Maierhofer,F,802,645-3827,CHESTER DEPOT,VT,5144,M,Y,20000,3.6,0,6600,3300
Kozo,Sidje,M,203,124-1470,SALISBURY,CT,6068,M,N,50000,5.0,0,24500,0
Mikito,Gros,M,603,626-6929,BERLIN,NH,3570,M,N,25000,0.0,0,0,0
Rodion,Calisti,M,551,204-2539,ELIZABETH,NJ,7201,S,Y,60000,2.0308332,1000,0,1500
Birte,McKeague,M,860,118-3129,NEW HAVEN,CT,6515,M,Y,90000,5.0,0,24500,0
Serge,Olveszky,F,401,510-4370,ASHAWAY,RI,2804,S,N,5000,0.0,0,0,0
Manvinder,Rege,F,860,636-1340,WAUREGAN,,6387,M,Y,35000,5.0,0,24500,0
Moss,Lindberg,M,339,668-5118,BERKSHIRE,MA,1224,M,Y,5000,5.3,0,7150,1000
Jeanne,Gumm,M,802,230-5253,UNDERHILL CENTER,VT,5490,S,N,80000,4.5967627,3300,0,0
Ramadan,Roelofsen,F,401,216-3801,NEWPORT,RI,2840,M,Y,55000,0.0,0,0,0
Ohad,Ramamoorthy,M,207,205-4521,GREENE,ME,4236,S,Y,75000,8.5,2850,0,2850
Jerzy,Uchiyama,M,339,404-2765,MONROE BRIDGE,MA,1350,M,N,20000,5.3,0,7150,0
Hanoch,Marquard,F,802,569-4310,PERKINSVILLE,VT,5151,M,Y,30000,3.6019894999999997,0,6600,3300
Zimin,McCall,M,860,786-7073,POQUONOCK,CT,6064,M,Y,40000,5.0,0,24500,0
Taketo,Claus,M,203,499-6694,MADISON,CT,6443,S,Y,10000,0.0,12750,0,0
Eiichi,Boden,M,603,127-7924,DOVER,NH,3822,M,N,30000,0.0,0,0,0
Lukas,Villoldo,M,401,325-3194,CAROLINA,RI,2812,M,Y,50000,0.0,0,0,0
Juyang,Kreuer,M,802,554-1245,EAST FAIRFIELD,VT,5448,S,Y,20000,3.6,3300,0,3300
Clarence,Lyle,M,857,908-2582,SAUGUS,MA,1906,M,N,100000,5.3,0,7150,0
Chihming,Zisman,F,207,654-6203,HOWLAND,ME,4448,M,Y,75000,8.5,0,5700,2850
Keven,Hossley,F,401,992-8960,ROCKVILLE,RI,2873,S,N,100000,0.0,0,0,0
Lise,Gurov,M,207,150-5185,WELLS,ME,4090,M,N,10000,4.5857663,0,5700,0
Chengdian,Schulman,F,401,302-7791,GLENDALE,RI,2826,S,Y,100000,0.0,0,0,0
Arnould,Siemens,F,603,596-6467,CONCORD,NH,3305,S,Y,80000,0.0,0,0,0
Phenil,Saward,F,207,704-1154,ACTON,ME,4001,M,Y,95000,8.5,0,5700,2850
Nagabhushana,Tepfenhart,M,401,962-7041,PORTSMOUTH,RI,2871,M,N,90000,0.0,0,0,0
Ishwar,Brahme,M,860,697-2483,BETHEL,CT,6801,M,Y,40000,5.0,0,24500,0
Kazutoshi,Madeira,M,787,975-9903,RINCON,PR,677,S,N,60000,0.0,0,0,0
Shigeharu,Gaitonde,F,207,535-2601,MILFORD,EM,4461,M,Y,30000,8.5,0,5700,2850
Jerald,Worona,M,787,260-4365,CAYEY,PR,737,M,Y,95000,0.0,0,0,0
Wolfgang,Steckler,M,401,535-5922,BLOCK ISLAND,RI,2807,S,N,15000,0.0,0,0,0
Birte,Gruenberg,M,207,424-8046,BUXTON,ME,4093,S,N,5000,2.2135036,2850,0,0
Hrishikesh,Kerr,F,802,851-6021,GAYSVILLE,VT,5746,S,N,55000,4.099376,3300,0,0
Kensaku,Guth,M,787,936-8782,SAN JUAN,PR,906,M,N,30000,0.0,0,0,0
Soon,Leask,M,603,170-6125,CHARLESTOWN,NH,3603,M,Y,80000,0.0,0,0,0
Seyed,Jamali,M,860,416-1280,NEW HAVEN,CT,6508,M,N,25000,5.0,0,24500,0
Lilly,Kameny,M,802,865-7269,NORTH HARTLAND,VT,5052,M,Y,40000,3.8009440000000003,0,6600,3300
Yoichiro,Lubonski,M,207,137-5945,BOWDOIN,ME,4287,M,N,95000,8.5,0,5700,0
Kimming,Nota,F,203,643-5841,WEST SIMSBURY,CT,6092,M,N,75000,5.0,0,24500,0
Nimrod,Gafter,M,603,584-5872,ENFIELD,NH,3748,M,N,65000,0.0,0,0,0
Helko,Vaschenko,F,802,124-1796,WEST WARDSBORO,VT,5360,M,N,35000,3.7014668,0,6600,0
Shangzhi,Akiyama,F,939,167-3517,COAMO,PR,769,S,Y,95000,0.0,0,0,0
Pranav,Graf,F,857,564-8209,HOLYOKE,MA,1040,M,N,85000,5.3,0,7150,0
Hirotomo,Rauglaudre,F,203,443-3419,ESSEX,CT,6426,S,Y,80000,5.0,12750,0,0
Ethem,Metze,M,802,367-9961,HYDE PARK,VT,5655,S,Y,60000,4.1988535,3300,0,3300
Arne,Pinkerton,aM,207,130-8238,KENNEBUNKPORT,ME,4046,S,Y,40000,8.5,2850,0,2850
Nofumi,Calude,M,856,655-1809,WESTFIELD,NJ,7091,M,Y,30000,1.5577083,0,2000,1500
Corin,Gauyacq,F,401,671-4284,BRADFORD,RI,2808,M,N,75000,0.0,0,0,0
Hideaki,Petrovic,M,401,778-3119,WEST WARWICK,RI,2893,S,Y,40000,0.0,0,0,0
Sangjyu,Oehlmann,F,774,865-2287,CENTERVILLE,MA,2636,M,Y,70000,5.3,0,7150,1000
LiWu,Coombs,F,802,501-8152,SHELBURNE,TV,5482,M,N,90000,4.7957171999999995,0,6600,0
Masahichi,Bregier,F,781,228-2356,WEST NEWBURY,MA,1985,M,Y,60000,5.3,0,7150,1000
Jitender,Rahm,F,401,272-5479,PAWTUCKET,RI,2862,S,Y,65000,0.0,0,0,0
Wendy,Furnas,M,603,928-8487,PORTSMOUTH,NH,3804,S,N,30000,0.0,0,0,0
Cecilia,Priebs,M,603,701-4312,MANCHESTER,NH,3101,S,N,85000,0.0,0,0,0
Supriya,Poujoulat,M,860,918-6603,EAST HADDAM,CT,6423,M,Y,50000,5.0,0,24500,0
Mina,Lucco,F,339,583-2291,PEMBROKE,MA,2359,M,N,15000,5.3,0,7150,0
Kousuke,Golichowski,M,860,831-5219,NORTH STONINGTON,CT,6359,M,N,30000,5.0,0,24500,0
Hodong,Tuminaro,M,207,953-9352,DENNYSVILLE,ME,4628,S,N,35000,8.5,2850,0,0
Quanfeng,Raczkowsky,F,848,308-1013,SADDLE BROOK,NJ,7663,S,N,80000,2.34625,1000,0,0
Letha,Goldsworthy,F,617,911-3118,BOSTON,MA,2284,M,N,35000,5.3,0,7150,0
Mamoun,Biscondi,M,201,500-9410,LODI,NJ,7644,M,Y,95000,2.5828125,0,2000,1500
Satoshi,Fuhrman,M,856,867-3374,HARRINGTON PARK,NJ,7640,M,N,35000,1.6365625,0,2000,0
Raghavan,Gargeya,F,207,217-1982,LAGRANGE,ME,4453,M,Y,25000,8.5,0,5700,2850
Qinru,Dami,F,207,862-2221,OLAMON,ME,4467,S,Y,25000,8.5,2850,0,2850
Choong,Kubicar,F,401,650-3718,WAKEFIELD,RI,2879,M,N,80000,0.0,0,0,0
Radenko,Markatos,M,802,533-6139,WASHINGTON,VT,5675,S,N,100000,4.9946720000000004,3300,0,0
Nunzio,Prete,M,401,976-1290,NORTH PROVIDENCE,RI,2911,S,Y,95000,0.0,0,0,0
Shohji,Gunthor,F,401,114-1697,WARWICK,IR,2889,S,Y,100000,0.0,0,0,0
Zhijun,Varley,M,603,720-4860,WINDHAM,NH,3087,M,N,55000,0.0,0,0,0
Frantz,Anjum,M,802,391-5446,WESTMINSTER,VT,5158,S,N,65000,4.298331,3300,0,0
Siddharthan,Zonno,F,207,478-4369,WASHINGTON,ME,4574,S,N,45000,8.5,2850,0,0
Svein,Laske,M,603,154-5740,FREMONT,NH,3044,S,N,15000,0.0,0,0,0
Josephine,Eliyahu,F,401,729-5585,NARRAGANSETT,RI,2882,S,Y,65000,0.0,0,0,0
Janalee,Satyanarayanan,M,860,869-1005,WINSTED,CT,6098,M,Y,75000,5.0,0,24500,0
Qingzhou,Baatz,M,603,812-4666,CENTER STRAFFORD,NH,3815,M,Y,15000,0.0,0,0,0
Jarogniew,Kroll,F,787,770-9070,MERCEDITA,PR,715,M,Y,55000,0.0,0,0,0
Indradeep,Lanzelotte,F,207,866-3304,GARLAND,ME,4939,S,N,50000,8.5,2850,0,0
Yujiun,Olaniran,,860,729-5656,PINE MEADOW,CT,6061,M,N,5000,3.0,0,24500,0
Kwang,Rubinfield,M,857,806-1703,CHERRY VALLEY,MA,1611,M,Y,20000,5.3,0,7150,1000
Gernot,Khachiyan,M,802,282-5748,GROTON,VT,5046,S,N,100000,4.9946720000000004,3300,0,0
Vicenzo,Karn,M,401,645-5069,SAUNDERSTOWN,RI,2874,S,Y,55000,0.0,0,0,0
Siamak,Romero,M,802,361-6759,CRAFTSBURY COMMON,VT,5827,S,N,10000,3.6,3300,0,0
Hiroshige,Tomii,M,401,584-7563,MIDDLETOWN,RI,2842,M,N,25000,0.0,0,0,0
Kieran,Philipp,F,787,928-9561,LUQUILLO,PR,773,M,Y,5000,0.0,0,0,0
Joan,Boreddy,M,603,825-7201,LEBANON,,3756,S,N,40000,0.0,0,0,0
Mohamadou,Klusch,F,207,529-5404,NORTH WATERFORD,ME,4267,S,Y,90000,8.5,2850,0,2850
Aarno,Kolvik,M,551,287-5458,CLARKSBORO,NJ,8020,S,N,80000,2.34625,1000,0,0
Prasadram,Uludag,M,862,700-4687,EWAN,NJ,8025,S,Y,75000,2.2673959999999997,1000,0,1500
Monica,Cranor,F,401,593-2151,NEWPORT,RI,2840,M,Y,75000,0.0,0,0,0
Menachem,Kharin,F,860,534-8607,UNIONVILLE,CT,6087,S,Y,70000,5.0,12750,0,0
Uttam,Nori,M,939,141-3235,SAN ANTONIO,PR,690,M,Y,10000,0.0,0,0,0
