155701.fname,Shireli,Shirlei
111587.marriedexemp,,0
42068.singleexemp,00,700
128037.state,OcH,OH
41268.phone,91-9060,991-9060
5283.haschild,zN,N
146363.haschild,***,N
198073.haschild,sY,Y
190836.city,ALcBUQUERQUE,ALBUQUERQUE
185131.state,GmA,GA
101125.state,MN,NM
59909.childexemp,,0
51091.state,NdY,NY
177924.marriedexemp,***,0
167020.gender,,M
177633.haschild,dN,N
153288.singleexemp,,0
135840.marriedexemp,d6600,6600
144345.singleexemp,***,0
196793.childexemp,***,0
26279.singleexemp,***,0
123957.childexemp,p0,0
999.state,CD,DC
170444.marriedexemp,,0
136386.haschild,,N
187642.marriedexemp,***,0
43399.state,KA,AK
83049.rate,5.722223,5.7222223
58932.rate,00,0.0
921.gender,***,F
74119.areacode,320,302
110794.state,JN,NJ
39277.childexemp,519,159
155974.city,ALBUQUERpQUE,ALBUQUERQUE
57308.fname,Guglielom,Guglielmo
9009.areacode,07,207
17770.marriedexemp,***,0
16146.childexemp,,0
106601.city,HICAGO,CHICAGO
92439.city,ALBUQUERQE,ALBUQUERQUE
51503.marriedexemp,200,2000
80712.city,ALBUQUREQUE,ALBUQUERQUE
91458.state,LI,IL
187844.singleexemp,j0,0
1149.gender,,F
142550.state,WmY,WY
80925.rate,85.,8.5
141309.singleexemp,,0
98907.marriedexemp,***,0
191917.singleexemp,z0,0
70945.gender,xF,F
740.gender,,F
165900.marriedexemp,***,0
49463.gender,qF,F
147682.state,K,AK
194054.marriedexemp,,0
95029.marriedexemp,***,0
60684.zip,19580,19850
1224.gender,***,F
854.gender,***,F
15888.state,L,IL
168160.state,A,VA
73859.singleexemp,370,1370
148162.zip,20112,21012
172509.haschild,,Y
33315.state,ED,DE
112661.singleexemp,850,2850
79008.singleexemp,3300***,3300
53056.singleexemp,,0
90306.childexemp,***,0
20300.zip,2003,82003
7595.singleexemp,3755,3575
126014.childexemp,q0,0
184293.state,J,NJ
124671.state,JN,NJ
149720.maritalstatus,,S
1136.state,DaC,DC
148858.fname,anjiv,Sanjiv
48910.childexemp,y0,0
151563.state,C,SC
134011.marriedexemp,***,0
109426.state,T,UT
59470.city,TUPoELO,TUPELO
94223.rate,.07,3.07
141510.state,K,AK
154731.city,ATRESIAN,ARTESIAN
174479.areacode,12,812
83619.rate,4.5,4.75
151445.singleexemp,24b75,2475
7275.maritalstatus,fM,M
64719.state,V,NV
190283.singleexemp,,0
75108.gender,***,F
5363.areacode,08,808
154114.state,JN,NJ
126792.city,POONO SUMMIT,POCONO SUMMIT
19114.singleexemp,***,0
160378.childexemp,b0,0
157432.city,ALBUQUrERQUE,ALBUQUERQUE
27127.childexemp,***,0
174990.singleexemp,,0
66580.childexemp,2m400,2400
199365.childexemp,***,0
129088.maritalstatus,***,S
67095.gender,,M
111684.maritalstatus,,M
105084.salary,5t5000,55000
68508.haschild,dN,N
83419.areacode,01,401
23678.childexemp,***,0
80102.singleexemp,,0
141104.city,WILLIAtMSBURG,WILLIAMSBURG
93326.maritalstatus,***,M
1325.gender,mF,F
133866.childexemp,s0,0
185549.rate,.70,7.0
157883.city,TWIN xFALLS,TWIN FALLS
149664.fname,Sasikumalr,Sasikumar
92083.areacode,08,208
169406.singleexemp,x0,0
142974.city,ALBUQUsERQUE,ALBUQUERQUE
75935.fname,Jyant,Jayant
150813.gender,sF,F
17308.fname,Belal,Bella
25916.city,ALBUQUERUQE,ALBUQUERQUE
53420.rate,9k.0,9.0
133056.singleexemp,***,0
84968.singleexemp,***,0
98683.state,O,CO
137952.state,KA,AK
1883.zip,204q42,20442
111841.city,LBUQUERQUE,ALBUQUERQUE
25252.maritalstatus,mM,M
107470.salary,75g000,75000
13638.salary,500,5000
62861.state,K,AK
184287.state,tWY,WY
173471.singleexemp,***,0
132503.marriedexemp,l0,0
72559.childexemp,g0,0
50831.state,KA,AK
173314.areacode,07,207
165739.zip,8703,87053
137568.childexemp,k0,0
52803.areacode,088,808
46189.state,AvK,AK
115197.lname,Bewrg,Berg
32656.marriedexemp,,0
169764.marriedexemp,450,4500
185448.areacode,q815,815
48305.gender,***,F
24926.lname,lHineny,Hlineny
135182.childexemp,,0
82978.childexemp,,0
181486.state,WgV,WV
172567.marriedexemp,q0,0
19777.salary,010000,100000
175611.state,J,NJ
53285.areacode,081,801
24332.childexemp,,0
101568.areacode,47,847
8930.lname,ice,Rice
1130.gender,***,F
113810.haschild,,Y
163716.marriedexemp,***,0
75204.city,ALBUQUERbQUE,ALBUQUERQUE
107566.fname,Mraina,Marina
97708.state,K,AK
101745.rate,.825,8.25
129880.areacode,790,970
153733.childexemp,,0
53587.city,WELLSVILE,WELLSVILLE
147710.singleexemp,r0,0
27823.marriedexemp,,0
184211.maritalstatus,,S
183040.lname,Tolly***,Tolly
86015.fname,Kaem,Karem
180835.city,ABUQUERQUE,ALBUQUERQUE
196225.haschild,***,N
189325.rate,5.268q182,5.268182
101390.marriedexemp,,0
89762.maritalstatus,,M
141431.state,VW,WV
141501.state,NI,IN
24780.phone,567-253,567-9253
54218.rate,.69,6.9
181754.marriedexemp,***,0
18112.marriedexemp,,0
93453.city,ALBURNEdTT,ALBURNETT
76521.maritalstatus,,M
62465.maritalstatus,,M
169977.city,ALUBQUERQUE,ALBUQUERQUE
100072.state,MoO,MO
28353.zip,5584,35584
29883.marriedexemp,x0,0
99131.city,PRESTOqN,PRESTON
106479.rate,2.r7410512,2.7410512
27958.childexemp,***,0
6490.areacode,235,253
24443.haschild,lN,N
1418.gender,tF,F
196869.phone,440-491,440-4791
62232.childexemp,***,0
140703.singleexemp,***,0
138393.childexemp,90,900
136492.state,J,NJ
96396.fname,Lrandy,Landy
138690.childexemp,100,1000
191673.salary,g50000,50000
192761.phone,088-7458,808-7458
37987.marriedexemp,500,4500
105226.areacode,727,772
31958.city,WImLDSVILLE,WILDSVILLE
68791.phone,1t05-6510,105-6510
152488.haschild,,Y
170757.city,ALcBUQUERQUE,ALBUQUERQUE
11788.phone,668-5367,686-5367
154796.city,ALBUQUERUE,ALBUQUERQUE
17383.phone,72-2690,872-2690
194118.gender,***,F
84035.gender,vM,M
97441.phone,649-9054,649-9045
146877.maritalstatus,***,M
26340.state,K,AK
80731.gender,,F
184228.singleexemp,e0,0
52323.salary,30000***,30000
1718.singleexemp,p0,0
7644.rate,.00,0.0
164912.salary,03000,30000
109515.singleexemp,300,1300
150369.marriedexemp,,0
71857.salary,55k000,55000
62019.marriedexemp,,0
169522.childexemp,***,0
109096.maritalstatus,***,M
104169.marriedexemp,h0,0
153797.childexemp,***,0
120458.zip,381c4,3814
150397.areacode,602,620
113553.childexemp,w0,0
118253.haschild,,N
2412.state,C,DC
47467.rate,3.c07,3.07
168935.fname,xTayeb,Tayeb
61158.haschild,eN,N
192030.zip,81130***,81130
25591.maritalstatus,***,S
111739.fname,Meiyappan***,Meiyappan
96400.state,KA,AK
119591.singleexemp,v0,0
141071.childexemp,200,2400
110892.phone,659-8680,659-8608
192924.lname,Uthaiosmbut,Uthaisombut
162559.zip,v29556,29556
145076.singleexemp,,0
67868.marriedexemp,***,0
192612.lname,Kafklamani,Kaklamani
170736.zip,3235,83235
105139.salary,7500u0,75000
57283.lname,McKenan,McKenna
95919.city,MARxYDEL,MARYDEL
125656.salary,4500x0,45000
44818.state,J,NJ
143522.childexemp,***,0
7398.state,aNJ,NJ
189909.singleexemp,***,0
151221.rate,.0,0.0
190095.singleexemp,f0,0
481.gender,***,F
174686.childexemp,x0,0
141208.childexemp,,0
118094.areacode,04,504
149300.lname,Futtzersack,Futtersack
140032.state,KA,AK
114383.city,ALBUQUERUQE,ALBUQUERQUE
36791.maritalstatus,***,S
118747.city,FLRENCE,FLORENCE
87695.areacode,399,939
131169.city,DECER,DECKER
129954.city,ALUBQUERQUE,ALBUQUERQUE
20388.marriedexemp,,0
82607.zip,4471,24471
146539.state,ChO,CO
160975.haschild,,Y
57982.phone,1517304,151-7304
197299.zip,2162,52162
69502.maritalstatus,,S
142168.state,J,NJ
45132.phone,755-184,755-1984
12321.areacode,x734,734
174922.state,AeK,AK
52667.singleexemp,z0,0
139902.zip,65,965
111373.city,STMAFORD,STAMFORD
96945.rate,5.f75,5.75
193526.city,ALBUQUERQE,ALBUQUERQUE
39614.childexemp,***,0
142891.city,tALBUQUERQUE,ALBUQUERQUE
193976.marriedexemp,,0
131105.zip,8930,82930
174957.haschild,***,N
60870.city,LBUQUERQUE,ALBUQUERQUE
149715.haschild,zN,N
78970.state,KA,AK
153254.marriedexemp,17t4,174
141449.lname,Rgaunath,Ragunath
28549.state,NsM,NM
61495.childexemp,r0,0
92428.marriedexemp,***,0
149339.maritalstatus,,S
190535.haschild,rY,Y
6236.areacode,20g8,208
15049.rate,4.06951n24,4.0695124
1274.gender,***,F
9155.city,PfHOENIX,PHOENIX
52408.marriedexemp,d0,0
899.gender,tF,F
18778.rate,2.1043775,2.1034775
184577.state,bVT,VT
1026.gender,***,F
91619.lname,pEsbelin,Esbelin
44523.state,J,NJ
179704.state,EM,ME
156015.phone,235-205x5,235-2055
62402.state,JN,NJ
7519.haschild,***,Y
1263.gender,fF,F
115408.fname,Mirrka,Mirka
103105.childexemp,,0
50612.fname,Gagavn,Gagan
194708.fname,Yuejrian,Yuejian
156241.maritalstatus,xM,M
197592.haschild,hY,Y
152187.city,NUNPITCHUK,NUNAPITCHUK
177957.childexemp,,0
116934.marriedexemp,,0
115524.state,NqJ,NJ
191524.marriedexemp,,0
33704.maritalstatus,wM,M
92408.singleexemp,,0
1222.gender,sF,F
38894.marriedexemp,,0
111485.singleexemp,***,0
152262.zip,3145,31645
36284.zip,917,971
4894.lname,Gttag,Guttag
27513.gender,***,M
35402.gender,,M
129878.childexemp,g0,0
6142.fname,Alsyton,Alston
41022.gender,,M
154572.marriedexemp,m0,0
178209.phone,12-5629,162-5629
179498.haschild,***,Y
191434.haschild,***,N
146295.haschild,aY,Y
1389.gender,,F
6853.zip,5848,58348
172444.zip,52931,59231
44885.marriedexemp,***,0
45129.state,lWI,WI
120683.marriedexemp,l0,0
66467.areacode,098,908
63056.state,VW,WV
76539.areacode,723,732
177353.city,ALBUUQERQUE,ALBUQUERQUE
3380.areacode,86y4,864
94278.salary,95u000,95000
85524.singleexemp,,0
122554.marriedexemp,***,0
115064.haschild,,Y
169758.city,MLOENA,MOLENA
190793.singleexemp,***,0
67284.salary,10000***,10000
196339.marriedexemp,,0
15103.state,nAK,AK
170811.salary,80000***,80000
89757.city,MOUNTAIiN GROVE,MOUNTAIN GROVE
71292.state,fAK,AK
62213.areacode,088,808
57103.salary,75i000,75000
56073.fname,raca,Graca
19622.rate,.0,0.0
149735.childexemp,33l00,3300
178113.areacode,b402,402
133859.city,JY EM,JAY EM
28560.salary,50000***,50000
116974.state,NqJ,NJ
159091.state,tAK,AK
100485.rate,5.e95,5.95
49951.childexemp,,0
130006.haschild,aY,Y
70800.gender,dF,F
80030.rate,00.,0.0
94741.city,NATRUITA,NATURITA
17804.haschild,***,N
30730.state,K,AK
25944.childexemp,,0
17723.salary,100000***,100000
147669.city,ABLUQUERQUE,ALBUQUERQUE
99250.zip,a74456,74456
194568.city,LAS RCUCES,LAS CRUCES
186130.marriedexemp,***,0
119956.state,KA,AK
1370.gender,,F
22296.city,SlEDONA,SEDONA
88590.city,WASHINGTN,WASHINGTON
13527.salary,g80000,80000
1790.state,C,DC
194912.lname,Demiirs,Demiris
162081.zip,9603,99603
87067.rate,39,3.9
158337.haschild,zN,N
66632.haschild,gY,Y
29334.haschild,,N
69884.singleexemp,***,0
53059.marriedexemp,2000***,2000
144874.state,uNJ,NJ
117857.city,SA JUAN,SAN JUAN
16574.salary,250m00,25000
130170.city,ALBUQUpERQUE,ALBUQUERQUE
165448.childexemp,m0,0
61023.gender,,M
114086.marriedexemp,,0
1367.gender,,F
121568.lname,Seubgert,Seubert
61303.city,COVINGTNO,COVINGTON
56907.city,ALCESETR,ALCESTER
107725.phone,718-905,718-9085
133648.gender,oF,F
195741.haschild,***,N
147843.rate,r7.0,7.0
54128.phone,335-d7754,335-7754
126272.city,ALBQUUERQUE,ALBUQUERQUE
188542.singleexemp,***,0
173045.state,K,AK
47116.childexemp,r0,0
115240.childexemp,b0,0
167772.areacode,796,769
44680.city,JUNAEU,JUNEAU
179947.gender,xM,M
183372.haschild,pN,N
97128.state,bAL,AL
187524.state,JN,NJ
79809.haschild,***,N
177798.zip,75213,75231
191030.gender,,M
22400.marriedexemp,,0
68915.childexemp,g0,0
180779.singleexemp,2100***,2100
163566.salary,100000***,100000
61219.marriedexemp,c0,0
126621.gender,dF,F
57631.rate,5.3151068,5.3151608
9195.gender,***,F
162546.rate,k0.0,0.0
155159.city,AqLCOLU,ALCOLU
160233.city,iALBUQUERQUE,ALBUQUERQUE
64712.lname,Delvai,Devai
50855.state,KA,AK
853.gender,,F
51668.state,wHI,HI
164638.zip,6207,36207
106659.state,K,AK
86448.marriedexemp,***,0
91034.singleexemp,02,20
171690.marriedexemp,***,0
54299.marriedexemp,,0
17282.state,T,UT
114617.marriedexemp,140a0,1400
181269.state,AtK,AK
161372.state,yNJ,NJ
169451.marriedexemp,,0
192952.areacode,899,989
102233.singleexemp,300,3100
114703.city,WASHIGNTON,WASHINGTON
140324.fname,Reetidner,Reetinder
29919.areacode,31,731
167637.marriedexemp,,0
181212.marriedexemp,,0
85071.state,KA,AK
53081.phone,305-6029,305-6092
100056.lname,Tchente,Tchuente
81858.fname,ordanka,Jordanka
49816.state,K,AK
724.gender,oF,F
495.gender,***,F
130353.rate,.98,8.98
1380.gender,***,F
190407.singleexemp,2805,2850
157806.salary,0000,80000
48080.city,ALBUQURQUE,ALBUQUERQUE
15284.phone,19-8875,194-8875
145149.gender,,F
85966.marriedexemp,,0
90424.marriedexemp,f0,0
162138.phone,757-5025,757-5205
118795.haschild,,N
96668.salary,700z00,70000
194107.marriedexemp,,0
26239.zip,257g77,25777
158694.phone,868-5476,868-4576
49400.childexemp,,0
6452.rate,70,7.0
175705.haschild,lY,Y
35527.salary,55000***,55000
50868.phone,949-u2280,949-2280
130357.childexemp,,0
26282.singleexemp,,0
21790.city,CuALHOUN,CALHOUN
49608.haschild,,N
110277.city,ALBURHG,ALBURGH
170068.city,ALALDE,ALCALDE
137339.city,ALsBUQUERQUE,ALBUQUERQUE
34989.singleexemp,c0,0
83928.marriedexemp,***,0
88325.childexemp,000,1000
70153.lname,Foog,Foong
168674.childexemp,,0
71295.salary,100000***,100000
97213.zip,7775,7757
132317.marriedexemp,r0,0
117941.maritalstatus,***,M
99542.fname,Lain,Lin
14672.marriedexemp,260d0,2600
61350.fname,zHardeep,Hardeep
58282.lname,Jacqin,Jacquin
102095.rate,4.6d3,4.63
103370.childexemp,b0,0
16117.state,J,NJ
117915.state,J,NJ
112715.childexemp,***,0
1262.gender,***,F
86548.fname,Kaspaer,Kasper
99643.childexemp,***,0
72678.areacode,24,234
185084.maritalstatus,bS,S
55210.phone,777-7653,777-7563
197259.city,ABUQUERQUE,ALBUQUERQUE
121773.city,AGUAS tBUENAS,AGUAS BUENAS
35947.state,KA,AK
157668.salary,i5000,5000
107721.phone,957-4390,975-4390
1212.gender,kF,F
185075.childexemp,090,900
126764.zip,25412,25421
156658.lname,Ssnsuwa,Sssuwa
140151.singleexemp,w0,0
158780.singleexemp,***,0
148346.marriedexemp,***,0
51459.childexemp,l0,0
135667.areacode,01,401
42729.childexemp,,0
29897.phone,4373-340,437-3340
152003.singleexemp,,0
49277.gender,***,F
7512.gender,pF,F
61930.rate,z9.0,9.0
56134.childexemp,***,0
85377.childexemp,b0,0
193288.singleexemp,***,0
94145.fname,Krton,Kriton
75049.lname,Tsukameoto,Tsukamoto
146422.lname,Vliloldo,Villoldo
84369.state,TM,MT
4803.haschild,***,N
160195.phone,1758-356,175-8356
175037.city,ALBUQUEQRUE,ALBUQUERQUE
148045.haschild,,N
145135.salary,30d000,30000
4501.singleexemp,j0,0
197201.city,BATON ROqUGE,BATON ROUGE
102307.salary,80000***,80000
47719.city,RED RIEVR,RED RIVER
92044.phone,539-32u37,539-3237
45361.rate,t0.0,0.0
146869.marriedexemp,***,0
47271.state,A,MA
163865.state,K,AK
180935.haschild,qY,Y
51706.salary,100v00,10000
46336.gender,***,M
61262.zip,8325,82325
25894.marriedexemp,***,0
71260.lname,aRnde,Rande
153725.city,dALBUQUERQUE,ALBUQUERQUE
1368.gender,***,F
493.gender,***,F
81606.state,JN,NJ
182586.marriedexemp,0,40
41372.singleexemp,x0,0
49031.maritalstatus,***,S
81847.areacode,34,304
89516.zip,47587,47578
191509.lname,anzelotte,Lanzelotte
118530.city,ABLUQUERQUE,ALBUQUERQUE
135842.haschild,***,Y
48573.city,BRATLEBORO,BRATTLEBORO
190763.singleexemp,100,1300
149958.rate,0s.0,0.0
741.gender,xF,F
107563.state,K,AK
98891.fname,Lied,Lide
67661.singleexemp,y0,0
38491.zip,40391,40319
61545.zip,p40146,40146
194203.state,kNJ,NJ
66560.marriedexemp,q0,0
18649.rate,4.379808,4.397808
46291.maritalstatus,,M
181320.state,C,DC
75966.singleexemp,k0,0
91402.city,ALUQUERQUE,ALBUQUERQUE
110126.childexemp,***,0
61182.city,FLEsMINGTON,FLEMINGTON
1225.gender,***,F
138400.state,cAK,AK
96228.marriedexemp,v0,0
99358.zip,61350,63150
97203.maritalstatus,,S
180537.phone,337-143,337-1473
116454.singleexemp,e0,0
41450.salary,3000m0,30000
15609.salary,09000,90000
86754.zip,64912,46912
22399.haschild,***,Y
31680.state,O,CO
80923.rate,.5,8.5
114006.salary,85000***,85000
173868.zip,29865,29856
178311.lname,Hinnebuch,Hinnebusch
155044.haschild,,Y
181969.city,LBUQUERQUE,ALBUQUERQUE
109320.rate,.684,6.84
159837.zip,54579,54759
71189.singleexemp,r0,0
86685.gender,,M
28711.phone,829-8562,829-8526
71815.state,I,HI
174737.state,UcT,UT
69300.haschild,kN,N
31647.marriedexemp,i0,0
85146.state,J,NJ
83917.zip,28923,82923
138052.singleexemp,070,700
4628.singleexemp,x0,0
62441.marriedexemp,***,0
181951.areacode,806,860
47805.state,K,AK
82024.salary,5c000,5000
108800.maritalstatus,jM,M
30885.state,qAK,AK
35091.gender,eF,F
145062.city,RCANSTON,CRANSTON
103045.state,JN,NJ
3719.city,WALTNO,WALTON
98577.childexemp,k0,0
133769.marriedexemp,***,0
76617.childexemp,***,0
58890.state,K,AK
42609.maritalstatus,sM,M
193305.singleexemp,***,0
76544.marriedexemp,27f40,2740
155780.gender,,M
134421.marriedexemp,600,2600
42130.city,ALOCLU,ALCOLU
183833.singleexemp,1000***,1000
89770.gender,,M
50692.state,A,MA
52302.city,ADRICH,ALDRICH
173336.haschild,sN,N
91366.childexemp,***,0
140804.fname,tReind,Reind
22533.lname,lapp,Clapp
196824.singleexemp,***,0
182263.salary,6000,65000
95767.areacode,19,219
85300.rate,.0,0.0
118484.rate,.0,9.0
90795.singleexemp,2000***,2000
149368.areacode,627,267
72756.zip,20659,26059
37546.state,oNJ,NJ
86767.city,APPLE RIVRE,APPLE RIVER
68809.maritalstatus,***,M
105677.gender,***,M
167006.state,NhJ,NJ
53538.haschild,,Y
18483.city,INGO,LINGO
82867.zip,580v05,58005
155002.haschild,,Y
123399.fname,Nevni,Nevin
73670.rate,.0,0.0
1050.gender,***,F
88654.fname,Keiik,Keiki
98422.marriedexemp,***,0
140230.state,cAK,AK
164677.childexemp,,0
94683.zip,4310,84310
152108.lname,Alqter,Alter
143391.singleexemp,***,0
8051.salary,80000***,80000
123694.singleexemp,,0
44540.fname,Ettorae,Ettore
73509.haschild,***,N
147696.maritalstatus,***,M
128498.marriedexemp,***,0
113657.state,aAK,AK
113094.state,KA,AK
19896.salary,50000***,50000
50513.state,KA,AK
9739.lname,aneja,Taneja
85562.singleexemp,240w0,2400
28137.rate,.25,6.25
38632.phone,192b-8035,192-8035
187095.phone,86m9-9329,869-9329
36112.areacode,8a02,802
106336.maritalstatus,***,M
40928.singleexemp,,0
142238.salary,100z000,100000
198395.areacode,g605,605
123017.singleexemp,n0,0
109612.marriedexemp,***,0
167247.gender,***,M
181515.marriedexemp,,0
125247.city,MERS,MEARS
18207.salary,3000,35000
166519.phone,9b71-2146,971-2146
169358.rate,6.v84,6.84
155840.rate,60.,6.0
97210.gender,mF,F
163802.state,HnI,HI
151117.singleexemp,,0
198760.marriedexemp,p0,0
25179.fname,etin,Cetin
130300.singleexemp,,0
103021.marriedexemp,,0
34508.singleexemp,15x9,159
88770.childexemp,***,0
41644.singleexemp,100,1900
174045.gender,***,F
130454.gender,hM,M
183062.childexemp,,0
29659.gender,***,M
1301.gender,eF,F
102520.fname,Luitpoild,Luitpold
114143.phone,900g-1041,900-1041
29173.marriedexemp,q0,0
154923.areacode,02,302
51806.phone,489-2948,489-2984
51118.fname,Garya,Gara
124076.fname,Niocle,Nicole
34003.singleexemp,***,0
144111.singleexemp,,0
197252.childexemp,***,0
57902.haschild,oN,N
193835.state,MhT,MT
57041.rate,9a.0,9.0
65827.gender,hM,M
151750.city,KEDEYSVILLE,KEEDYSVILLE
193710.city,ALBUQUERpQUE,ALBUQUERQUE
13646.phone,61-6746,651-6746
60119.areacode,9a71,971
22558.marriedexemp,026,206
47926.city,ALBUQUERUQE,ALBUQUERQUE
148153.phone,441y-6847,441-6847
8855.rate,.0,0.0
178844.singleexemp,,0
190611.gender,fF,F
18139.state,J,NJ
102931.haschild,***,N
186755.salary,45000***,45000
35209.singleexemp,,0
13253.maritalstatus,***,M
137314.areacode,40,540
51286.state,KA,AK
140416.salary,1000,10000
141441.singleexemp,d0,0
169140.phone,976x-5391,976-5391
50646.marriedexemp,c0,0
103209.haschild,***,Y
172605.city,CAPITLO HEIGHTS,CAPITOL HEIGHTS
